SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
459,MODEL1,PARMS,RMB,1.364425362,16.90667593,0.24575784,-0.954107545,3.811097522,-0.437662258,4.057564019,-10.04954973,-1
460,MODEL1,PARMS,RMB,1.317640447,8.801248511,0.226211795,-0.919877635,3.391073347,0.112272979,2.325206988,-6.527242467,-1
461,MODEL1,PARMS,RMB,1.423567331,8.605142239,0.081043441,-0.226007424,1.278545706,0.123220917,2.792291893,-6.218928587,-1
462,MODEL1,PARMS,RMB,1.294704462,12.23441444,0.108996591,-0.460126792,1.853729887,-0.07725712,2.095601879,-5.072589934,-1
463,MODEL1,PARMS,RMB,1.495943533,11.02320329,0.169497572,-0.741367813,2.811439091,-0.013921698,1.054705286,-1.9135117,-1
464,MODEL1,PARMS,RMB,1.342642959,-2.9499933,0.200607434,-0.486589506,2.271348398,0.868549598,-0.434229314,-0.09476344,-1
465,MODEL1,PARMS,RMB,1.367371296,22.30033082,0.190463572,-0.461090634,0.721170765,-0.792227396,5.756092865,-14.13680398,-1
466,MODEL1,PARMS,RMB,1.37992813,15.17830607,0.175710341,-0.925899371,3.911059102,-0.278345376,2.307446368,-5.341892327,-1
467,MODEL1,PARMS,RMB,1.420666014,15.04322666,0.275898933,-0.580868915,1.317063094,-0.345674576,3.389380684,-7.748023795,-1
468,MODEL1,PARMS,RMB,1.548566756,-0.928519548,-0.150864851,-0.067570647,0.064048249,0.886222379,-1.050735319,1.150994152,-1
469,MODEL1,PARMS,RMB,1.418815959,-1.87350559,0.505726212,-1.186464644,3.121278416,0.713079697,-0.135835103,0.296089544,-1
470,MODEL1,PARMS,RMB,1.491237225,17.71698421,0.306437997,-0.932672376,3.308918522,-0.520887078,4.280030588,-10.08753679,-1
471,MODEL1,PARMS,RMB,1.519089823,7.056243307,0.440672957,-1.325146752,3.773914521,0.183032997,0.48109305,-1.358972594,-1
472,MODEL1,PARMS,RMB,1.401636691,9.94960356,-0.173834003,-0.214622788,1.504104221,0.168359804,1.684082177,-4.8677656,-1
473,MODEL1,PARMS,RMB,1.330108936,9.540476358,0.152913222,-0.683646209,2.097142954,0.085755125,1.985499042,-5.08341704,-1
474,MODEL1,PARMS,RMB,1.404555204,10.31225367,0.2755654,-0.609739122,1.819496483,-0.038911899,3.487614886,-8.973609367,-1
475,MODEL1,PARMS,RMB,1.496898347,5.853081055,0.192589107,-0.624677191,2.015672429,0.296234113,2.024470352,-5.457341554,-1
476,MODEL1,PARMS,RMB,1.445062811,11.52138909,0.248691036,-1.536511281,7.059933724,-0.075138235,3.287598115,-8.756225089,-1
477,MODEL1,PARMS,RMB,1.331026216,6.332079537,0.434982441,-1.778891618,6.853156726,0.220556003,1.74657558,-4.330105091,-1
478,MODEL1,PARMS,RMB,1.303000573,8.753611598,0.034067793,-0.470263582,2.013502854,0.171557555,1.713560485,-4.995949781,-1
479,MODEL1,PARMS,RMB,1.427652987,12.26909395,0.476912669,-1.181691242,4.286714279,-0.218456507,3.054983306,-7.009456144,-1
480,MODEL1,PARMS,RMB,1.42592277,9.861566794,0.48934098,-1.480543354,4.884141238,-0.029838154,2.198744942,-5.605575851,-1
481,MODEL1,PARMS,RMB,1.301248394,-8.031497629,0.459575751,-0.959256186,3.203888477,1.130931361,-1.415895396,2.414477629,-1
482,MODEL1,PARMS,RMB,1.453622707,3.892871832,0.541882319,-1.368732367,3.968822334,0.336892942,1.172841773,-3.03776427,-1
483,MODEL1,PARMS,RMB,1.516785726,17.67425792,0.532506369,-1.521268101,5.246162799,-0.579547193,3.014615591,-5.797246485,-1
484,MODEL1,PARMS,RMB,1.407983103,13.59965933,0.128667937,-0.524960287,2.00401995,-0.19108897,3.690956081,-9.172465565,-1
485,MODEL1,PARMS,RMB,1.38725936,5.82805495,0.271728314,-0.888444399,4.070645476,0.287614304,1.03637412,-2.650921505,-1
486,MODEL1,PARMS,RMB,1.460092906,6.475799744,0.169002705,-0.755345883,3.39523558,0.270031414,1.102259802,-3.484786657,-1
487,MODEL1,PARMS,RMB,1.359888604,1.494590523,0.167624719,-0.667678017,1.860270337,0.619225126,-0.149184141,-1.247016288,-1
488,MODEL1,PARMS,RMB,1.406882915,15.01068847,0.299540351,-0.535627924,1.531359598,-0.337693671,2.866715465,-7.243739917,-1
489,MODEL1,PARMS,RMB,1.548734598,8.919134877,0.208609598,-0.884743452,3.710510776,0.104347262,1.049376098,-2.244808367,-1
490,MODEL1,PARMS,RMB,1.422750971,-0.014331868,0.244047409,-0.651990269,1.899717288,0.679974397,-0.513457243,0.345214873,-1
491,MODEL1,PARMS,RMB,1.526113674,3.769210005,0.14274079,-0.712849855,2.65265041,0.487569033,-0.400086843,-0.302684168,-1
492,MODEL1,PARMS,RMB,1.299350741,-0.734757552,0.164145091,-0.536676209,2.137165827,0.744276235,0.211278394,-1.334976074,-1
493,MODEL1,PARMS,RMB,1.301703993,11.69466352,0.21666796,-1.122981721,4.469645918,-0.089385096,3.467078815,-9.002614259,-1
494,MODEL1,PARMS,RMB,1.437719607,14.04835392,-0.069490845,0.140719744,-0.984648769,-0.162707871,3.648786575,-9.609972825,-1
495,MODEL1,PARMS,RMB,1.448180875,19.55378692,-0.092540748,-0.060295402,0.348936348,-0.511074377,4.430734062,-10.73795704,-1
496,MODEL1,PARMS,RMB,1.398831043,8.303432867,0.196629104,-0.781134723,2.212459091,0.145987693,2.489883663,-7.12659264,-1
497,MODEL1,PARMS,RMB,1.362757026,8.96513479,0.157863684,-1.058643248,4.759132912,0.125720876,1.222656413,-3.08674435,-1
498,MODEL1,PARMS,RMB,1.543030997,-0.104786023,0.377267096,-0.846808932,2.047294526,0.648152798,-1.133669718,3.057976596,-1
499,MODEL1,PARMS,RMB,1.48767694,3.432663776,0.457889297,-1.451723536,5.415708681,0.394879927,1.036407558,-2.712255844,-1
500,MODEL1,PARMS,RMB,1.567384266,15.24387762,0.125899951,-0.892690558,3.27465363,-0.249361305,1.754604874,-4.459971943,-1
501,MODEL1,PARMS,RMB,1.529284664,0.046346954,0.470236119,-1.793528066,5.820399664,0.640595777,-0.887965629,1.361809202,-1
502,MODEL1,PARMS,RMB,1.424226549,8.617954255,0.449600022,-1.242671868,4.928287021,0.024908584,2.570216587,-6.326453512,-1
