SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB1
330,MODEL1,PARMS,RB1,0.921853744,-1.816075113,0.146445404,-0.251004638,0.592086077,0.324539279,0.645323463,-2.054426495,-1
331,MODEL1,PARMS,RB1,1.058963075,-7.983025762,0.065789987,0.019323267,0.023666255,0.747971361,-0.904818764,1.715632087,-1
332,MODEL1,PARMS,RB1,1.055251183,-5.190348633,0.17438045,-0.223220557,0.753917748,0.538378439,-1.338485666,3.822827824,-1
333,MODEL1,PARMS,RB1,0.932812047,-5.589642382,0.184956204,0.057340381,-0.846105101,0.528533376,0.13423927,-0.321199197,-1
334,MODEL1,PARMS,RB1,0.860026187,-3.321687662,0.322908491,-0.817033852,2.949035764,0.361220998,0.298636199,-0.285587152,-1
335,MODEL1,PARMS,RB1,0.940416412,-3.467444145,0.123979561,-0.176087856,0.685359396,0.43912719,-0.381722866,0.777417826,-1
336,MODEL1,PARMS,RB1,0.969568748,-3.190520193,0.24684824,-0.401863032,0.321936732,0.39514995,-0.567982608,1.154071765,-1
337,MODEL1,PARMS,RB1,0.98114857,0.13001485,0.069836008,0.057580907,-0.396436157,0.207897729,0.722569698,-1.882244455,-1
338,MODEL1,PARMS,RB1,0.952601015,-2.280696249,0.016562901,-0.036421481,0.258783377,0.383374108,0.372019039,-0.561903098,-1
339,MODEL1,PARMS,RB1,1.046973647,-3.713163747,0.333266189,-0.819999351,3.053035627,0.397246039,0.285796582,-0.612374957,-1
340,MODEL1,PARMS,RB1,0.973804504,0.995734189,0.213060671,-0.716439324,2.812713307,0.125369536,1.004354608,-2.287535093,-1
341,MODEL1,PARMS,RB1,1.236933585,-9.392013279,0.232534318,-0.345995605,1.051962641,0.788649879,-1.689358115,4.892617396,-1
342,MODEL1,PARMS,RB1,0.940345718,-1.374503666,-0.050585441,-0.077275555,0.424279891,0.370061959,-0.115426127,-0.020041407,-1
343,MODEL1,PARMS,RB1,0.933442658,-5.755480515,0.173488743,-0.455748833,1.630430074,0.57816694,-0.641799609,1.224482516,-1
344,MODEL1,PARMS,RB1,1.128363594,-4.024185626,0.295754335,-0.450083609,1.129640824,0.412509467,0.501224105,-0.941251759,-1
345,MODEL1,PARMS,RB1,0.83297774,-4.307773236,0.016616853,-0.342368423,1.65512595,0.537326302,-0.775234592,1.525311417,-1
346,MODEL1,PARMS,RB1,0.873042434,-6.725805882,0.171204803,-0.563260493,2.237360515,0.632016689,0.206620288,-1.351113047,-1
347,MODEL1,PARMS,RB1,1.142259785,-6.89239108,0.290832255,-0.635435183,2.390024077,0.603674471,-0.104558226,0.579892134,-1
348,MODEL1,PARMS,RB1,1.018804318,-7.225222641,0.242964349,-0.12377119,0.045285041,0.630696655,-0.797853047,2.178970355,-1
349,MODEL1,PARMS,RB1,0.880404002,-0.795234975,0.132837161,-0.207856194,0.367013523,0.254676694,0.617536512,-1.684737351,-1
350,MODEL1,PARMS,RB1,0.905873444,-0.921815416,0.175637243,-0.320051409,1.07787549,0.268843818,-1.018693327,3.303226241,-1
351,MODEL1,PARMS,RB1,1.207000685,-4.767160162,0.487041632,-1.352247265,4.671045722,0.432863678,-0.704950286,2.418203997,-1
352,MODEL1,PARMS,RB1,1.000100731,-0.728528924,0.223812875,-0.511710104,1.857469214,0.232305989,0.307806268,-0.437174148,-1
353,MODEL1,PARMS,RB1,0.9073191,-10.70762081,0.403648823,-1.062157544,4.097791017,0.837864566,-1.638880848,3.676503964,-1
354,MODEL1,PARMS,RB1,1.050274246,17.20395101,0.272662015,-0.915195994,2.825507772,-0.93078679,2.899612536,-5.407485801,-1
355,MODEL1,PARMS,RB1,0.904911311,-1.142241649,0.186476652,-0.660265091,2.462180515,0.270551632,0.471633259,-1.35946188,-1
356,MODEL1,PARMS,RB1,0.925067686,-12.14710769,0.288010495,-0.727557784,3.25471019,0.953175799,-0.951967429,1.001641481,-1
357,MODEL1,PARMS,RB1,1.031253985,-3.997523225,0.315310841,-0.467579182,1.015707749,0.413001859,-0.072051106,0.041589075,-1
358,MODEL1,PARMS,RB1,0.91595618,5.242169018,0.01545236,0.067281797,-0.084281748,-0.103159501,1.239571262,-2.486479193,-1
359,MODEL1,PARMS,RB1,1.021227051,2.946767514,0.249745713,-0.716334101,2.385575547,-0.011006669,0.84329072,-1.6052771,-1
360,MODEL1,PARMS,RB1,0.90016779,-0.329403479,0.01160108,-0.15410434,0.77894575,0.273960515,0.305190235,-0.732518305,-1
361,MODEL1,PARMS,RB1,0.964706502,0.049108479,0.08885238,-0.348024652,1.091818853,0.234250472,0.807811732,-2.519498933,-1
362,MODEL1,PARMS,RB1,1.146315922,-6.586758635,0.350471916,-0.892747932,3.36240278,0.576807007,-0.925403015,2.978046101,-1
363,MODEL1,PARMS,RB1,1.032061883,-9.020780686,0.149795063,0.004695421,-0.446907792,0.783854983,-1.713627791,4.433358834,-1
364,MODEL1,PARMS,RB1,1.057634067,-1.97787189,0.11376662,-0.079450862,0.119250187,0.335259235,0.023308868,-0.075016928,-1
365,MODEL1,PARMS,RB1,1.00765139,1.376015421,0.399793291,-0.738344076,2.270829403,0.023573842,1.689947098,-3.566998531,-1
366,MODEL1,PARMS,RB1,0.896660681,-5.996232863,0.307503451,-0.753734202,2.523327826,0.546418208,-0.072660972,-0.212097651,-1
367,MODEL1,PARMS,RB1,0.953082695,1.784753323,0.159606901,-0.216609086,0.905281865,0.060809018,2.06208612,-5.330492181,-1
368,MODEL1,PARMS,RB1,1.178811671,-6.105104948,0.411099613,-0.907089137,3.140027068,0.538451596,-1.481737547,4.160312217,-1
369,MODEL1,PARMS,RB1,0.860687387,-9.319819004,0.166632414,-0.619142051,2.443138083,0.830299582,-1.652903796,3.506049622,-1
370,MODEL1,PARMS,RB1,0.882925154,-10.48563402,0.130351323,-0.457532464,1.811952665,0.910826587,-1.411558673,2.267693086,-1
371,MODEL1,PARMS,RB1,0.978542884,-4.050205026,0.284805775,-0.822415592,3.194598655,0.432901606,-0.691592242,2.24460975,-1
372,MODEL1,PARMS,RB1,0.824304232,-10.78588223,0.080365696,-0.352193717,1.66005671,0.940678543,-1.867453451,3.913109636,-1
373,MODEL1,PARMS,RB1,0.870428458,-3.359178618,-0.095698347,0.257416726,-0.992720704,0.505831963,-0.4156149,0.205139192,-1
374,MODEL1,PARMS,RB1,1.02299648,-8.16657641,0.320186336,-0.781376368,2.825885153,0.698805641,-0.974290083,2.221590428,-1
375,MODEL1,PARMS,RB1,1.461117633,-8.805494177,0.417429451,-0.906391748,2.509552311,0.709413821,-1.839041599,6.293907248,-1
376,MODEL1,PARMS,RB1,0.834587056,10.22451064,0.105260841,-0.142058542,0.186579622,-0.454018063,1.976272582,-3.980552286,-1
377,MODEL1,PARMS,RB1,0.953255581,0.283715416,-0.026249942,0.250888754,-1.202238188,0.224645282,1.116908072,-3.003205631,-1
378,MODEL1,PARMS,RB1,0.895437084,1.659334876,-0.050961956,-0.000173575,0.281244706,0.161823114,0.6914025,-2.271687395,-1
379,MODEL1,PARMS,RB1,0.898137002,-9.442507131,0.316708959,-0.908280777,3.021300949,0.784883005,-0.952801188,1.50242423,-1
380,MODEL1,PARMS,RB1,0.874498213,-1.324114647,0.069748688,-0.248828663,0.828862063,0.319106396,0.445901405,-1.768715794,-1
381,MODEL1,PARMS,RB1,1.008199275,-10.40831535,0.406687355,-0.928956694,3.003457574,0.813335551,-1.899313151,4.83314755,-1
382,MODEL1,PARMS,RB1,0.882104008,-4.532839055,0.065175154,-0.211118438,0.291889946,0.535022473,-0.560993117,0.832411079,-1
383,MODEL1,PARMS,RB1,0.888741666,-5.816363312,0.37910251,-0.855605966,2.944855572,0.525731055,-0.670000674,1.429236197,-1
384,MODEL1,PARMS,RB1,0.910239285,-8.62352097,0.223336939,-0.56043745,2.252935972,0.731134437,-0.389893275,0.132480572,-1
385,MODEL1,PARMS,RB1,0.939185054,-0.15747624,0.178956929,-0.377726251,1.592928512,0.201516913,0.147297696,-0.264518789,-1
386,MODEL1,PARMS,RB1,0.917645249,-4.113114096,0.180965097,-0.696657654,2.870057418,0.473611191,-0.011665319,-0.612222249,-1
387,MODEL1,PARMS,RB1,0.954481489,-4.489690362,0.146441321,-0.140324442,0.010678735,0.496642481,-0.205586298,0.255832806,-1
388,MODEL1,PARMS,RB1,0.922579271,-2.484737695,0.260071362,-0.604163108,2.384565556,0.324864928,0.583094934,-1.694749467,-1
389,MODEL1,PARMS,RB1,0.896766729,-1.714732791,-0.114105758,0.441592874,-1.900242846,0.402776328,-0.233635167,0.108077596,-1
390,MODEL1,PARMS,RB1,0.878131573,-3.11071688,0.023675251,-0.248947838,1.306037244,0.445666987,1.184839532,-3.947938919,-1
391,MODEL1,PARMS,RB1,0.850039637,-3.437243665,0.042079503,-0.16153678,0.671014315,0.466089548,0.428488729,-1.989514828,-1
392,MODEL1,PARMS,RB1,0.873959016,-9.828716302,0.049732255,-0.186197474,1.023917248,0.891162913,-2.538138904,5.737795441,-1
393,MODEL1,PARMS,RB1,0.898843682,-4.324262659,0.214028778,-0.497139179,1.586469327,0.465928347,0.386927732,-1.608162727,-1
394,MODEL1,PARMS,RB1,1.060543269,-3.634703715,0.108446181,-0.258141623,0.772863543,0.459533398,-0.360327201,0.610470174,-1
395,MODEL1,PARMS,RB1,0.834877074,1.683282575,0.027383367,-0.185320109,0.66993499,0.139776865,0.787923569,-2.095534695,-1
396,MODEL1,PARMS,RB1,0.919595993,-6.596568513,0.182991571,-0.848582296,3.856360779,0.651309656,-1.788135309,4.083008892,-1
397,MODEL1,PARMS,RB1,0.890899142,-1.826653766,0.08320528,-0.026157115,-0.472673378,0.346046711,0.153544391,-0.206634566,-1
