SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB4_5
679,MODEL1,PARMS,RB4_5,0.835968665,7.810109614,0.119523257,-0.762363207,2.715895014,-0.181763449,0.723253519,-1.701416931,-1
680,MODEL1,PARMS,RB4_5,0.840664334,8.147119332,0.003010484,-0.043351387,-0.146525133,-0.179834337,0.229857337,0.129713927,-1
681,MODEL1,PARMS,RB4_5,0.879938299,15.06869796,0.068676228,-0.4364629,1.717640914,-0.663003376,2.964116623,-6.73363676,-1
682,MODEL1,PARMS,RB4_5,0.863528822,-2.938595714,-0.02846205,-0.007233172,-0.434930484,0.56317817,-1.436199007,2.869313657,-1
683,MODEL1,PARMS,RB4_5,0.956956313,5.688052543,6.47537E-05,-0.306498746,0.84308083,-0.012994757,0.595946214,-1.580257309,-1
684,MODEL1,PARMS,RB4_5,0.98836382,1.64421742,0.085535638,-0.391275359,0.788752136,0.244503417,-1.855031665,4.863703014,-1
685,MODEL1,PARMS,RB4_5,0.85965961,-1.270635883,0.083622598,-0.245061287,0.436077309,0.416107311,-0.961895161,1.480283235,-1
686,MODEL1,PARMS,RB4_5,0.853481822,4.486441835,0.102016918,-0.132353501,0.133785959,0.009896543,1.045044052,-2.910860799,-1
687,MODEL1,PARMS,RB4_5,0.907699967,6.391150953,-0.08786501,0.161138256,-0.897285491,-0.036748935,-0.155337055,0.775864184,-1
688,MODEL1,PARMS,RB4_5,0.880008448,7.349391154,0.031535806,-0.244087885,0.736117907,-0.148642062,1.485883872,-3.479569636,-1
689,MODEL1,PARMS,RB4_5,0.91667346,1.149744054,0.031542727,-0.338228385,1.210317582,0.281585138,-0.628383586,1.317100682,-1
690,MODEL1,PARMS,RB4_5,0.891116751,4.991556516,0.099490634,-0.177014934,-0.090562728,0.01307497,-0.821841308,2.009799406,-1
691,MODEL1,PARMS,RB4_5,0.854440828,6.767158217,0.092832932,-0.80055773,3.05621779,-0.090987872,0.132502074,-0.037777618,-1
692,MODEL1,PARMS,RB4_5,0.941378337,5.630698578,0.17022564,-0.539666255,1.618741159,-0.06689957,0.509045638,-0.604245518,-1
693,MODEL1,PARMS,RB4_5,0.897235227,4.627362058,0.031357209,-0.415118915,1.588333535,0.065276379,-0.798093788,2.155335641,-1
694,MODEL1,PARMS,RB4_5,0.814092328,6.46660361,-0.048192044,-0.056792315,0.023022815,-0.043899935,0.096656563,0.035496991,-1
695,MODEL1,PARMS,RB4_5,0.853644588,6.92214468,-0.067672579,0.115987855,-0.97716625,-0.068885888,-0.288466913,1.307915304,-1
696,MODEL1,PARMS,RB4_5,0.856571172,7.287902037,-0.035701953,-0.366255931,1.430108351,-0.097935197,0.181251758,-0.384027143,-1
697,MODEL1,PARMS,RB4_5,0.859642984,4.194338595,0.100235682,-0.362658117,1.066091688,0.052228755,-0.074150991,0.25568801,-1
698,MODEL1,PARMS,RB4_5,0.899748463,10.94791865,-0.129760434,0.029354735,-0.216205339,-0.328719712,1.846446235,-4.485675287,-1
699,MODEL1,PARMS,RB4_5,0.79177258,4.938177383,0.010387878,-0.075404751,-0.380365525,0.030122875,-0.270926605,1.32172168,-1
700,MODEL1,PARMS,RB4_5,0.875617783,6.118280676,-0.004386922,-0.218299111,0.803517814,-0.049544079,0.653839037,-1.175100241,-1
701,MODEL1,PARMS,RB4_5,0.860385338,4.283495358,0.025490206,0.032824542,-0.692167286,0.072877789,-0.851318063,2.732120229,-1
702,MODEL1,PARMS,RB4_5,0.911427337,7.770090798,0.016994226,-0.136145002,0.504633852,-0.166833397,0.698723241,-1.046430325,-1
703,MODEL1,PARMS,RB4_5,0.895887808,-1.362080537,-0.00375033,-0.262466046,0.779016455,0.46440156,-1.36632554,2.881664684,-1
704,MODEL1,PARMS,RB4_5,0.838894943,13.28068522,0.03603027,-0.257893113,0.202362059,-0.52033196,1.53470824,-2.836484054,-1
705,MODEL1,PARMS,RB4_5,0.859439728,6.174142965,0.119171333,-0.367077154,0.854733317,-0.086751294,1.045103557,-2.702949801,-1
706,MODEL1,PARMS,RB4_5,0.96350759,3.311705126,-0.044633897,0.134645829,-0.842352536,0.143238117,0.54335036,-1.840042733,-1
707,MODEL1,PARMS,RB4_5,0.875863224,17.40675122,-0.267363861,0.615788162,-2.752700133,-0.711065555,2.950148474,-6.554133002,-1
708,MODEL1,PARMS,RB4_5,0.891425291,2.178094625,-0.047998954,-0.234520705,0.747104896,0.251965176,-1.338637963,3.05925487,-1
709,MODEL1,PARMS,RB4_5,0.868959471,7.083477987,-0.048450704,0.187351296,-0.774527395,-0.107437866,0.669063739,-1.398428159,-1
710,MODEL1,PARMS,RB4_5,0.905740617,1.859788408,0.198826324,-0.518720309,1.187166863,0.179598082,-0.347075449,0.783283137,-1
711,MODEL1,PARMS,RB4_5,0.839739298,6.594221216,0.029767975,-0.125505022,0.112423592,-0.086837911,0.599321723,-1.25332765,-1
712,MODEL1,PARMS,RB4_5,0.919227568,7.073262356,-0.036336998,0.192372622,-1.533659448,-0.108495091,0.46184516,-0.790882451,-1
713,MODEL1,PARMS,RB4_5,0.905313523,-1.224997377,-0.124449967,0.110623453,-0.237421822,0.473764713,-1.121266287,1.855346925,-1
714,MODEL1,PARMS,RB4_5,0.958317404,-2.250528581,0.156309142,-0.60747937,1.629903648,0.471844995,-1.735733807,3.884758346,-1
715,MODEL1,PARMS,RB4_5,0.875433607,3.981948823,0.084770594,-0.217409815,0.361234011,0.069962475,-0.253743784,0.810226274,-1
716,MODEL1,PARMS,RB4_5,0.790123071,9.560060041,0.171627424,-0.644065952,1.807098438,-0.316282697,1.017813781,-2.137811895,-1
717,MODEL1,PARMS,RB4_5,0.967492313,1.571098779,-0.08450521,-0.134571917,0.564818963,0.294812237,-0.999095745,2.076877602,-1
718,MODEL1,PARMS,RB4_5,0.882862905,5.501236117,-0.107857775,0.164177397,-0.728866057,0.019842102,0.378248538,-0.596251997,-1
719,MODEL1,PARMS,RB4_5,0.905628948,5.052329674,0.091699882,-0.097388592,0.129774535,-0.019346095,-0.11832661,0.872028483,-1
