SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LLB6
390,MODEL1,PARMS,LLB6,1.080492224,0.108812651,-0.043772575,0.026697326,-0.011195941,0.501347693,0.507881087,-2.376990907,-1
391,MODEL1,PARMS,LLB6,1.054997035,-1.555398213,0.101289443,-0.650483689,2.824122101,0.592349227,-1.309813424,2.333891968,-1
392,MODEL1,PARMS,LLB6,1.149966856,-16.23895534,0.151455383,-0.736177387,2.973010192,1.536532963,-5.042050232,11.55105485,-1
393,MODEL1,PARMS,LLB6,1.131410206,0.830353571,0.268781923,-0.603989104,1.447251451,0.352056296,0.655562933,-2.234150698,-1
394,MODEL1,PARMS,LLB6,1.149037316,6.876604494,-0.044289005,0.213412259,-1.175044373,0.056537685,0.41158946,-0.701270592,-1
395,MODEL1,PARMS,LLB6,1.061796174,-5.206317359,-0.079843211,0.141286591,-0.647149618,0.856682476,-1.5508747,3.118724772,-1
396,MODEL1,PARMS,LLB6,1.061099327,-3.94949388,0.275065674,-1.071926791,4.508518048,0.686708244,-1.380000674,2.929582335,-1
397,MODEL1,PARMS,LLB6,0.953026318,0.856832719,0.170654798,-0.367081778,1.145180518,0.371331482,1.034837051,-3.288194845,-1
398,MODEL1,PARMS,LLB6,1.13984083,-10.13427547,-0.043915744,0.288400281,-1.809954569,1.171353192,-2.509234963,5.00973814,-1
399,MODEL1,PARMS,LLB6,1.0353183,-7.091741323,-0.011431713,0.115240456,-0.291783013,0.964359879,-1.862077913,3.607162415,-1
400,MODEL1,PARMS,LLB6,1.011672658,-5.565278237,0.152947507,-0.609824819,2.580806078,0.83071568,-2.014517718,4.449071508,-1
401,MODEL1,PARMS,LLB6,0.976237205,0.329568824,0.288527185,-0.60313277,2.177811286,0.378414883,0.144343706,-1.014078985,-1
402,MODEL1,PARMS,LLB6,1.039386448,5.673286061,0.247509976,-0.03522815,-0.819360809,0.007648564,1.806000079,-4.00660477,-1
