SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sLB1
39,MODEL1,PARMS,sLB1,0.501678222,2.234425844,-0.000180669,0.103681861,-0.677953561,0.022752693,0.617243577,-1.80877775,-1
40,MODEL1,PARMS,sLB1,0.57226604,-0.190143236,0.196035666,-0.467026611,1.542333548,0.129156315,0.164511706,-0.768943681,-1
41,MODEL1,PARMS,sLB1,0.516207832,-3.402955018,0.125997533,-0.122045047,0.177234561,0.348871698,-0.29318107,0.305845869,-1
42,MODEL1,PARMS,sLB1,0.566303836,3.990345448,0.078155717,-0.072500639,0.110692652,-0.116042202,0.803976957,-1.791911197,-1
43,MODEL1,PARMS,sLB1,0.571235239,2.021037028,-0.036159725,0.03135655,-0.126650019,0.059277419,0.28614001,-0.997076115,-1
44,MODEL1,PARMS,sLB1,0.543782524,0.574060489,0.11808957,-0.124196126,0.05108799,0.093681123,0.373254781,-1.080930568,-1
45,MODEL1,PARMS,sLB1,0.542021737,-5.930199391,0.132282403,-0.2092195,0.498605087,0.522457719,-0.928613732,1.438237337,-1
46,MODEL1,PARMS,sLB1,0.54779618,-2.55629566,0.052077001,0.085039466,-0.571157848,0.317013794,-0.373281533,0.556057421,-1
47,MODEL1,PARMS,sLB1,0.558385522,-0.661512305,0.065207867,-0.020383595,-0.216505624,0.18382995,0.289599478,-0.975774761,-1
48,MODEL1,PARMS,sLB1,0.532428148,-5.880775805,0.13088587,-0.337391543,1.146063613,0.524239259,-1.567368235,3.567839939,-1
49,MODEL1,PARMS,sLB1,0.534240787,-0.742202151,0.094171867,-0.143153535,0.361952914,0.196694522,-0.110804001,-0.172774646,-1
50,MODEL1,PARMS,sLB1,0.5500396,6.935139506,0.09663748,-0.392152648,1.635182051,-0.296328513,0.743654608,-1.495814278,-1
51,MODEL1,PARMS,sLB1,0.529495413,0.594630843,0.021378296,0.103288244,-0.607189117,0.131559523,-0.393199318,0.911236188,-1
52,MODEL1,PARMS,sLB1,0.517924221,-0.515236985,0.151630436,-0.191196758,0.414836039,0.152267127,0.146619233,-0.43637615,-1
53,MODEL1,PARMS,sLB1,0.563410828,-1.342448425,0.03022456,0.08060849,-0.599210591,0.25602628,-0.432599229,0.655873182,-1
54,MODEL1,PARMS,sLB1,0.562619256,-0.121008234,0.052528034,-0.133358537,0.497414656,0.173728027,-0.326586087,0.566612931,-1
55,MODEL1,PARMS,sLB1,0.511675549,-1.521566906,0.17025028,-0.178385523,0.388087811,0.204877326,0.589547665,-1.806565147,-1
56,MODEL1,PARMS,sLB1,0.509923672,-1.342938222,0.092508292,-0.18176428,0.538512791,0.235598956,-0.369616035,0.510757127,-1
57,MODEL1,PARMS,sLB1,0.50789777,1.741772764,-0.01824321,0.043685063,-0.131033369,0.061079447,0.628989258,-1.993169608,-1
58,MODEL1,PARMS,sLB1,0.563129356,0.415497401,0.167091106,-0.388627214,1.078163055,0.104468878,0.077914656,-0.386042083,-1
59,MODEL1,PARMS,sLB1,0.53370235,-0.325091199,0.038921361,-0.075124795,0.035801651,0.181167709,0.351763417,-1.389710082,-1
60,MODEL1,PARMS,sLB1,0.541319753,-3.298390978,0.129703176,-0.266278361,0.949739463,0.346831314,-0.377097186,0.471591284,-1
61,MODEL1,PARMS,sLB1,0.568741871,-2.78460207,0.176396241,-0.296105116,0.686872633,0.297507979,-0.478567884,1.007565644,-1
62,MODEL1,PARMS,sLB1,0.527354866,3.94450895,0.05006215,0.077536472,-0.579123776,-0.111733812,1.075141739,-2.64055355,-1
63,MODEL1,PARMS,sLB1,0.494757567,-0.415964425,0.099332947,-0.234497486,0.737354762,0.169540172,-0.163769129,0.369487948,-1
64,MODEL1,PARMS,sLB1,0.50939287,-0.365303433,0.024118204,0.154505209,-0.68663678,0.186634234,-0.19533757,0.28019515,-1
65,MODEL1,PARMS,sLB1,0.574342864,2.161435629,-0.052349357,0.266317269,-1.047411282,0.046240028,0.160782715,-0.768560141,-1
66,MODEL1,PARMS,sLB1,0.56060492,-4.904495547,0.02436423,-0.217799301,0.777071626,0.508586369,-2.124702517,5.046123758,-1
67,MODEL1,PARMS,sLB1,0.56242411,2.315997774,0.178064998,-0.349549811,0.994614417,-0.03308562,0.466123373,-1.150349395,-1
68,MODEL1,PARMS,sLB1,0.5103452,-3.416059676,0.186731577,-0.422022099,1.301238531,0.338395018,-0.634335495,1.174496466,-1
69,MODEL1,PARMS,sLB1,0.582822916,-4.372609528,0.056283388,-0.069163962,0.185013758,0.443650342,-0.464271263,0.280720029,-1
70,MODEL1,PARMS,sLB1,0.547297132,-1.872117143,0.113274846,-0.334493887,1.322037037,0.259097455,-0.115859807,0.056223365,-1
71,MODEL1,PARMS,sLB1,0.553914322,2.458380728,0.044144402,0.062909412,-0.519810651,-0.007127529,0.514894427,-1.071570925,-1
72,MODEL1,PARMS,sLB1,0.54903636,1.193431639,-0.001334487,0.248284287,-1.16104643,0.091467854,0.325697771,-1.206939791,-1
73,MODEL1,PARMS,sLB1,0.535771829,-1.839739814,0.049402176,0.101461438,-0.634521127,0.27271221,-0.45684511,1.014055594,-1
74,MODEL1,PARMS,sLB1,0.504421087,-2.137916927,0.001921566,0.047065956,-0.160496489,0.30827607,-0.367635742,0.565208198,-1
75,MODEL1,PARMS,sLB1,0.542656624,-1.268612075,-0.020501905,0.378346409,-1.736601386,0.25445545,-0.424658142,0.871584715,-1
76,MODEL1,PARMS,sLB1,0.499208926,3.027704832,-0.06884467,0.343946626,-1.65857349,-0.003568417,0.391589329,-1.205274573,-1
77,MODEL1,PARMS,sLB1,0.570882625,-0.485287788,0.019724997,0.000529684,-0.355225792,0.208154136,-0.566492016,1.041275977,-1
78,MODEL1,PARMS,sLB1,0.500012331,0.952991074,0.13392663,-0.171190044,0.395779182,0.058549489,0.702632214,-1.735473973,-1
79,MODEL1,PARMS,sLB1,0.546673022,-0.00302419,0.038460812,0.007439462,-0.149395813,0.165154793,-0.294250413,0.370018919,-1
80,MODEL1,PARMS,sLB1,0.529408951,-1.852189729,0.059757084,-0.006865909,-0.159701996,0.272237933,-0.312568456,0.580389728,-1
81,MODEL1,PARMS,sLB1,0.613892904,-0.788975654,0.027499784,-0.200113273,0.815031249,0.23381276,-0.844592528,1.946081802,-1
82,MODEL1,PARMS,sLB1,0.598723457,-2.33435327,0.060972473,0.053864947,-0.797222372,0.317344352,-1.370996364,3.171263467,-1
83,MODEL1,PARMS,sLB1,0.529438124,1.90747858,0.128855472,-0.097821255,-0.057105387,0.00016938,0.664722047,-1.741015042,-1
84,MODEL1,PARMS,sLB1,0.508500096,-0.056731681,0.120302244,-0.182318893,0.523144763,0.122254336,1.114974765,-3.112946689,-1
85,MODEL1,PARMS,sLB1,0.518373123,0.516278797,-0.001397035,0.246036895,-1.176701873,0.141430173,-0.259462056,0.290204886,-1
86,MODEL1,PARMS,sLB1,0.526167664,1.717839764,0.02888473,0.215432511,-1.236020038,0.040029391,0.548961987,-1.583729333,-1
87,MODEL1,PARMS,sLB1,0.491970019,-2.115542003,0.178071072,-0.340369072,0.945120279,0.264998009,-1.071362512,2.397596117,-1
88,MODEL1,PARMS,sLB1,0.521411443,-3.716595132,0.148834982,-0.168350888,0.294785352,0.372906621,-0.765008221,1.417005737,-1
89,MODEL1,PARMS,sLB1,0.542457134,-1.173763932,0.052535549,0.057050982,-0.459772412,0.238234292,-0.914671954,1.950283744,-1
90,MODEL1,PARMS,sLB1,0.516246354,-1.605894461,0.139855828,-0.17961698,0.30523919,0.236006415,-0.48981229,0.907747407,-1
91,MODEL1,PARMS,sLB1,0.550433031,-1.124692525,0.099918154,-0.121898442,0.205840452,0.213764129,0.03874492,-0.558411845,-1
92,MODEL1,PARMS,sLB1,0.528100744,-3.191770817,0.08344332,-0.055375865,0.068592382,0.3480087,-0.448035014,0.787835763,-1
93,MODEL1,PARMS,sLB1,0.485179486,1.964602784,0.080152648,0.139718424,-0.952144112,0.011464137,-0.039566617,0.376009221,-1
94,MODEL1,PARMS,sLB1,0.522558476,-0.300216808,0.114750603,-0.214901998,0.356518478,0.163376312,-0.184823607,0.074364565,-1
95,MODEL1,PARMS,sLB1,0.568571838,-2.932981662,0.119900538,-0.121481135,-0.05125942,0.340683605,-1.29360048,2.766231131,-1
96,MODEL1,PARMS,sLB1,0.520668406,-2.678823936,0.133149868,-0.071725821,-0.239774974,0.299030732,-0.248867023,-0.010608688,-1
97,MODEL1,PARMS,sLB1,0.513845498,-2.441797852,0.054741539,-0.084650988,0.01785509,0.324296035,-0.977527651,2.260525078,-1
98,MODEL1,PARMS,sLB1,0.558326357,-2.797876163,0.110624405,-0.017704768,-0.398500044,0.315425723,-0.360981182,0.55759418,-1
99,MODEL1,PARMS,sLB1,0.550190755,-0.852253278,0.172576526,-0.185957671,0.247055291,0.178742337,-0.270136232,0.389567818,-1
100,MODEL1,PARMS,sLB1,0.537707368,3.410701693,0.119941952,-0.274673474,0.79911401,-0.085856602,0.470543775,-0.893403318,-1
101,MODEL1,PARMS,sLB1,0.524212426,-1.833395003,0.13570195,-0.16917677,0.497488088,0.238607333,0.544109449,-1.969490751,-1
102,MODEL1,PARMS,sLB1,0.512956819,0.21306759,0.142257579,-0.209034664,0.632790212,0.111235074,0.329453636,-0.898372723,-1
103,MODEL1,PARMS,sLB1,0.485563556,1.840498858,-0.026377972,0.205990459,-1.020538532,0.058715865,0.368081215,-1.293842245,-1
104,MODEL1,PARMS,sLB1,0.550545121,-3.628411911,0.119441524,-0.150849777,0.326932352,0.376258063,-0.949586866,1.907391947,-1
105,MODEL1,PARMS,sLB1,0.536444709,2.27793765,0.003330297,0.076163992,-0.394559744,0.01348901,0.935218851,-2.540852685,-1
106,MODEL1,PARMS,sLB1,0.537507536,0.031047933,0.076749831,0.02372234,-0.523245992,0.140765198,0.525464399,-1.743079417,-1
107,MODEL1,PARMS,sLB1,0.534447544,-1.513139,0.115547382,-0.137134068,0.145792453,0.227811668,0.248267343,-1.150770331,-1
