SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RUL
631,MODEL1,PARMS,RUL,1.15737264,-0.327044592,0.050585314,0.239655914,-0.319959654,0.424138971,0.752024547,-2.179106557,-1
632,MODEL1,PARMS,RUL,1.14804898,6.197541011,-0.040833136,0.023534855,0.248547299,0.047253166,0.613883129,-1.382049696,-1
633,MODEL1,PARMS,RUL,1.091501663,5.788267982,0.316372632,-0.560410524,1.809667102,-0.062754795,2.188791205,-5.394960852,-1
634,MODEL1,PARMS,RUL,1.057183829,2.246806632,0.34343881,-0.556952507,2.311348987,0.165841027,0.894341651,-2.435696823,-1
635,MODEL1,PARMS,RUL,1.032468168,0.72228858,0.140665743,-0.186651943,0.661335935,0.341955238,0.034975376,-0.321751536,-1
636,MODEL1,PARMS,RUL,1.007045805,-5.992473146,0.167058397,-0.323766483,1.33543643,0.777286826,-1.707043883,4.078086861,-1
637,MODEL1,PARMS,RUL,1.116816905,-2.327962239,0.095992789,0.039465718,-0.493172882,0.566417727,-1.213260831,2.7904371,-1
638,MODEL1,PARMS,RUL,1.137482625,-1.345461576,0.127280786,0.072088184,-0.549674247,0.472645086,-0.342095467,0.561916162,-1
639,MODEL1,PARMS,RUL,1.031625055,4.437832102,0.093788639,-0.074496038,0.030587246,0.122550323,0.475978784,-1.571549663,-1
640,MODEL1,PARMS,RUL,1.075151887,8.064496725,0.336788449,-0.922547844,3.27763967,-0.183330918,1.203320372,-2.677522421,-1
641,MODEL1,PARMS,RUL,1.136399634,1.839593837,0.293575824,-0.712248464,2.231928078,0.239506593,0.269871734,-0.900958129,-1
642,MODEL1,PARMS,RUL,1.17024231,0.494096906,0.398124599,-0.438437141,0.532732099,0.273211793,0.263703039,-0.5512018,-1
643,MODEL1,PARMS,RUL,1.002218934,-0.665637075,0.312581265,-0.591941729,1.84237129,0.380706024,-0.385067001,0.788167147,-1
644,MODEL1,PARMS,RUL,1.020773477,2.988068653,0.070800719,-0.070726359,0.575533733,0.215770988,-0.352666462,1.388682144,-1
645,MODEL1,PARMS,RUL,1.166725404,-1.650345556,0.050480331,0.389774711,-2.407440113,0.519737062,-0.464792418,0.880522127,-1
646,MODEL1,PARMS,RUL,1.118306097,-0.782023788,0.130579063,-0.099774682,0.387640217,0.427227581,0.53513737,-1.292855961,-1
647,MODEL1,PARMS,RUL,1.046940674,-2.518644067,0.242888032,0.002033867,-0.162682536,0.497405152,0.080469807,-0.615551844,-1
648,MODEL1,PARMS,RUL,1.168275175,1.376481969,0.202907939,-0.591720355,1.475168206,0.316655217,-0.669832061,1.34464657,-1
649,MODEL1,PARMS,RUL,0.974100468,-4.522829173,0.232004949,-0.402679243,1.265514384,0.660116223,-0.892945524,1.719752488,-1
650,MODEL1,PARMS,RUL,1.149321336,9.84753428,0.329387446,-0.528724933,1.420036822,-0.325453371,2.321977251,-4.824598624,-1
651,MODEL1,PARMS,RUL,1.158549773,-16.49747923,0.479478147,-1.077009337,3.738896424,1.368373398,-2.001411837,3.352792932,-1
652,MODEL1,PARMS,RUL,1.011488775,3.079763216,0.283561092,-0.390508027,1.368188444,0.133046445,0.587149706,-1.039744255,-1
653,MODEL1,PARMS,RUL,1.171266296,-0.715788033,0.16676315,-0.373614747,1.361365535,0.438790775,0.125575759,-1.075408813,-1
654,MODEL1,PARMS,RUL,1.116027198,-2.940869712,0.360778992,-0.721649351,2.888547814,0.519005336,0.099314869,-0.741996241,-1
655,MODEL1,PARMS,RUL,1.084747628,1.151118845,0.212641274,-0.569057238,1.846496663,0.299878975,-0.558537797,1.660530836,-1
656,MODEL1,PARMS,RUL,1.114080796,1.319704499,0.026842227,-0.107382753,1.113004596,0.34055337,0.415317524,-1.585460455,-1
657,MODEL1,PARMS,RUL,1.030389542,-0.683584932,0.407622647,-0.734825878,2.460496397,0.351290864,-0.03792261,-0.234711941,-1
658,MODEL1,PARMS,RUL,1.104760379,6.6152096,0.190855822,-0.701447061,3.012646209,-0.038710479,0.060677878,0.581849569,-1
659,MODEL1,PARMS,RUL,1.061206683,1.286230869,0.37941192,-1.404504174,5.187704354,0.265221165,0.532242404,-2.148203799,-1
660,MODEL1,PARMS,RUL,1.120725744,13.10922465,0.330534647,-0.826254012,2.907370034,-0.520671489,2.251112936,-4.348266808,-1
661,MODEL1,PARMS,RUL,1.190414943,1.240755394,0.345386585,-0.613184296,1.24489281,0.257784118,0.031953843,-0.383150491,-1
662,MODEL1,PARMS,RUL,1.079805893,5.089699463,0.412925276,-0.683986849,2.165466401,-0.035828691,1.667416632,-4.05725027,-1
663,MODEL1,PARMS,RUL,1.195771293,5.093403834,0.234247237,-0.432498408,1.294391051,0.019520617,1.125906947,-2.51034465,-1
664,MODEL1,PARMS,RUL,1.080687301,-1.021213909,0.478883155,-0.866272711,2.578274406,0.347402275,-0.301209965,1.251418533,-1
665,MODEL1,PARMS,RUL,1.074468162,8.861116251,0.087131164,-0.270048028,1.454231827,-0.160881823,0.603213567,-0.450148135,-1
666,MODEL1,PARMS,RUL,1.017869013,-3.170838084,0.110917736,0.034684613,0.057051144,0.590671259,-0.46795161,1.006295063,-1
667,MODEL1,PARMS,RUL,1.012280903,11.17455296,0.187156236,-0.257303545,0.581425462,-0.353393217,1.690355917,-3.778947743,-1
668,MODEL1,PARMS,RUL,1.075685563,-8.279840348,0.352957015,-0.505278592,0.611596992,0.869533985,-1.805592698,4.581352793,-1
669,MODEL1,PARMS,RUL,1.079448017,1.778370574,0.190252099,-0.547467404,1.68099287,0.283316264,-0.754787003,1.847402444,-1
670,MODEL1,PARMS,RUL,1.035175353,-0.181415026,-0.021676412,0.196238577,-1.203842796,0.459084776,-0.797417313,1.453241207,-1
671,MODEL1,PARMS,RUL,0.977883414,2.486511048,0.225491974,-0.364352554,1.053887402,0.188991315,0.717528634,-1.440747528,-1
672,MODEL1,PARMS,RUL,1.061572659,-4.564066861,0.152010805,-0.242781483,0.83796863,0.675480965,-0.205234284,-0.519718262,-1
673,MODEL1,PARMS,RUL,1.010030629,0.957730844,0.201087804,-0.241123394,0.887099754,0.300881465,0.405876906,-1.038725689,-1
674,MODEL1,PARMS,RUL,1.146689449,4.356002128,0.350539811,-0.591149061,1.392236749,0.055384852,0.072679502,0.28617286,-1
675,MODEL1,PARMS,RUL,1.101170625,13.42819891,0.142464214,-0.194079264,0.476199226,-0.492652937,2.405209941,-5.29139856,-1
676,MODEL1,PARMS,RUL,1.152969488,-10.49026441,0.311341213,-0.571695337,2.242336858,1.015541723,-1.530720185,2.758316253,-1
677,MODEL1,PARMS,RUL,1.106325556,2.352423553,0.289862642,-0.723552317,2.482687748,0.199305954,0.218382995,-0.440080046,-1
678,MODEL1,PARMS,RUL,1.03933234,0.043889675,0.355676805,-0.628154072,2.00814255,0.316082604,0.166067549,-0.82369957,-1
679,MODEL1,PARMS,RUL,1.031653765,5.628702775,0.178430374,-0.282685814,0.640493264,0.014029898,0.347446402,-0.585528571,-1
680,MODEL1,PARMS,RUL,1.077484738,9.16868979,0.165696361,-0.301362873,1.111182061,-0.225890326,1.646084691,-3.357661608,-1
681,MODEL1,PARMS,RUL,1.097806445,11.33459313,0.384094546,-0.901335454,3.461611274,-0.436103268,2.983206195,-7.08566566,-1
682,MODEL1,PARMS,RUL,1.061162815,-1.091097626,0.032141028,0.148826862,-0.961803941,0.49307123,-0.04993732,-0.363134608,-1
683,MODEL1,PARMS,RUL,1.13873417,-4.344058959,0.095840799,-0.248494463,1.05027332,0.703676475,-1.080011365,1.898783082,-1
684,MODEL1,PARMS,RUL,1.212303468,-0.583130372,0.362598387,-0.647166907,1.525055318,0.378706287,-1.246355663,2.777869722,-1
685,MODEL1,PARMS,RUL,1.133005637,3.742457134,0.415047971,-0.640954993,2.062537478,0.053718535,0.272702013,-0.29359863,-1
686,MODEL1,PARMS,RUL,1.022911069,-0.406803788,0.340656783,-0.370422704,1.408137842,0.326408684,1.261936286,-3.560291618,-1
687,MODEL1,PARMS,RUL,1.022279736,-1.032910355,0.338993752,-0.147962421,-0.097894714,0.370002775,-0.149690166,0.814976562,-1
688,MODEL1,PARMS,RUL,1.071308104,11.80559871,0.476404963,-1.159485088,4.199704715,-0.489515514,2.636551304,-5.482683311,-1
