SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LUL
925,MODEL1,PARMS,LUL,0.936069525,3.236674602,0.213953077,-0.340683231,0.843642494,0.18965658,0.440565371,-1.037831759,-1
926,MODEL1,PARMS,LUL,1.045319235,6.465426735,0.203612998,-0.289504954,0.761950077,-0.027885583,0.994140263,-1.928047697,-1
927,MODEL1,PARMS,LUL,0.968923026,3.668757035,0.321364147,-0.948659232,3.573033129,0.146955402,0.530584661,-1.387755077,-1
928,MODEL1,PARMS,LUL,1.014756628,4.953041794,0.164614301,-0.307483287,0.995597009,0.097978863,0.489042028,-1.351321971,-1
929,MODEL1,PARMS,LUL,0.905069544,6.541899329,0.224907461,-0.308180191,0.54380919,-0.02766126,0.887837354,-2.193406457,-1
930,MODEL1,PARMS,LUL,1.008259972,14.5112308,0.245598337,-0.26167479,0.632844812,-0.585114052,3.687943247,-8.376666154,-1
931,MODEL1,PARMS,LUL,1.125901165,4.415150362,0.282336392,-0.105207118,-0.382786683,0.060620892,1.495726933,-3.730908465,-1
932,MODEL1,PARMS,LUL,0.921888339,14.34150841,0.075210129,0.293278004,-1.749275066,-0.508703727,2.23740882,-4.97327541,-1
933,MODEL1,PARMS,LUL,0.970828161,6.576815806,0.280279142,-0.294812798,0.575079211,-0.056360843,1.387162224,-3.3933355,-1
934,MODEL1,PARMS,LUL,0.999944926,2.234399192,0.236227829,-0.35771274,0.812590976,0.251143636,-0.080294429,0.290027905,-1
935,MODEL1,PARMS,LUL,1.07578417,7.360889609,0.419809238,-0.842032935,2.739047756,-0.151204611,1.59130767,-3.301805914,-1
936,MODEL1,PARMS,LUL,0.974904258,5.109185805,0.360770554,-0.618111638,1.848858746,0.025286501,0.631495034,-1.181842927,-1
937,MODEL1,PARMS,LUL,0.974220517,-1.752627301,0.297727954,-0.233248089,-0.208677098,0.480407165,-0.529183515,1.532512725,-1
938,MODEL1,PARMS,LUL,1.037627783,2.118734659,0.349581123,-0.47187236,1.011760959,0.200255387,0.798156355,-1.431472567,-1
939,MODEL1,PARMS,LUL,0.942332736,-1.432302216,0.20530518,-0.049833077,-0.873759037,0.48934533,-0.541800325,0.963949436,-1
940,MODEL1,PARMS,LUL,0.93871519,9.066456758,0.212804298,-0.251636266,0.676284775,-0.203394215,2.061236932,-5.279366933,-1
941,MODEL1,PARMS,LUL,0.936843614,10.71829515,0.172088757,-0.209166555,0.317998198,-0.287108324,1.521188805,-3.649358376,-1
942,MODEL1,PARMS,LUL,0.943032824,14.20856985,0.101373833,0.011097476,-0.541903937,-0.486035213,1.285023984,-2.288096235,-1
943,MODEL1,PARMS,LUL,1.03640204,5.415414566,0.451670765,-1.000410077,3.364019086,-0.029106763,1.408516842,-3.04918982,-1
944,MODEL1,PARMS,LUL,0.963274587,7.872158464,0.207378171,-0.495970336,1.997156234,-0.105503018,1.779374554,-4.414653815,-1
945,MODEL1,PARMS,LUL,0.97282255,11.21700384,0.247984231,-0.370470917,0.824620915,-0.337715775,1.515933804,-3.006576169,-1
946,MODEL1,PARMS,LUL,0.997666152,8.600577875,0.272698297,-0.569952712,1.831340304,-0.16281645,0.389611713,-0.10305655,-1
947,MODEL1,PARMS,LUL,0.937223515,8.936103025,0.238075767,-0.130004392,-0.582793737,-0.194854153,1.614991076,-3.130634678,-1
948,MODEL1,PARMS,LUL,0.911022165,6.083834758,0.331821266,-0.542592262,1.122032353,-0.030002204,0.775267831,-1.731699954,-1
949,MODEL1,PARMS,LUL,0.962053523,14.49740131,0.327920524,-0.606437436,1.281684098,-0.589060712,3.359755716,-7.684238509,-1
950,MODEL1,PARMS,LUL,0.933272952,3.643367797,0.203808269,-0.377347577,1.416002905,0.150114629,1.449411189,-3.819348632,-1
951,MODEL1,PARMS,LUL,0.954802129,10.47684786,0.245015778,-0.350433637,1.219855463,-0.295904544,1.822478652,-3.992500547,-1
952,MODEL1,PARMS,LUL,1.044449942,4.160153078,-0.091598746,-0.041291818,0.142887792,0.242622882,0.289423482,-1.177285805,-1
953,MODEL1,PARMS,LUL,0.910919919,11.77547361,0.0525943,0.336263331,-2.281871835,-0.328219821,1.81886522,-4.023999043,-1
954,MODEL1,PARMS,LUL,0.950445125,8.626531148,0.345779959,-0.608242873,1.840261749,-0.205847198,1.333230908,-2.81236144,-1
955,MODEL1,PARMS,LUL,1.066039436,2.595371144,0.412815755,-0.48556635,1.092346786,0.140641381,1.006659856,-1.935815005,-1
956,MODEL1,PARMS,LUL,0.947416459,1.48628175,0.197102617,-0.397319377,0.77399921,0.331754109,-0.584447819,1.072109501,-1
957,MODEL1,PARMS,LUL,0.953911499,-0.689618946,0.174295527,-0.235185241,0.393696286,0.4705299,-0.725232815,1.120967108,-1
958,MODEL1,PARMS,LUL,0.912666128,1.294725467,0.286435552,-0.658995882,2.186134187,0.313436378,-0.73603114,1.739738345,-1
959,MODEL1,PARMS,LUL,1.000397971,11.45886302,0.290982963,-0.266985055,-0.118894985,-0.376684476,2.081954959,-4.775265642,-1
960,MODEL1,PARMS,LUL,1.093309434,-3.441789777,0.25330198,-0.238994261,-0.400164829,0.625044777,-1.944153575,4.672761505,-1
961,MODEL1,PARMS,LUL,1.02163733,7.264191996,0.107477853,0.063594636,-0.637935793,-0.050254911,1.472073473,-3.599863241,-1
962,MODEL1,PARMS,LUL,1.01136993,10.9885483,0.015333822,0.084933411,-0.474862283,-0.252866624,1.486476105,-2.920539946,-1
963,MODEL1,PARMS,LUL,1.038385236,8.042276219,-0.104298909,0.665826947,-3.484419439,-0.029801718,0.465559789,-0.624926317,-1
964,MODEL1,PARMS,LUL,0.904977383,0.719617838,0.400066684,-0.777599944,2.786038753,0.309052065,-0.96120993,2.676329793,-1
965,MODEL1,PARMS,LUL,0.937326519,11.08202942,0.106359024,-0.115885096,-0.025984019,-0.290102826,1.685021833,-3.822859408,-1
966,MODEL1,PARMS,LUL,0.871294926,10.43873299,0.168216018,-0.170580386,0.008348184,-0.266584638,0.970533975,-1.699881642,-1
967,MODEL1,PARMS,LUL,0.94140256,9.536814525,0.063429589,0.073763517,-0.750635592,-0.169105924,1.462419007,-3.547801044,-1
968,MODEL1,PARMS,LUL,0.989889884,14.86224534,0.33866421,-0.49027459,0.873139214,-0.608813299,1.41536762,-1.809682966,-1
969,MODEL1,PARMS,LUL,1.01185958,11.29932392,0.23821118,-0.108569021,-0.283262408,-0.366729384,1.579859693,-2.567089627,-1
970,MODEL1,PARMS,LUL,0.898723245,6.989672272,0.011967881,0.015520094,-0.671205415,0.013620833,1.537412859,-4.424407065,-1
971,MODEL1,PARMS,LUL,0.96203033,8.433224746,0.223036668,-0.289609106,0.438691397,-0.146672539,0.876917618,-2.036989909,-1
972,MODEL1,PARMS,LUL,0.958412113,4.300237992,0.434145784,-0.867408378,3.052298723,0.05308457,1.28667215,-3.507036135,-1
973,MODEL1,PARMS,LUL,0.92653566,13.78836179,0.196137792,-0.115077238,-0.672401093,-0.489958735,1.795420942,-3.699371055,-1
974,MODEL1,PARMS,LUL,1.018369981,12.70439511,-0.005300774,0.189091452,-1.010161951,-0.357822035,1.808641831,-4.003145481,-1
975,MODEL1,PARMS,LUL,0.874796711,11.20636638,0.303666365,-0.574460036,1.573215749,-0.360876857,1.981102925,-4.168374673,-1
976,MODEL1,PARMS,LUL,1.002368092,5.962644931,0.352506443,-0.593530276,1.813342419,-0.029153017,0.939473352,-2.029914974,-1
977,MODEL1,PARMS,LUL,1.048943688,13.09545936,0.064010475,-0.198115956,0.236552641,-0.405343676,2.377188015,-5.63516545,-1
978,MODEL1,PARMS,LUL,1.020544648,5.435757658,0.374678144,-0.864836184,3.437249996,0.001840554,0.617749215,-1.237113768,-1
979,MODEL1,PARMS,LUL,1.104975236,0.91198187,0.371901833,-0.793571812,3.301833302,0.291551226,0.220371104,-0.768322398,-1
980,MODEL1,PARMS,LUL,0.947468541,20.31177154,0.046299986,0.375039065,-2.43875176,-0.874527163,2.039993113,-3.045210604,-1
981,MODEL1,PARMS,LUL,0.990245984,-0.634353526,0.014924372,-0.038409532,0.522619682,0.508123532,-0.537058634,0.631804893,-1
982,MODEL1,PARMS,LUL,1.010853029,8.056963583,0.053580397,0.263326463,-1.406187204,-0.082962626,0.383426566,-0.402724315,-1
983,MODEL1,PARMS,LUL,0.909414852,3.250352934,0.031769541,0.181423869,-0.992470449,0.257083285,-0.782494827,1.833687559,-1
984,MODEL1,PARMS,LUL,0.985775852,5.562453254,0.295002262,-0.473763522,1.539921378,0.008277269,0.562148969,-1.021807136,-1
985,MODEL1,PARMS,LUL,1.102604223,17.92917023,0.175982939,-0.323756209,0.342718429,-0.74752391,2.658009851,-5.923337056,-1
986,MODEL1,PARMS,LUL,1.012472205,9.62507321,0.159068472,-0.188626402,-0.105428968,-0.213970739,2.180159391,-5.229264809,-1
