SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
247,MODEL1,PARMS,RLL,0.851599616,2.163218321,0.004664627,-0.387630405,2.00669335,0.263150538,-0.079997098,-0.171042604,-1
248,MODEL1,PARMS,RLL,0.935739048,12.58945468,0.067254651,-0.261954415,0.853971214,-0.442672881,1.621044145,-3.747354865,-1
249,MODEL1,PARMS,RLL,0.935512165,4.267383633,-0.101172338,0.440339596,-2.114281259,0.132740496,0.538566322,-1.594098686,-1
250,MODEL1,PARMS,RLL,0.925347375,1.692895131,0.170567588,-0.453442034,1.497153577,0.244678808,-0.798997432,2.096442675,-1
251,MODEL1,PARMS,RLL,0.882781883,-3.951258733,0.095397678,-0.258618939,0.683473906,0.634284017,-1.647409106,3.416874174,-1
252,MODEL1,PARMS,RLL,0.894838632,-9.004138172,-0.094685077,0.160225572,-0.598047272,1.030726844,-3.244456179,6.897789352,-1
253,MODEL1,PARMS,RLL,0.894089129,-4.849643477,0.028356713,-0.265729943,0.890946294,0.712697151,-1.579940525,3.047573269,-1
254,MODEL1,PARMS,RLL,0.851116315,2.801526519,-0.041796245,-0.178781077,0.396548148,0.23408624,-0.363556887,0.824909549,-1
255,MODEL1,PARMS,RLL,0.866809767,1.551096729,0.173845967,-0.645053507,2.5468489,0.246290586,0.142529157,-0.897742356,-1
256,MODEL1,PARMS,RLL,0.844923322,-0.756176463,-0.080706694,-0.007051441,0.439344972,0.479017414,-0.664509264,0.935719415,-1
257,MODEL1,PARMS,RLL,0.955081417,2.961547553,0.110348678,-0.603619551,2.481694924,0.166597325,0.652897121,-1.771326151,-1
258,MODEL1,PARMS,RLL,0.883381965,-2.326257857,-0.032392084,-0.141669036,0.661125417,0.559940362,-0.539894901,0.390079545,-1
259,MODEL1,PARMS,RLL,0.87298654,4.430911135,0.088887074,-0.098540743,-0.090947407,0.088062697,-0.002604892,-0.308150674,-1
260,MODEL1,PARMS,RLL,0.850436451,-0.710945734,-0.128740531,0.185777254,-0.73115764,0.48474252,-0.352460732,0.135837342,-1
261,MODEL1,PARMS,RLL,0.963790305,-6.41375793,0.021334327,-0.013220859,-0.027255007,0.797808558,-1.173720843,2.274106358,-1
262,MODEL1,PARMS,RLL,0.912554517,-4.703643027,0.007636684,-0.047350898,0.181440209,0.69512868,-0.186821309,-0.919296785,-1
263,MODEL1,PARMS,RLL,0.871478501,-7.070771625,0.108945662,-0.235257555,0.581864485,0.828574746,-1.930136524,3.680052055,-1
264,MODEL1,PARMS,RLL,0.948415739,-7.951456595,-0.026178308,-0.015945174,0.024180461,0.924436054,-2.278126449,4.958769566,-1
265,MODEL1,PARMS,RLL,0.862956768,-7.213105732,0.015931749,-0.286234727,1.336081636,0.875188217,-1.862731652,3.219027447,-1
266,MODEL1,PARMS,RLL,0.897776459,-4.015031566,-0.067381011,0.154631052,-0.547330202,0.679375439,-1.615002129,3.316429632,-1
267,MODEL1,PARMS,RLL,0.959369563,3.61991175,0.098989581,-0.477417847,1.96137506,0.139735304,0.255828759,-1.195963185,-1
268,MODEL1,PARMS,RLL,0.910581905,5.34358179,-0.157312073,0.11474362,-0.168504109,0.111283853,-0.459793519,0.769727034,-1
269,MODEL1,PARMS,RLL,0.912003964,0.308755717,0.069581424,0.016622577,-0.490742433,0.349360946,-0.000831417,-0.646694223,-1
270,MODEL1,PARMS,RLL,0.947329682,-1.084392422,-0.078094555,-0.320643914,1.854047904,0.506679537,-0.997859669,2.01696432,-1
271,MODEL1,PARMS,RLL,0.840117841,3.139285252,0.028457058,-0.088161251,0.419466735,0.186406976,0.332835153,-1.112434203,-1
272,MODEL1,PARMS,RLL,0.913083108,3.190156856,0.093149433,-0.231599172,0.657039323,0.163252306,-0.232908545,0.27499294,-1
273,MODEL1,PARMS,RLL,0.878720305,-3.046258233,-0.046167552,0.004500662,0.229235563,0.612892257,-0.648444275,0.443920582,-1
