SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,BronInt
636,MODEL1,PARMS,BronInt,0.999950222,6.384620357,0.311688678,-0.827698407,2.926198971,0.027799363,0.272607786,-1.006564196,-1
637,MODEL1,PARMS,BronInt,1.056461281,4.297971768,0.060726058,0.01259833,0.133061215,0.223636105,-0.09675583,-0.1250438,-1
638,MODEL1,PARMS,BronInt,1.082190139,-1.331920945,0.189013549,-0.373167024,1.3184203,0.564287701,-1.395451623,2.752997366,-1
639,MODEL1,PARMS,BronInt,1.069975242,6.739928353,0.023261917,-0.05021594,0.487067292,0.077316167,0.932598987,-3.070956123,-1
640,MODEL1,PARMS,BronInt,1.006996573,11.2370924,0.222782446,-0.658953524,2.512218071,-0.271696851,2.012600201,-5.111958999,-1
641,MODEL1,PARMS,BronInt,1.114515929,12.14003336,0.125813577,-0.344607177,0.839773737,-0.30036376,1.930415094,-4.768739317,-1
642,MODEL1,PARMS,BronInt,1.06035229,2.587125531,0.116962806,-0.191843425,0.290661261,0.325570956,0.283816467,-1.463944691,-1
643,MODEL1,PARMS,BronInt,1.063841167,12.2170628,0.046278492,-0.003648674,-0.03749764,-0.291813857,1.457707168,-3.339823007,-1
644,MODEL1,PARMS,BronInt,1.088190971,7.33123161,0.301992071,-1.067992618,4.075586792,-0.030598517,0.959012586,-2.489715564,-1
645,MODEL1,PARMS,BronInt,1.060121806,-1.032989306,0.102583492,-0.298100119,0.80156707,0.576563803,-1.289109624,2.376772076,-1
646,MODEL1,PARMS,BronInt,1.067958073,6.999667923,0.255834237,-0.670836149,2.492760457,-0.006634727,1.053673871,-2.678326065,-1
647,MODEL1,PARMS,BronInt,1.06649116,0.548185027,0.074908702,-0.307220035,1.881756014,0.463428744,0.402673623,-2.125829986,-1
648,MODEL1,PARMS,BronInt,1.203120893,5.325811703,0.160017209,-0.639527974,2.073004396,0.159188767,-0.88435847,1.935056143,-1
649,MODEL1,PARMS,BronInt,1.118277279,-0.986617895,0.179032658,-0.344129746,0.929052278,0.540205468,-0.429015797,-0.167636061,-1
650,MODEL1,PARMS,BronInt,1.035060424,20.17724995,0.064826715,-0.223017521,0.969413163,-0.817149463,2.673110568,-5.374129204,-1
651,MODEL1,PARMS,BronInt,1.009098446,-8.293562175,0.20358186,-0.51500992,1.999834037,1.01273297,-1.893785816,2.956826387,-1
652,MODEL1,PARMS,BronInt,1.126040138,3.84113569,0.063136363,0.237792535,-1.078112277,0.236330595,0.336281558,-1.582153911,-1
653,MODEL1,PARMS,BronInt,1.054265452,3.539332998,0.180416677,-0.332198068,0.747893661,0.247147384,0.148428041,-0.921761821,-1
654,MODEL1,PARMS,BronInt,1.072777715,0.981162023,0.228094648,-0.440688545,1.91273485,0.384827775,0.246308316,-1.051798409,-1
655,MODEL1,PARMS,BronInt,1.198008069,11.78801002,0.160452092,-1.013431238,3.662567612,-0.267230172,0.838652694,-2.01898527,-1
656,MODEL1,PARMS,BronInt,1.094537289,-1.038854035,0.186821758,-0.667325343,3.174189959,0.54061241,-0.527400922,0.213918242,-1
657,MODEL1,PARMS,BronInt,1.069472425,2.139072744,0.201460965,-0.454519712,1.939181626,0.324198466,-0.05920422,-0.678597474,-1
