SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LUL
235,MODEL1,PARMS,LUL,1.018662836,1.596573995,0.197316216,0.244027624,-1.632338856,0.213238187,-1.002821126,2.349370563,0.41804291,0.043793265,-1.299995872,-1
236,MODEL1,PARMS,LUL,1.163826061,3.688361877,0.212274062,-0.258826477,1.640905242,0.273655478,-0.328857823,1.368260521,-0.288059864,1.964986148,-4.916568846,-1
237,MODEL1,PARMS,LUL,1.0642685,15.17814432,0.101000068,0.251789574,-1.397664178,-0.542144433,-0.169768698,1.367727105,0.309816413,0.900707116,-2.842413913,-1
238,MODEL1,PARMS,LUL,1.104885484,17.051797,-0.062543723,0.013485541,0.720424027,-0.485922939,0.111044908,0.958815396,-0.048210059,1.183109291,-2.828295606,-1
239,MODEL1,PARMS,LUL,1.038796952,7.585166473,-0.144285888,0.630617552,-2.106894141,-0.035305542,-1.38208295,3.916787464,0.446168816,-0.295261413,-0.05055949,-1
240,MODEL1,PARMS,LUL,1.006435514,0.965096131,0.389193547,-0.718080423,2.502504305,0.17467043,-1.361008666,3.65592575,0.648986716,-1.601335852,3.431765646,-1
241,MODEL1,PARMS,LUL,1.05354485,9.118337095,0.070406992,0.334034242,-0.950911339,-0.205879576,-0.881055433,2.984558898,0.421134143,0.389728731,-1.814653473,-1
242,MODEL1,PARMS,LUL,1.201179623,13.22028546,0.093539202,0.090510799,-0.153589434,-0.523356264,0.821229821,0.468520186,0.670408174,-0.682232986,-0.147518288,-1
243,MODEL1,PARMS,LUL,1.066831335,3.392266983,-0.114134536,0.264601316,-0.092300598,0.215366457,-0.74230893,2.054632366,0.407217861,-0.45568962,0.949554669,-1
244,MODEL1,PARMS,LUL,1.016758104,1.375875961,0.344025701,-0.275816589,1.325274471,0.109678854,-0.125971396,0.47793481,0.679437158,-1.037295667,1.691984869,-1
245,MODEL1,PARMS,LUL,0.945982824,-5.454732228,0.200860985,-0.025448095,-0.395767666,0.616484372,-2.542037885,5.376978946,0.561748982,-0.538381273,0.831583955,-1
246,MODEL1,PARMS,LUL,1.095268667,7.168239111,0.259356722,-0.186384458,-0.484514742,-0.021457247,-0.718409362,1.548724554,0.101496293,0.624676539,-1.89667178,-1
247,MODEL1,PARMS,LUL,1.038762677,1.062378174,0.050961337,0.297858196,-1.496103898,0.260747818,-0.715161383,1.577854398,0.567085723,-0.786527266,1.221996848,-1
248,MODEL1,PARMS,LUL,1.052733623,4.624349636,0.105245906,-0.091497345,0.346071215,0.031358956,-0.909255327,2.516792909,0.674944646,-1.496154256,2.971121506,-1
249,MODEL1,PARMS,LUL,0.970020127,-2.104141146,0.14561671,0.262807303,-1.304113964,0.515541063,-2.517115305,6.000228388,0.211116385,0.62612936,-2.03101893,-1
250,MODEL1,PARMS,LUL,1.052766868,7.880813901,0.114972114,-0.02060404,-0.023010612,-0.175332003,-1.064880982,3.363714363,0.612473203,-0.128084592,-0.94379134,-1
