SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB10
626,MODEL1,PARMS,sLB10,0.95958682,2.904075566,-0.247976511,0.790624542,-2.812489045,0.105986155,-1.076821076,2.943102077,0.001439875,0.964760623,-2.768439495,-1
627,MODEL1,PARMS,sLB10,0.993357255,0.992330264,-0.270820323,0.72174491,-2.735661532,0.155557986,-0.249927941,0.681880473,0.263642733,-0.503793387,0.750701284,-1
628,MODEL1,PARMS,sLB10,0.928597739,7.025105136,0.137145018,-0.543733982,2.437921648,-0.184709824,0.38391954,-0.946646759,-0.162155677,0.812672687,-1.949356669,-1
629,MODEL1,PARMS,sLB10,0.891081197,20.31674766,-0.067476944,-0.054348149,0.969262874,-1.034464702,2.496331882,-4.560677042,0.125929472,0.161476166,-0.424432526,-1
630,MODEL1,PARMS,sLB10,0.905980131,-0.130932216,-0.244527733,0.78418798,-3.108628038,0.191051476,-1.906894794,4.492006138,0.422015853,-0.521902864,0.568552531,-1
631,MODEL1,PARMS,sLB10,1.045506405,3.374049949,-0.215673887,0.596008057,-1.894537817,0.04636108,-0.05071111,0.218569374,0.143665808,-0.829145533,2.338559185,-1
632,MODEL1,PARMS,sLB10,0.929107091,2.53887463,-0.141387031,0.314507382,-0.863624825,-0.044488316,0.602326163,-1.09936571,0.54754448,-1.856462285,3.952092517,-1
633,MODEL1,PARMS,sLB10,1.005044543,5.555502591,0.180667722,-0.772758095,3.548883134,-0.239168157,-0.102968449,0.21022965,0.35191913,-0.713882785,1.570427154,-1
634,MODEL1,PARMS,sLB10,0.929377547,-3.954014019,-0.080678823,0.3642729,-1.389682621,0.432839729,-1.345308891,2.882907338,0.180372583,-0.250204473,0.292537071,-1
635,MODEL1,PARMS,sLB10,0.860538802,1.726873511,-0.069435146,0.258316486,-1.33423591,0.033915705,-1.183816521,3.20469072,0.386009913,-0.596240349,0.833493726,-1
636,MODEL1,PARMS,sLB10,0.928697776,7.900034571,-0.106641283,0.088454864,0.01712112,-0.203928899,0.134236958,0.081096118,-0.077853194,0.553610358,-0.889854801,-1
637,MODEL1,PARMS,sLB10,1.018578581,10.32599324,-0.434519186,1.042852798,-3.480301805,-0.413647225,0.627197491,-0.996607415,0.526230097,-1.312720043,2.39859327,-1
638,MODEL1,PARMS,sLB10,0.978474265,-9.89665193,-0.196772873,0.353413451,-1.099703179,0.849777353,-3.624168799,7.69119756,0.143702204,0.469978868,-1.473393123,-1
639,MODEL1,PARMS,sLB10,0.912618506,4.417426962,-0.191924284,0.3060407,-0.548869438,0.030528949,-0.846712817,2.221743724,-0.037959178,0.195836418,-0.672779428,-1
640,MODEL1,PARMS,sLB10,0.815891222,6.070707714,-0.22407153,0.775481248,-3.170123132,-0.186175559,0.737724832,-1.415017878,0.350199291,-1.179728917,2.874368643,-1
641,MODEL1,PARMS,sLB10,0.882580642,-2.240809559,0.030929075,-0.073158917,0.578814059,0.211889188,-0.470115827,0.574990845,0.499411527,-1.142403932,2.278225999,-1
642,MODEL1,PARMS,sLB10,0.877192286,9.800985343,0.256759768,-0.553649167,1.923677089,-0.561377606,1.375044823,-1.917207817,0.373227473,-0.521994055,0.561487945,-1
643,MODEL1,PARMS,sLB10,0.91862648,-4.682399529,-0.157074005,0.223119283,-0.078466788,0.464908029,-1.668692079,3.534007858,0.352870845,-0.700035838,0.98673342,-1
644,MODEL1,PARMS,sLB10,0.888967248,12.14234554,-0.103399371,0.450846289,-1.365278777,-0.579657649,1.429084073,-1.763946046,0.25953055,-0.268492205,0.277019461,-1
645,MODEL1,PARMS,sLB10,0.897766378,2.616689443,-0.170512373,0.325249223,-1.162803659,-0.016930014,-0.798680894,2.115120948,0.519212277,-1.216927925,2.371406545,-1
646,MODEL1,PARMS,sLB10,0.863141472,-2.954091535,-0.032568502,-0.002511142,0.427862962,0.249809755,-1.558627479,3.131994412,0.601941542,-0.995466343,1.688256466,-1
647,MODEL1,PARMS,sLB10,1.008335282,6.381612589,-0.33375646,0.891313291,-3.147274454,-0.083545589,-0.556231403,1.610569903,0.115449123,-0.196023378,0.375359602,-1
648,MODEL1,PARMS,sLB10,0.908441077,14.77861613,-0.360804927,0.833145938,-2.759309849,-0.75933637,2.434941378,-4.746236162,0.658540897,-1.62865064,3.286489902,-1
649,MODEL1,PARMS,sLB10,0.89818855,-2.491498339,-0.163349277,0.644168221,-2.409337516,0.276162101,-0.407917934,0.193209789,0.500607314,-1.35574712,2.658887876,-1
650,MODEL1,PARMS,sLB10,0.86626631,0.118825343,-0.216244368,0.526417986,-1.469863469,0.142532113,-0.550356093,1.037015195,0.462405136,-0.975003083,1.950348074,-1
651,MODEL1,PARMS,sLB10,1.015099245,18.38829524,-0.22228548,0.092590445,0.193172078,-0.922260277,2.217794091,-4.08535827,0.422310942,-0.936855288,2.016934584,-1
652,MODEL1,PARMS,sLB10,1.01603846,-1.230295558,-0.481176757,0.977078785,-3.107106884,0.321056538,-0.513716018,0.946049322,0.414013486,-1.321729782,2.707886915,-1
653,MODEL1,PARMS,sLB10,0.916909554,8.641402647,0.026050578,0.022133309,-0.084639976,-0.394341191,0.732389943,-0.800950784,0.315488414,-0.778445408,1.350693105,-1
