SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LB1
767,MODEL1,PARMS,LB1,0.753890407,6.041160108,0.20786874,-0.333384083,0.533297095,-0.252382736,1.366407846,-3.683827676,0.175396818,-0.042731409,0.257577039,-1
768,MODEL1,PARMS,LB1,0.768315335,7.694195421,-0.051173889,0.004879794,-0.084944182,-0.221193852,0.729790629,-1.888127525,0.027219341,0.646722971,-1.271116368,-1
769,MODEL1,PARMS,LB1,0.7672556,3.339527556,-0.130002541,0.357229751,-1.075653798,0.006875573,-0.919157353,2.210214409,0.218095572,-0.087086366,0.225767791,-1
770,MODEL1,PARMS,LB1,0.703840338,-3.681255015,0.28289524,-0.557164383,2.02770888,0.228282142,-0.933578432,1.794098919,0.48286501,-0.30723636,0.306200201,-1
771,MODEL1,PARMS,LB1,0.769051034,6.566883968,-0.156512685,0.524031914,-2.640648885,-0.181965705,0.48444641,-0.531891324,0.226697588,-0.456763206,0.838550587,-1
772,MODEL1,PARMS,LB1,0.737429954,-0.142123995,-0.016630611,-0.505354387,1.666287487,0.192963495,-0.954188192,2.096476213,0.286069773,0.028128512,-0.678964604,-1
773,MODEL1,PARMS,LB1,0.698203609,10.76743023,0.247815323,-0.60749031,2.110680145,-0.540914017,1.455103407,-3.098309453,0.154461986,0.664335255,-1.598263921,-1
774,MODEL1,PARMS,LB1,0.70203626,11.80039868,-0.044565629,0.11832035,-0.867170513,-0.51922113,1.030139296,-2.394977862,0.182781015,0.628431282,-1.854602062,-1
775,MODEL1,PARMS,LB1,0.767242467,12.57087766,-0.039391595,-0.156903053,0.444084953,-0.439636535,1.005714286,-1.996810811,-0.256291794,1.232631145,-2.326226155,-1
776,MODEL1,PARMS,LB1,0.745174303,12.84042484,-0.093627739,-0.045540473,0.471080021,-0.5594926,1.286606418,-2.916074627,0.145834202,0.48981208,-1.31812945,-1
777,MODEL1,PARMS,LB1,0.764505413,2.225139992,-0.067522503,0.195474337,-0.932933106,0.097353951,-0.725891929,1.387143355,0.051812014,0.938850229,-2.403746209,-1
778,MODEL1,PARMS,LB1,0.715584947,9.695140046,-0.036182543,-0.068869911,0.24450272,-0.342115196,0.597097704,-1.277053473,-0.006136051,0.789531387,-1.907988397,-1
779,MODEL1,PARMS,LB1,0.671193228,14.7820011,-0.067335798,0.084640968,0.060125088,-0.755611074,2.342413996,-4.585465626,0.377280879,-0.395783682,0.45182524,-1
780,MODEL1,PARMS,LB1,0.782346067,11.73608024,0.026326169,-0.041006064,-0.092875311,-0.600588219,1.956197824,-4.4686318,0.389158162,-0.520336136,1.122970978,-1
781,MODEL1,PARMS,LB1,0.715498742,8.009549751,0.116666722,-0.066196524,-0.631628699,-0.339270011,0.66482267,-1.414963157,0.161967182,0.462097596,-1.348880323,-1
782,MODEL1,PARMS,LB1,0.655858143,10.1399169,0.128209158,-0.253144503,0.693674012,-0.479653399,0.879040132,-1.458381292,0.17957408,0.670056418,-1.92829785,-1
783,MODEL1,PARMS,LB1,0.78629456,11.74449175,-0.036366337,0.306234104,-1.60288048,-0.548788114,1.518432709,-3.207861964,0.226831287,0.365107043,-1.071052783,-1
784,MODEL1,PARMS,LB1,0.665450997,8.484993794,0.248005767,-0.54589276,1.364213462,-0.444835865,0.550710381,-0.541627299,0.32681214,0.189332524,-1.000965552,-1
785,MODEL1,PARMS,LB1,0.783114921,5.223153707,-0.076429222,0.353852911,-1.5960239,-0.199288765,-0.322541808,1.547864579,0.503302942,-0.701445704,0.856606284,-1
786,MODEL1,PARMS,LB1,0.732758712,11.93899197,0.172268855,-0.256579954,0.524179013,-0.618407451,1.379116159,-2.656608263,0.24656868,0.634960256,-2.141324432,-1
787,MODEL1,PARMS,LB1,0.708109602,8.021881106,0.128669831,-0.170333955,-0.252364599,-0.296516917,0.283379771,-0.662595003,0.056388547,0.653834693,-1.624029745,-1
788,MODEL1,PARMS,LB1,0.814768102,15.06458307,-0.046409537,0.001457185,0.164276471,-0.662103835,2.237774538,-5.211577051,-0.0295579,0.57769016,-1.183639881,-1
789,MODEL1,PARMS,LB1,0.789259285,5.934609089,0.003496922,0.261832654,-0.82510089,-0.18093044,0.669808607,-1.521052086,0.161179419,-0.428266963,1.241790711,-1
790,MODEL1,PARMS,LB1,0.746671613,21.10181106,0.021506877,-0.070277118,0.140130405,-0.980882788,2.440810375,-4.736123863,-0.298805899,1.959561178,-4.445307772,-1
791,MODEL1,PARMS,LB1,0.723046134,5.170584534,0.055946366,-0.105608818,0.166093001,-0.051575588,0.464279082,-1.372086036,-0.180493851,1.128983846,-2.579244714,-1
792,MODEL1,PARMS,LB1,0.712630635,16.20969855,0.12248771,-0.162460144,0.307501339,-0.77939058,2.819226102,-6.159963667,-0.032586594,0.32733152,-0.477256551,-1
793,MODEL1,PARMS,LB1,0.781670937,-0.698948283,0.050066558,-0.097391182,0.393680507,0.203933863,-0.115153824,-0.068184931,0.196572327,-0.301842936,0.693056002,-1
794,MODEL1,PARMS,LB1,0.824902568,8.32473902,0.107190224,-0.342085407,0.785192666,-0.315800859,1.175262145,-2.556578894,0.046915054,0.078206577,0.118177748,-1
795,MODEL1,PARMS,LB1,0.751201951,4.710864578,0.146927508,-0.459814107,1.715098162,-0.186857964,0.709485852,-1.703955224,0.337480033,-0.390013151,0.783163426,-1
796,MODEL1,PARMS,LB1,0.763582753,13.29265962,0.11059993,-0.00702248,-0.319394673,-0.696705625,2.01160898,-4.251924427,0.262331436,0.079320744,-0.255339236,-1
797,MODEL1,PARMS,LB1,0.738331159,14.4239884,-0.020078914,0.26833622,-1.917808709,-0.704376955,0.902813676,-1.22624272,0.260235696,0.035472025,-0.209903657,-1
798,MODEL1,PARMS,LB1,0.749015289,5.687905983,-0.002654803,0.304390985,-1.271951652,-0.129031542,-0.153332205,0.601055998,0.00845061,1.027618524,-2.720611979,-1
799,MODEL1,PARMS,LB1,0.733804349,10.31814667,-0.055533872,0.107720465,-0.381192,-0.36962693,0.95769677,-2.026733573,0.002472442,0.135275037,0.182066056,-1
800,MODEL1,PARMS,LB1,0.665598453,22.22404412,0.334704347,-0.598172261,1.059430518,-1.225225841,3.062477201,-6.023648874,0.00339571,1.497317883,-3.829121287,-1
801,MODEL1,PARMS,LB1,0.747377367,13.14826282,0.093411524,-0.174850885,0.352275177,-0.661544136,2.254274598,-4.662915715,0.22552227,-0.028474885,-0.032417254,-1
802,MODEL1,PARMS,LB1,0.788385674,7.347897607,0.11361953,-0.264455574,0.487040104,-0.185007007,0.363210157,-0.950261904,-0.19242517,1.109951742,-2.257574147,-1
803,MODEL1,PARMS,LB1,0.849251926,8.636899361,-0.020820352,0.15964458,-0.280035205,-0.178286467,0.65028762,-1.622612243,-0.414969755,1.562269165,-3.134091754,-1
804,MODEL1,PARMS,LB1,0.698647703,10.25321033,0.072589115,-0.009246075,-0.207853863,-0.500428025,1.654961853,-3.35655199,0.298832948,-0.444449711,0.742584176,-1
805,MODEL1,PARMS,LB1,0.662201485,5.011928104,0.166445526,-0.151989681,0.355107517,-0.240708829,0.908443105,-1.560179219,0.358085341,-0.095762767,-0.319430642,-1
806,MODEL1,PARMS,LB1,0.739630309,9.54766563,0.213327216,-0.379593616,0.768193002,-0.413744476,1.948716024,-4.02591005,-0.039918047,0.797709418,-2.020999332,-1
807,MODEL1,PARMS,LB1,0.777698941,4.068286366,-0.059154564,0.398456712,-1.588726969,-0.055534713,-0.647301574,1.557590421,0.167201805,-0.108017437,0.657744465,-1
808,MODEL1,PARMS,LB1,0.812053835,18.75053355,0.09376665,-0.123618437,0.324954036,-0.957761985,2.381779209,-4.666273009,0.081059159,0.624648849,-1.517247404,-1
