SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,BronInt
839,MODEL1,PARMS,BronInt,1.331777918,-6.150935594,0.273581287,0.049320173,-1.271187,0.645603918,-1.079109614,1.907366532,0.694199428,-1.339761058,2.567222349,-1
840,MODEL1,PARMS,BronInt,1.186619063,-18.11610292,0.19821533,0.001070754,-0.697749877,1.477694609,-3.692206079,7.232376197,0.536026961,-1.971668373,4.654317525,-1
841,MODEL1,PARMS,BronInt,1.184799363,-0.893108479,0.032005565,0.342511207,-1.051806342,0.527654208,-0.502031635,0.353316927,0.275436578,-0.408642855,0.73580453,-1
842,MODEL1,PARMS,BronInt,1.179116229,-11.93244706,0.199844222,-0.198466395,-0.038478295,1.11445897,-3.379623045,6.484352787,0.546445528,-1.777916309,4.535232611,-1
843,MODEL1,PARMS,BronInt,1.262220566,-8.390153155,0.401597692,-0.632792491,2.086882427,0.89496788,-3.004724045,6.688158543,0.296486759,-0.398129883,0.435057434,-1
844,MODEL1,PARMS,BronInt,1.253318233,6.257024814,-0.132202186,0.26353143,-1.891330436,0.083115197,-0.439744362,1.005224784,0.704571841,-2.38870307,5.595216431,-1
845,MODEL1,PARMS,BronInt,1.196146036,-9.717225431,-0.019903203,0.19694794,-0.740610419,0.99808275,-1.951353332,3.95876722,0.668622921,-2.201908993,4.622053529,-1
846,MODEL1,PARMS,BronInt,1.200349558,33.589397,0.069065088,0.251314275,-1.291221902,-1.549377977,4.353013614,-7.838899384,0.341633037,-1.316524356,2.72133014,-1
847,MODEL1,PARMS,BronInt,1.295675265,-7.661331071,0.085940843,0.179454631,-0.958798273,0.696357079,-1.415112729,2.984022737,1.054752299,-2.395393831,4.722486126,-1
848,MODEL1,PARMS,BronInt,1.175086766,-7.581472052,0.25870699,-0.565413213,1.442658805,0.88780728,-2.418411919,4.344557186,0.338380375,-0.614519446,1.275676009,-1
849,MODEL1,PARMS,BronInt,1.226672764,-22.63493281,0.417475229,-1.034253491,3.242329702,1.840673937,-4.294472125,8.423802963,0.054783032,-0.027425331,-0.594945721,-1
850,MODEL1,PARMS,BronInt,1.276344811,-4.994066257,0.610300919,-0.991424237,3.018183703,0.633640784,-1.88037064,4.109856369,0.240967643,0.433915613,-1.716893008,-1
851,MODEL1,PARMS,BronInt,1.16838601,8.509061112,0.615165706,-1.366989114,4.558615639,-0.138692165,0.08951653,0.545052446,0.134146104,0.409668053,-1.284693399,-1
852,MODEL1,PARMS,BronInt,1.133803665,6.26272747,0.272074971,-0.872134907,3.616491121,0.067441035,-0.8635454,2.473390829,0.329113088,-0.913168726,2.037808096,-1
853,MODEL1,PARMS,BronInt,1.21679142,10.70900867,0.424126682,-1.196336455,4.319544047,-0.405646208,3.006564711,-7.097565449,0.917585155,-4.167420816,10.14419121,-1
854,MODEL1,PARMS,BronInt,1.18312604,1.472026862,0.346866826,-0.70275661,3.152564094,0.246239691,0.674956134,-1.957458054,0.428084145,-0.411369579,0.781916114,-1
855,MODEL1,PARMS,BronInt,1.28247233,11.63368062,0.259887296,-0.863240838,2.797711759,-0.11776441,0.288054598,-1.063452007,-0.196464352,1.030360775,-2.13015729,-1
856,MODEL1,PARMS,BronInt,1.179582517,-3.537565345,0.427296353,-1.093720731,3.758557534,0.552011113,-1.690198662,3.159005107,0.524178671,-1.275168461,2.738748648,-1
857,MODEL1,PARMS,BronInt,1.083010639,-0.557565194,0.267665444,-0.726979705,2.711743087,0.509486534,-0.829037572,2.187630907,0.178284142,-0.399284103,0.276376592,-1
858,MODEL1,PARMS,BronInt,1.201726364,-30.38125734,0.025512786,0.075543304,-0.118877638,2.254315788,-5.1768056,9.971120402,0.561530097,-1.640999626,3.497156559,-1
