SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sRB4
288,MODEL1,PARMS,sRB4,0.935926262,-6.74156408,-0.163029342,0.645730515,-2.820159601,0.536945908,-1.362489821,2.37794811,0.344054403,-0.921353243,2.117648477,-1
289,MODEL1,PARMS,sRB4,0.476628951,1.762719909,0.096582044,-0.160600086,0.363582214,-0.036880201,0.557103343,-1.703408336,0.250319761,-0.15520908,-0.000510411,-1
290,MODEL1,PARMS,sRB4,0.643996141,5.269392743,0.094724339,-0.210570412,0.391217832,-0.202399983,1.231408401,-3.292794286,0.118473894,-0.325359588,1.118491362,-1
291,MODEL1,PARMS,sRB4,0.489611991,4.331833951,0.001413578,-0.165547045,0.467167825,-0.085445938,0.521081332,-1.306570548,0.011459421,0.130999014,-0.215720354,-1
292,MODEL1,PARMS,sRB4,0.535427256,3.600866891,0.111146206,-0.339111573,1.224040521,-0.160022232,0.858381557,-2.306858176,0.30036719,-0.352916044,0.64603103,-1
293,MODEL1,PARMS,sRB4,0.554241217,-0.797745513,0.198617685,-0.416127243,1.065248185,0.136102939,0.359145793,-1.659012991,0.127245199,-0.533065526,1.598231335,-1
294,MODEL1,PARMS,sRB4,0.601769057,3.84962064,0.040982387,-0.064958781,-0.008623909,-0.188117817,1.497611592,-3.71281557,0.415665551,-1.103798474,2.419741149,-1
295,MODEL1,PARMS,sRB4,0.927657414,-14.21415051,-0.076192413,0.615243718,-3.012921595,0.980318417,-2.841338796,5.390910735,0.289729564,-0.987519168,2.24481921,-1
296,MODEL1,PARMS,sRB4,0.573899076,4.014718386,-0.090338827,0.270336626,-1.232880935,-0.079376933,0.659913815,-2.057656723,0.133524817,-0.173506968,0.493543173,-1
297,MODEL1,PARMS,sRB4,0.583931368,0.606385524,-0.025347872,-0.07026472,0.123203232,0.121432854,-0.47534365,0.665739754,0.134288699,-0.318701469,0.974380931,-1
298,MODEL1,PARMS,sRB4,0.586694742,1.191713389,0.137264523,-0.283944196,0.624414828,0.047770181,-0.737922172,1.709070594,0.069750422,0.47792268,-1.27076988,-1
299,MODEL1,PARMS,sRB4,0.569499546,3.548108079,0.068301161,0.011767897,-0.567638409,-0.09814751,0.65872587,-1.527140133,0.110260517,-0.037669352,0.043746467,-1
300,MODEL1,PARMS,sRB4,0.605630176,-1.164271314,0.058818261,-0.062564199,0.016826309,0.146654924,-0.861023409,1.783366687,0.305456238,-0.231441698,0.182800453,-1
301,MODEL1,PARMS,sRB4,0.471917545,-0.425332682,0.074223981,-0.004604985,-0.511058346,0.082723346,-0.091532838,-0.116641342,0.329201542,-0.544008663,1.066786084,-1
302,MODEL1,PARMS,sRB4,0.58824334,10.11554645,0.13215494,-0.029506161,-0.516545037,-0.593068795,2.540713156,-5.611994269,0.384549428,-1.019877812,2.193938504,-1
303,MODEL1,PARMS,sRB4,1.155087251,-15.08486953,0.078944014,0.293175846,-2.048241536,0.968203426,-1.822156981,2.892404576,0.332085409,-0.962111952,1.970111325,-1
304,MODEL1,PARMS,sRB4,0.539607748,2.293071461,-0.012202983,0.219641874,-1.430278169,0.027647275,0.328281577,-1.21798161,0.025667756,0.05233451,0.216158093,-1
305,MODEL1,PARMS,sRB4,0.93490967,-2.250171457,-0.035425586,0.362793595,-1.705329704,0.199300669,-0.380889159,0.23902062,0.480486434,-1.470094878,3.287082387,-1
306,MODEL1,PARMS,sRB4,0.959610256,-6.658902642,0.056279503,0.268493234,-1.707662424,0.410911187,-0.768635004,1.125284365,0.541089328,-1.727275976,3.741920211,-1
307,MODEL1,PARMS,sRB4,0.869848546,-1.5726656,0.304108258,-0.879347343,2.766693725,0.253581743,-1.95356987,4.285864696,-0.167191589,1.596234125,-3.988770343,-1
308,MODEL1,PARMS,sRB4,0.967748453,-1.919732746,0.032886502,0.100609158,-0.781523086,0.148672939,0.136445799,-0.887083959,0.470306566,-1.07033214,2.305554802,-1
309,MODEL1,PARMS,sRB4,0.453632606,4.922011452,-0.021191113,0.164537788,-1.123136657,-0.133683637,0.584088832,-1.508330737,0.041882965,0.223638619,-0.415202631,-1
310,MODEL1,PARMS,sRB4,0.591070398,2.191041489,-0.094331933,0.379863066,-1.765908827,-0.02479525,-0.149553329,0.21387074,0.32440698,-0.307155921,0.434658878,-1
311,MODEL1,PARMS,sRB4,0.567662721,3.234220952,-0.019991545,0.026526688,-0.152340645,-0.042273331,-0.009698922,0.405354744,0.123069678,-0.099972992,-0.062879319,-1
312,MODEL1,PARMS,sRB4,0.470439943,6.344780523,-0.024044069,-0.093948489,0.495577411,-0.279540657,1.259693572,-2.675762017,0.298032132,-0.690370565,1.4185908,-1
313,MODEL1,PARMS,sRB4,0.584139082,-0.692971366,-0.044954829,0.131277266,-0.63575424,0.207388645,-1.074036537,2.243398883,0.119939672,0.061671569,-0.274032636,-1
314,MODEL1,PARMS,sRB4,0.604674143,-2.255548616,0.232485942,-0.45992338,1.333609687,0.209565674,-0.855281423,1.472261208,0.094592537,0.804000567,-2.153730266,-1
315,MODEL1,PARMS,sRB4,0.708748281,-1.376231535,0.089319262,0.014610519,-0.42457678,0.085256434,0.149983025,-0.762819907,0.502697274,-0.987115974,1.755624872,-1
316,MODEL1,PARMS,sRB4,0.551057204,2.479206013,-0.110085681,0.108276252,-0.219516197,0.031639829,0.529070806,-1.70054656,0.095079735,-0.168706655,0.579362618,-1
317,MODEL1,PARMS,sRB4,0.942792706,-0.749742614,0.106647425,-0.044319321,-0.319397524,0.074669796,0.862742298,-2.860583328,0.42817642,-1.631436643,4.007236038,-1
318,MODEL1,PARMS,sRB4,0.562150042,2.112117741,0.036782973,0.142763122,-1.146611448,-0.05893674,-0.112179002,0.21479911,0.340506441,-0.681944129,1.52285111,-1
319,MODEL1,PARMS,sRB4,0.537896737,1.079803109,0.050258403,-0.21977016,0.908304536,0.03669556,-0.190098722,0.199856888,0.223860569,-0.395475398,0.917834682,-1
320,MODEL1,PARMS,sRB4,0.500131159,8.248619783,0.053825546,-0.102629134,0.089408709,-0.383692621,1.596978747,-3.724221566,0.130905994,0.155301147,-0.42687157,-1
321,MODEL1,PARMS,sRB4,0.722127709,-0.406207458,-0.171398752,0.446405066,-1.713001228,0.147579823,-0.102885917,-0.582371719,0.388885663,-1.059905765,2.394991175,-1
322,MODEL1,PARMS,sRB4,0.980766668,-8.037418036,0.011954621,0.334819975,-2.012929171,0.581996433,-1.673982634,2.702383231,0.295504308,-0.761558209,1.826166774,-1
323,MODEL1,PARMS,sRB4,0.514333878,-1.337047041,0.037420849,-0.146815896,0.517565288,0.204582577,-0.442505681,0.335175097,0.167748123,-0.315651099,0.893266107,-1
324,MODEL1,PARMS,sRB4,0.748803636,6.903808874,0.040334696,0.219524806,-1.367427169,-0.291679525,0.881587844,-2.02543939,0.118163747,0.034362165,-0.282396353,-1
325,MODEL1,PARMS,sRB4,0.715078111,-0.068472167,-0.115431236,0.430677366,-1.95800253,0.142858324,0.222772663,-1.206170693,0.232266212,-0.4866867,1.097051751,-1
326,MODEL1,PARMS,sRB4,0.491080376,-1.966195754,0.037938855,0.043542078,-0.727395762,0.297383697,-0.804728062,1.345826188,-0.047342117,0.399972696,-0.913166746,-1
327,MODEL1,PARMS,sRB4,0.735637649,-9.882617844,0.103690683,-0.156968871,-0.004607544,0.692660802,-2.251409505,4.342893114,0.241070793,-0.732590553,1.74730778,-1
328,MODEL1,PARMS,sRB4,0.552809631,3.612642113,0.045651225,-0.012688134,-0.35971896,-0.105124532,-0.022107332,0.086568452,0.192201153,-0.19990091,0.425674817,-1
329,MODEL1,PARMS,sRB4,0.559591424,5.05220716,-0.006670046,0.13427822,-0.760148501,-0.197965893,0.51480371,-1.312595594,0.244223462,-0.091041645,-0.165799605,-1
330,MODEL1,PARMS,sRB4,0.530896555,-4.853085292,0.132693369,-0.126561971,-0.271044162,0.367446143,-0.506270423,0.4993645,0.210666176,-0.370483621,0.790799882,-1
331,MODEL1,PARMS,sRB4,0.588934824,3.198456886,0.11954593,-0.064578183,-0.170299761,-0.124202496,0.726940178,-1.91100226,0.238948363,-0.26071227,0.356008958,-1
332,MODEL1,PARMS,sRB4,0.535301488,5.363238298,0.195260559,-0.289683719,0.601815671,-0.182767891,0.779282934,-1.846237191,-0.135461135,1.239907722,-2.976421006,-1
333,MODEL1,PARMS,sRB4,0.559615311,3.634680499,0.023006723,0.062338746,-0.54495802,-0.155861407,0.452077533,-1.277329025,0.386844957,-0.667845482,1.393189047,-1
334,MODEL1,PARMS,sRB4,0.559940719,-1.525641871,0.135855517,-0.076563689,-0.337932414,0.15435143,0.180398945,-1.216069925,0.247532382,-0.726973511,1.997339306,-1
335,MODEL1,PARMS,sRB4,0.699726702,-2.034446297,-0.008579073,0.084603023,-0.56239696,0.262289497,-0.949640015,1.849022479,0.153840616,-0.214725098,0.495294856,-1
336,MODEL1,PARMS,sRB4,0.730277309,-6.135124023,0.086075781,0.063795982,-0.833998204,0.458502602,-1.146110493,1.771725412,0.242414991,-0.695769822,1.629951755,-1
