SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LLB6
272,MODEL1,PARMS,LLB6,1.077884519,1.977893128,0.255854489,-0.649273334,2.172512933,0.278317889,-1.957828562,3.814995235,0.213976811,0.556951552,-1.548830064,-1
273,MODEL1,PARMS,LLB6,1.154941334,0.003260634,0.293869997,-1.283399505,4.958597657,0.469406637,-1.860429554,4.404507074,0.014476703,0.01843599,0.011783536,-1
274,MODEL1,PARMS,LLB6,1.092425094,-0.224975747,0.635202342,-2.222014126,8.730411952,0.214528224,-2.121553644,4.788628436,0.546961643,0.298299959,-1.360164808,-1
275,MODEL1,PARMS,LLB6,1.045657431,-5.098165353,0.413969355,-1.194510732,4.230460227,0.543612573,-2.824430135,6.029815273,0.651564694,-0.559684948,0.879878299,-1
276,MODEL1,PARMS,LLB6,1.144146044,-16.87835001,0.166812432,-0.428425241,1.61221174,1.364389085,-4.736794677,9.504582714,0.483334072,-0.725209523,1.830775841,-1
277,MODEL1,PARMS,LLB6,1.126162385,0.415798888,0.290051801,-1.112729451,4.090455329,0.243996062,-2.331579769,5.740154549,0.687972328,-0.928910819,1.404167352,-1
278,MODEL1,PARMS,LLB6,1.032778842,4.51846887,0.519730156,-1.857132954,6.975480413,-0.1047564,-0.90788867,2.190943392,0.801372612,-0.814246793,1.27319263,-1
279,MODEL1,PARMS,LLB6,1.233027028,4.339717049,0.098700096,-0.771741692,3.212006781,0.273182792,-1.749141631,3.540023052,-0.044077066,0.387548224,-0.673418542,-1
280,MODEL1,PARMS,LLB6,1.096584905,-8.178581085,0.598663024,-1.892044083,6.552746041,0.78158142,-3.936127812,9.319955524,0.316329157,0.6301178,-2.411194235,-1
281,MODEL1,PARMS,LLB6,1.13938729,2.460301942,0.454879386,-1.382264901,4.652571859,0.138126756,-1.220464255,2.757118965,0.403799505,0.40787622,-1.789511872,-1
282,MODEL1,PARMS,LLB6,1.125013754,13.60119883,0.388272578,-1.249487212,4.536826485,-0.362173685,0.121383663,-0.004714467,-0.191764221,2.113030323,-4.935303412,-1
283,MODEL1,PARMS,LLB6,1.061093324,8.230921753,0.453857866,-1.449576159,4.986690669,-0.082753934,-0.890179666,2.403401734,-0.107629968,2.119236046,-5.144131484,-1
284,MODEL1,PARMS,LLB6,1.189675507,-11.31495076,0.426318407,-0.993591452,3.453525095,1.110986508,-3.654549398,6.909841281,-0.22240248,2.339820615,-5.081340755,-1
285,MODEL1,PARMS,LLB6,1.104294676,10.43789174,0.320856049,-1.079546757,4.355141392,-0.357977342,0.430923053,0.15496191,0.496355755,0.111257328,-1.104676382,-1
286,MODEL1,PARMS,LLB6,1.13997897,9.770144243,0.138352646,-0.523266364,2.084568969,-0.219816279,-0.371030508,1.867294791,0.327508651,0.692489936,-2.307728883,-1
287,MODEL1,PARMS,LLB6,1.075905216,2.787844947,0.569184951,-1.739485071,6.741645684,0.077327219,-1.08814825,2.516970661,0.387054375,0.401606259,-1.176209742,-1
288,MODEL1,PARMS,LLB6,1.064725574,12.12449203,0.227709796,-0.765204257,2.666538584,-0.159361015,-1.231839141,3.762919807,-0.41128451,2.569829859,-5.871912973,-1
289,MODEL1,PARMS,LLB6,1.132999318,8.039953292,0.262793595,-0.712230403,2.99571325,-0.08217923,-0.936934342,2.463693826,0.170737,0.230408874,-0.634317982,-1
290,MODEL1,PARMS,LLB6,1.115105148,-2.260535362,0.577090427,-1.337720174,4.582128774,0.474206595,-2.839578377,6.007354829,0.067599385,0.934049649,-1.804984402,-1
291,MODEL1,PARMS,LLB6,1.018951705,-2.864775954,0.5039841,-1.385237643,4.641177877,0.441240914,-2.662936662,6.022498516,0.355813779,1.114816548,-3.169381269,-1
292,MODEL1,PARMS,LLB6,1.128858827,11.73234055,0.420565077,-1.163039327,3.824229512,-0.368662295,0.444328753,-0.939283643,0.158317714,1.573373071,-4.021632082,-1
293,MODEL1,PARMS,LLB6,1.215655709,10.28512352,0.640544697,-1.827576274,6.636221554,-0.257393944,-0.574004296,2.23076053,-0.075076122,1.619743235,-4.053292363,-1
294,MODEL1,PARMS,LLB6,1.062320068,8.972997719,0.318339629,-1.073934764,4.00363498,-0.11329906,-0.023200971,0.521409562,0.055256133,0.531119545,-1.244940531,-1
295,MODEL1,PARMS,LLB6,1.124475791,1.880284811,0.065113671,-0.293201871,1.03533256,0.395400838,-2.639431866,6.992901497,0.008783018,1.015217062,-2.878306309,-1
296,MODEL1,PARMS,LLB6,1.163882441,7.262121713,0.49457427,-1.366024674,4.776413925,-0.03535695,-0.652461571,1.964018954,-0.100606294,2.348891826,-6.191605923,-1
