SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
654,MODEL1,PARMS,RLL,0.986005051,8.713222134,-0.060917816,0.263786253,-1.924674377,-0.113548559,-0.340018538,1.383101054,-0.028172324,0.834322732,-2.296698556,-1
655,MODEL1,PARMS,RLL,1.09980278,8.410099937,0.001683291,-0.435919557,1.36529107,-0.147833956,-0.292932908,1.082319153,0.147865169,0.357821182,-0.973323777,-1
656,MODEL1,PARMS,RLL,0.946241867,-2.694813076,0.080516931,-0.788095931,2.90947379,0.584205902,-2.871264007,6.003748302,-0.097758866,0.902245127,-1.877943632,-1
657,MODEL1,PARMS,RLL,1.063149173,14.6426528,0.207909862,-0.607003774,1.731339617,-0.545852049,0.905950948,-1.694366792,0.004752786,0.655822455,-1.493484278,-1
658,MODEL1,PARMS,RLL,0.921107861,7.600205992,0.091384168,-0.548442008,1.930002165,-0.150083474,-0.194417971,0.597739347,0.251455672,0.066751866,-0.411244596,-1
659,MODEL1,PARMS,RLL,0.986341216,4.904621171,0.08105739,-0.827514718,3.540274039,0.221776189,-0.151839795,-0.551444512,-0.41615128,1.292877425,-2.723093915,-1
660,MODEL1,PARMS,RLL,1.04088772,7.869171514,0.041044539,-0.411943204,1.102977643,-0.179448071,0.185373047,-0.471905702,0.355123855,-0.32495346,0.447707597,-1
661,MODEL1,PARMS,RLL,0.970165854,7.918935662,0.061289379,-0.609670659,1.881163332,-0.058716645,0.856316871,-2.020621396,-0.140543553,0.936607388,-2.472830322,-1
662,MODEL1,PARMS,RLL,1.023334765,31.51221117,0.204101575,-0.947676027,2.561431861,-1.603040143,6.179404299,-13.90169785,0.124802143,0.121377159,-0.086598829,-1
663,MODEL1,PARMS,RLL,0.992227638,17.35456998,-0.045325143,0.150904165,-1.795643035,-0.587427667,0.847932597,-2.016223575,-0.135577704,1.323096883,-2.92667176,-1
664,MODEL1,PARMS,RLL,1.029283596,20.84348952,0.027888773,-0.364868826,0.628974196,-0.823187424,3.07177618,-6.238228835,-0.210363876,1.2995266,-3.108914712,-1
665,MODEL1,PARMS,RLL,0.900322012,11.64392701,-0.123025168,0.128748879,-0.306683836,-0.250797714,0.114857871,0.256182477,-0.084832179,0.857920038,-2.096776235,-1
666,MODEL1,PARMS,RLL,0.994649579,9.021135482,0.133122864,-0.670276137,1.961024134,-0.126209895,1.22462715,-2.984371928,-0.244939081,1.63849259,-3.966793955,-1
667,MODEL1,PARMS,RLL,0.977147421,9.047848164,0.27941363,-0.707432624,1.741664358,-0.189576835,0.123465915,-0.454512594,-0.19648442,1.944941463,-4.357907439,-1
668,MODEL1,PARMS,RLL,0.998533624,9.326750668,0.018388145,-0.064648382,-0.425691742,-0.207616693,0.785266916,-1.313328709,0.069276349,1.058513274,-3.396450863,-1
669,MODEL1,PARMS,RLL,0.96557673,4.660324052,-0.114762422,0.015028188,-0.572372179,0.179034276,-1.249916479,3.373745491,-0.149154246,1.576293529,-4.220068875,-1
670,MODEL1,PARMS,RLL,0.974412383,18.61191085,-0.165444282,0.256153088,-1.363035581,-0.684072067,2.658035765,-5.873109385,-0.02270467,0.472174104,-0.992898675,-1
671,MODEL1,PARMS,RLL,1.018474284,7.982164284,0.100429271,-0.121814542,-1.23495022,0.042725135,-0.603260498,1.345253767,-0.595081037,2.653238837,-5.892962738,-1
672,MODEL1,PARMS,RLL,1.019956531,-3.674766434,-0.124066625,-0.127725917,0.541554118,0.646910572,-2.335200604,4.22108435,0.064197603,0.539766386,-1.253916612,-1
673,MODEL1,PARMS,RLL,0.996044337,11.05987981,0.187774746,-0.256430334,-0.353008576,-0.28949545,1.072984288,-2.072614584,-0.189833034,1.301561882,-3.055408924,-1
674,MODEL1,PARMS,RLL,0.972669453,10.15950243,0.091251676,-0.187485508,-0.281920724,-0.160355997,-0.086187405,0.27199338,-0.298416671,1.866715235,-4.519499563,-1
675,MODEL1,PARMS,RLL,0.978733618,10.45041981,-0.06459649,-0.204622771,0.285106883,-0.161305483,-0.586877964,1.726705141,-0.115146752,0.589467566,-1.14935911,-1
