SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
742,MODEL1,PARMS,RB4_5,0.923596472,8.936418635,-0.008096765,0.176283787,-1.937733045,-0.333412815,0.2141259,0.195892426,0.561994379,-1.059839416,1.866715476,-1
743,MODEL1,PARMS,RB4_5,0.785874475,7.796707042,-0.04929679,-0.019349023,-0.281371556,-0.260794988,-0.745230451,2.387716333,0.578833578,-0.659956277,1.073357046,-1
744,MODEL1,PARMS,RB4_5,0.878423668,13.07088224,0.250064889,-0.61477726,1.171284204,-0.62588691,2.924859432,-6.176460377,0.451559339,-1.319150533,2.618888249,-1
745,MODEL1,PARMS,RB4_5,0.857777165,7.42402592,0.191194711,-0.356781365,0.271916195,-0.271468023,1.254092047,-2.819047818,0.443439377,-1.107253702,2.422779361,-1
746,MODEL1,PARMS,RB4_5,0.711396389,2.770663506,0.017746503,-0.037616867,-0.346896568,-0.005517241,-0.934041085,2.143384568,0.72142223,-1.697212327,3.418542899,-1
747,MODEL1,PARMS,RB4_5,0.846730715,2.478429162,0.027230638,-0.424290304,1.653037195,0.198327989,-0.789906003,1.663138606,0.05837405,-0.090858419,0.468062831,-1
748,MODEL1,PARMS,RB4_5,0.918992474,10.5025529,0.01384315,-0.182194639,0.602743011,-0.458190026,1.039920058,-1.83254289,0.659977421,-1.478947454,2.749860562,-1
749,MODEL1,PARMS,RB4_5,0.778588086,2.659570419,-0.027184768,-0.215926599,0.493747182,0.017891307,-0.138307964,-0.275883391,0.740792581,-2.098495356,4.670810025,-1
750,MODEL1,PARMS,RB4_5,0.798263352,7.370903557,-0.165499122,0.359874101,-1.482213574,-0.251807831,1.864953669,-4.319304926,0.779513877,-2.989589725,6.740336298,-1
751,MODEL1,PARMS,RB4_5,0.857130968,16.87600607,0.083012539,-0.424166282,1.263682027,-0.680618992,1.33022169,-2.638821249,0.029675295,-0.020561872,0.499015309,-1
752,MODEL1,PARMS,RB4_5,0.839081554,2.505220108,0.041535248,-0.437413577,1.678009092,0.11255442,-1.195273243,2.318943078,0.376758921,-0.649622833,1.350936236,-1
753,MODEL1,PARMS,RB4_5,0.85126158,8.578147947,-0.079413137,-0.014079654,-0.186231422,-0.242317211,-0.378193308,1.283500008,0.393185065,-0.302025496,0.215250473,-1
754,MODEL1,PARMS,RB4_5,0.849775925,15.68435869,0.178012483,-0.461238266,1.064895193,-0.813559514,2.150949364,-4.324481343,0.649279712,-1.783928291,4.226902078,-1
755,MODEL1,PARMS,RB4_5,0.849604085,-3.585954909,0.088938709,-0.251222874,0.714620059,0.445420603,-2.840297047,6.56607603,0.417800732,-0.767548692,1.755276577,-1
756,MODEL1,PARMS,RB4_5,0.791699305,3.391177678,0.116417007,-0.587698883,2.084431069,-0.066927676,0.138073638,-0.191388359,0.765058372,-2.471576021,5.225340478,-1
757,MODEL1,PARMS,RB4_5,0.840887529,5.681207031,0.217700964,-0.665870802,2.261302291,-0.154166288,0.267565858,-0.560122621,0.402818828,-1.048587233,2.288003107,-1
758,MODEL1,PARMS,RB4_5,0.771290192,-2.109821653,-0.015254585,-0.038742897,0.116123967,0.409504323,-2.022890146,4.403582495,0.305041965,-0.295074877,0.489633178,-1
759,MODEL1,PARMS,RB4_5,0.833853474,-1.75473852,0.167987835,-0.711664095,2.926570278,0.25713032,-0.323987776,0.41407547,0.615981672,-1.581472459,3.1080801,-1
760,MODEL1,PARMS,RB4_5,0.806207416,7.652049442,0.218705067,-0.946020212,3.717017458,-0.235917258,0.693591758,-1.489446072,0.294660044,-0.770927258,1.819489172,-1
761,MODEL1,PARMS,RB4_5,0.8520834,14.60059856,-0.12174259,0.218796584,-0.746624121,-0.639355445,0.50254692,0.147796568,0.549012681,-0.72439632,1.025525482,-1
762,MODEL1,PARMS,RB4_5,0.870091013,5.682285658,0.051328859,-0.405536154,2.001685405,0.006131117,-0.365695154,0.910343204,-0.022480345,0.57604281,-1.513891651,-1
763,MODEL1,PARMS,RB4_5,0.852255613,-0.107812664,-0.136274513,0.125199871,0.115766708,0.321566537,-1.544425159,2.700560154,0.390446843,-1.524196554,4.058759693,-1
764,MODEL1,PARMS,RB4_5,0.860511518,11.59754014,-0.129039608,0.09193979,0.193061455,-0.43903216,1.097059114,-2.045327328,0.489363185,-1.608149135,4.139246717,-1
765,MODEL1,PARMS,RB4_5,0.895973875,17.58710985,0.016273391,-0.146516334,0.177117604,-0.830403495,3.14077727,-7.217670122,0.456277471,-1.822167612,4.587530919,-1
766,MODEL1,PARMS,RB4_5,0.921273418,-3.55788462,0.170065205,-0.698083454,2.656130786,0.385528352,-1.447263674,2.89369306,0.579530176,-1.677679477,3.773573464,-1
767,MODEL1,PARMS,RB4_5,0.965666255,14.50865273,0.162987943,-0.58892235,1.931135449,-0.763846878,2.627883526,-6.146124636,0.713887283,-1.611498149,3.690437493,-1
768,MODEL1,PARMS,RB4_5,0.797988242,-0.864898353,0.166432141,-0.463255108,1.414855919,0.279137156,-2.10186097,4.810152115,0.317143128,0.075776844,-0.519737957,-1
769,MODEL1,PARMS,RB4_5,0.818326742,6.659705306,0.033194241,-0.003550218,-0.356297601,-0.135689739,-0.063229921,0.192171927,0.325498428,-1.167713712,3.036906525,-1
770,MODEL1,PARMS,RB4_5,0.807666316,4.777931179,-0.056233527,-0.039854801,0.272797806,-0.035850715,-0.178428569,0.505541735,0.467497135,-1.314787507,2.818927155,-1
771,MODEL1,PARMS,RB4_5,0.948881802,12.109825,-0.071944945,0.293788241,-2.250705308,-0.511686409,1.400208205,-2.31753942,0.555736161,-1.503067302,3.129137199,-1
772,MODEL1,PARMS,RB4_5,0.892136981,10.04191014,0.251058415,-0.8333706,2.717258595,-0.40148453,1.414362074,-3.202815915,0.366456407,-1.060910519,2.287964766,-1
773,MODEL1,PARMS,RB4_5,0.829088004,6.532044793,0.150113629,-0.662943294,2.100361465,-0.143567774,-0.818545029,1.878519251,0.332704037,-0.223091984,0.112528995,-1
774,MODEL1,PARMS,RB4_5,0.873461992,2.208496912,0.01268985,-0.173740258,0.767997414,0.102969244,-0.556669058,0.799636691,0.49235741,-1.747086077,4.523247668,-1
775,MODEL1,PARMS,RB4_5,0.868647248,-0.51689528,0.03307132,-0.492429464,1.355073732,0.255688958,-1.596100962,3.189226493,0.525023493,-0.839327383,1.815724841,-1
776,MODEL1,PARMS,RB4_5,0.813915242,9.349977411,0.047308263,-0.529232821,1.94273497,-0.202771561,-0.444927932,0.814500708,0.026177309,0.007357588,0.681924148,-1
777,MODEL1,PARMS,RB4_5,0.879938148,5.870121086,-0.018504345,-0.057260876,0.1902521,-0.083653151,-0.374882233,1.080809691,0.334970263,-0.251605862,0.192136345,-1
