SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RMB
705,MODEL1,PARMS,RMB,1.3939752,-6.689890923,0.347597352,-0.702128891,2.45638368,0.964019424,-2.416402094,5.327504965,0.556146041,-0.745566785,1.31397219,-1
706,MODEL1,PARMS,RMB,1.592512791,-1.091169654,0.59221112,-1.472697337,4.963319796,0.304006334,0.304787837,-0.584688664,1.327590811,-1.656276558,2.428142363,-1
707,MODEL1,PARMS,RMB,1.618023554,-1.216619482,0.365114327,-0.715250647,1.262066329,0.513486597,-2.692111659,6.47889199,1.058198794,-1.744884662,3.340865677,-1
708,MODEL1,PARMS,RMB,1.601989398,2.013429002,0.069934765,-0.094043063,0.345160657,0.710110037,-3.098424291,7.182355548,-0.089060155,1.502797623,-3.492797083,-1
709,MODEL1,PARMS,RMB,1.496909533,2.620416404,0.104049918,-0.708261241,2.95654161,0.691257489,-2.458519764,5.285927018,-0.128015945,1.410124335,-3.333784024,-1
710,MODEL1,PARMS,RMB,1.541289052,-11.82804745,0.09077207,-0.302451774,0.773531356,1.390058056,-2.571105102,4.139508082,0.414624758,0.174043129,-0.868996212,-1
711,MODEL1,PARMS,RMB,1.444523352,2.554592223,0.250870555,-0.500282779,1.115286292,0.461625114,-1.890384413,4.105450168,0.458156765,-0.007642633,-0.081579869,-1
712,MODEL1,PARMS,RMB,1.488514103,19.49956205,0.038382602,-0.816943665,4.963685535,-0.53233107,1.754382738,-2.72525087,0.655137545,-1.60659428,3.774857882,-1
713,MODEL1,PARMS,RMB,1.608540498,5.758649369,-0.124022365,0.089428419,-0.517367172,0.495052511,0.042597846,-0.4025988,0.045523841,0.732398903,-1.690860538,-1
714,MODEL1,PARMS,RMB,1.447106319,0.277106115,0.092436985,-0.428035985,1.106062865,0.730328667,-1.68370833,2.458840403,0.24848825,-0.680404827,2.595888143,-1
715,MODEL1,PARMS,RMB,1.459847732,-2.062946397,0.11629356,-0.447913812,1.198827226,0.766091146,-2.063365311,4.850855306,0.630376422,-0.950655622,1.409733327,-1
716,MODEL1,PARMS,RMB,1.520952164,8.520788453,0.177722587,-0.762323585,3.031350177,0.279947313,-1.056782691,3.494610384,-0.038305906,1.275332065,-3.75144557,-1
717,MODEL1,PARMS,RMB,1.51234641,10.96425089,0.355316473,-0.597538505,0.777070963,-0.014130829,-0.937618181,2.59113993,0.246848204,0.773040427,-1.934143,-1
718,MODEL1,PARMS,RMB,1.556257669,-9.506315259,0.567573364,-1.621308675,5.701208237,1.285580615,-5.695521816,12.56586618,-0.081233539,1.917352094,-4.464650681,-1
719,MODEL1,PARMS,RMB,1.53143922,5.948202781,0.506748658,-1.729112235,6.294548382,0.325928863,-1.733548283,3.792855238,0.082323812,1.147244003,-2.222445839,-1
720,MODEL1,PARMS,RMB,1.514222103,27.00376202,0.001142261,0.153099935,-0.312422892,-0.769454487,1.80123366,-2.306457303,-0.217563374,1.984124137,-4.949936286,-1
721,MODEL1,PARMS,RMB,1.589898966,0.838174609,0.094026179,-0.558297452,2.899623915,0.580191327,-2.302096766,5.270577178,0.611614638,0.030549415,-1.111398872,-1
722,MODEL1,PARMS,RMB,1.718920497,4.446647473,-0.20009031,0.580617943,-2.718278948,0.46197436,-1.381648129,3.736571066,0.45104321,0.547465209,-2.121467367,-1
723,MODEL1,PARMS,RMB,1.530252506,-1.262877892,0.556615712,-1.018503937,3.044557484,0.775112201,-2.119880139,4.895693367,-0.18973237,1.432431035,-2.670146957,-1
724,MODEL1,PARMS,RMB,1.528559854,-23.8151959,0.386407846,-1.273459987,4.457383474,2.101966936,-7.263373848,15.94497904,0.270871512,0.157966679,-0.175324625,-1
725,MODEL1,PARMS,RMB,1.47630097,-21.47326809,0.55642881,-1.64459701,5.700192769,1.910565473,-5.385593868,11.00562394,0.199234093,0.754889006,-1.712581495,-1
726,MODEL1,PARMS,RMB,1.455489052,14.46921755,0.469874055,-1.374375972,4.428780782,-0.290208864,0.269295986,1.043920767,0.404407309,-0.517576351,0.955313413,-1
727,MODEL1,PARMS,RMB,1.426018479,6.466720751,0.202851384,-0.969474576,4.119327901,0.241512957,-0.991511078,2.495935363,0.50516314,-0.256965307,0.049658713,-1
728,MODEL1,PARMS,RMB,1.454700414,-12.16764961,0.408798526,-1.720143398,7.743549656,1.353067634,-1.993624985,3.81043898,0.34589374,-0.708106143,1.79885691,-1
729,MODEL1,PARMS,RMB,1.424951348,-3.164424723,0.638863567,-1.813812345,6.73541932,0.894937842,-1.622026916,2.788234033,-0.231576981,1.771475164,-4.220130612,-1
730,MODEL1,PARMS,RMB,1.523348174,2.23780246,0.649675056,-1.493791639,4.19966461,0.318025562,-2.368273113,5.56799881,0.642169961,1.211014216,-3.688451512,-1
731,MODEL1,PARMS,RMB,1.467970315,12.16160447,0.299911093,-0.878620395,2.366273115,0.206916611,-2.820700319,7.29169158,-0.711612394,4.373026054,-10.50995263,-1
732,MODEL1,PARMS,RMB,1.42103991,-0.089255835,0.36076775,-0.791208612,2.069237207,0.725170396,-3.116660519,6.060478255,0.014432342,1.855892711,-4.62757208,-1
733,MODEL1,PARMS,RMB,1.548858469,6.179952058,-0.016664871,0.238860455,-1.148571799,0.219544426,-0.539399355,0.756931316,0.751473916,-0.938482864,2.093988131,-1
734,MODEL1,PARMS,RMB,1.489849307,34.1933443,0.168360744,-0.36646628,0.681235434,-1.50247301,6.55020449,-13.92096249,0.686986547,-0.690081765,0.832213224,-1
735,MODEL1,PARMS,RMB,1.655807957,-11.50008453,0.451600094,-1.172200049,3.762376337,1.377123402,-4.328869199,8.506859098,0.125314234,0.404777754,-0.977818139,-1
736,MODEL1,PARMS,RMB,1.562380354,-10.40533801,0.216180847,0.091400758,-1.701351331,1.239588348,-2.846128862,6.869774123,0.407893748,1.144145996,-4.678787601,-1
737,MODEL1,PARMS,RMB,1.426750893,14.23523509,0.300935301,-0.62842216,2.210281526,-0.117636595,-0.365391249,2.4275137,-0.034773704,1.068577865,-2.494536395,-1
738,MODEL1,PARMS,RMB,1.515973808,15.94402902,-0.045569632,-0.320991815,1.252712823,-0.266220469,1.352100282,-3.791568633,0.517088239,-0.908544775,2.661615502,-1
739,MODEL1,PARMS,RMB,1.522522238,36.16065809,0.270612794,-0.484819035,0.663133649,-1.475517266,4.601596855,-8.968331682,0.000936504,1.742535345,-4.441917915,-1
740,MODEL1,PARMS,RMB,1.543144078,2.608965411,0.45432064,-0.992611529,3.69332923,0.462144998,-0.924114671,2.125371796,0.069239297,2.289856364,-5.764942122,-1
741,MODEL1,PARMS,RMB,1.497348495,3.969754592,0.159056436,-0.390715873,1.435984084,0.27768512,-0.997940929,1.921695628,0.947071628,-1.135706581,1.688776888,-1
742,MODEL1,PARMS,RMB,1.48541363,-4.020147089,0.264706441,-0.371032234,0.026037409,0.640768142,-3.251856498,7.918860656,1.29806578,-2.707271451,5.307182239,-1
743,MODEL1,PARMS,RMB,1.604145123,-21.38506332,0.167328155,-0.941996101,3.699415305,1.486637681,-6.04107015,13.00000781,2.176918545,-3.750016532,6.495121684,-1
744,MODEL1,PARMS,RMB,1.51002237,-3.284316551,0.599554127,-1.423620591,3.655765381,0.801091194,-1.992374881,4.656696167,0.066996497,2.480203419,-7.001322706,-1
745,MODEL1,PARMS,RMB,1.403177845,1.074302651,0.240877233,-0.468756852,1.437807738,0.441526052,-0.094938218,-0.534601015,0.763953018,-1.158355742,2.755670692,-1
