SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB4_5
281,MODEL1,PARMS,RB4_5,0.869724367,5.140707833,-0.044925281,-0.210423016,1.240697407,0.066126722,0.29497907,-0.996700475,-1
282,MODEL1,PARMS,RB4_5,0.827010822,13.45385137,0.215828938,-0.733238866,2.520657042,-0.499508428,1.141553211,-1.956272803,-1
283,MODEL1,PARMS,RB4_5,0.861058136,11.07076448,-0.054904838,0.205824674,-1.416061997,-0.295037675,1.321237891,-3.039106515,-1
284,MODEL1,PARMS,RB4_5,0.886791937,0.603821242,0.063410241,-0.352756108,0.993626122,0.31678565,-1.083172225,2.284928344,-1
285,MODEL1,PARMS,RB4_5,0.823406822,11.5755543,0.039520542,-0.399963278,1.618927922,-0.337537175,0.130935549,0.585324865,-1
286,MODEL1,PARMS,RB4_5,0.855316598,1.530030061,-0.18565995,0.159627747,-0.11705503,0.336610821,-1.238207279,2.5213065,-1
287,MODEL1,PARMS,RB4_5,0.792575223,1.761678317,0.068456791,-0.379148916,1.48634959,0.248792712,-0.675794947,1.577049439,-1
288,MODEL1,PARMS,RB4_5,0.793086278,3.541477861,-0.162091175,0.252989599,-1.383682352,0.209299832,-1.534925721,3.999306078,-1
289,MODEL1,PARMS,RB4_5,0.831594844,3.028792225,-0.026079414,-0.138545511,0.364131763,0.195728482,-0.392923149,0.317247183,-1
290,MODEL1,PARMS,RB4_5,0.808545567,11.51946192,-0.018439515,0.012940156,-0.185706166,-0.3298245,0.862677323,-1.407333645,-1
291,MODEL1,PARMS,RB4_5,0.88670883,3.171326953,0.255989995,-0.935652869,2.958090174,0.110788166,-0.00540181,0.099995962,-1
292,MODEL1,PARMS,RB4_5,0.854977072,2.670545907,0.081013456,-0.489180365,2.004443923,0.181087585,-0.084856829,-0.149977515,-1
293,MODEL1,PARMS,RB4_5,0.913377603,6.577519416,0.230004133,-0.908167776,3.773235679,-0.083536319,-0.041781488,0.260463657,-1
294,MODEL1,PARMS,RB4_5,0.776020348,13.3747499,0.015901218,-0.211148706,0.401104548,-0.444611043,1.400756194,-2.610047308,-1
295,MODEL1,PARMS,RB4_5,0.777624382,0.843508197,-0.037498534,-0.032793591,0.174905741,0.32253804,-0.888194274,1.954020197,-1
296,MODEL1,PARMS,RB4_5,0.889558198,-0.6354838,0.065109257,-0.288504872,0.793866699,0.388208198,-0.626759079,0.844652763,-1
