SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,BronInt
433,MODEL1,PARMS,BronInt,1.321417066,10.057556,-0.155042648,0.152337641,-0.267990043,0.042437243,-0.580754812,1.567320278,-1
434,MODEL1,PARMS,BronInt,1.152064647,-2.953347647,0.146117206,0.31089828,-2.211074758,0.690339776,-0.831472529,1.22830337,-1
435,MODEL1,PARMS,BronInt,1.233239732,-6.957064406,0.041977068,0.044762404,-0.258520099,1.00065897,-2.43790566,4.756567826,-1
436,MODEL1,PARMS,BronInt,1.204440623,-7.599981344,0.120935081,-0.125163607,0.422551129,0.999123999,-1.2490941,1.486015889,-1
437,MODEL1,PARMS,BronInt,1.213540171,8.714912669,0.232638762,-0.238754364,0.298997582,-0.00944193,-0.000124271,0.096082612,-1
438,MODEL1,PARMS,BronInt,1.237419033,-6.736208479,-0.154197096,0.324647086,-1.123846045,1.037789694,-1.800732494,3.129621801,-1
439,MODEL1,PARMS,BronInt,1.305899961,7.689732964,0.153390813,-0.256450453,0.270485391,0.096840828,0.294643177,-0.813547513,-1
440,MODEL1,PARMS,BronInt,1.265978433,2.494792574,0.441110108,-0.933430123,3.519843332,0.309544032,-0.386639285,1.69674243,-1
441,MODEL1,PARMS,BronInt,1.175229073,-14.49034295,0.133387721,0.250691881,-1.685413721,1.410721717,-3.893706166,8.136740899,-1
442,MODEL1,PARMS,BronInt,1.224685255,15.12253673,0.253269152,-0.518139897,2.072667918,-0.370143539,0.371583908,-0.351108643,-1
443,MODEL1,PARMS,BronInt,1.260848708,1.831059052,0.183571646,-0.198678312,0.57915333,0.422479148,-1.56102859,4.022705244,-1
444,MODEL1,PARMS,BronInt,1.21613262,14.89253388,-0.297233552,0.418567425,-1.48857936,-0.215916297,0.88695106,-1.804015846,-1
445,MODEL1,PARMS,BronInt,1.199230989,0.349666491,-0.091012262,0.005410737,0.158957063,0.606109037,-1.665563396,3.936464111,-1
446,MODEL1,PARMS,BronInt,1.224124197,19.25391977,0.073051622,-0.190024527,0.878318662,-0.604029839,2.564702805,-5.153186913,-1
447,MODEL1,PARMS,BronInt,1.29473664,-11.43471867,0.075444781,-0.105727226,0.382375139,1.255816939,-3.13083919,6.416085389,-1
448,MODEL1,PARMS,BronInt,1.208877242,-7.263283602,0.337769239,-0.600877031,2.464192313,0.932758468,-2.53480678,6.115883464,-1
449,MODEL1,PARMS,BronInt,1.223941855,7.97162301,-0.116023116,1.407799604,-7.246012694,0.105045382,0.246935973,-0.586886459,-1
450,MODEL1,PARMS,BronInt,1.276181427,5.559178453,0.359331938,-0.549725358,1.651413338,0.155780898,-1.705218956,5.352652059,-1
451,MODEL1,PARMS,BronInt,1.270778942,19.87923448,-0.184832647,0.748131059,-2.767183242,-0.574455027,1.172911815,-1.112759082,-1
452,MODEL1,PARMS,BronInt,1.227465348,-1.100838368,0.041119593,-0.074235446,-0.044189912,0.656454308,-2.349541399,5.710379024,-1
453,MODEL1,PARMS,BronInt,1.387396161,23.64614334,0.159133006,0.02204551,-0.502236775,-0.896549755,2.76142113,-5.031553519,-1
454,MODEL1,PARMS,BronInt,1.308096018,-1.53236856,0.332744488,-0.610783618,1.372816223,0.591453235,-0.52801511,0.446754478,-1
455,MODEL1,PARMS,BronInt,1.348731796,6.694554535,-0.098452774,0.062915223,0.43101945,0.215621423,-1.078228501,2.842629375,-1
456,MODEL1,PARMS,BronInt,1.177744336,6.119534272,0.012660598,0.28315942,-1.514822125,0.204111358,-0.093017811,0.793544543,-1
457,MODEL1,PARMS,BronInt,1.156151122,9.901179639,0.436726754,-0.745933392,2.303915885,-0.138803564,0.84986257,-1.315771585,-1
