SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RUL
277,MODEL1,PARMS,RUL,1.331109377,-0.311017877,-0.105950191,0.127474474,-0.326701402,0.547021275,-2.646153016,6.725235603,-1
278,MODEL1,PARMS,RUL,1.257162953,2.45348917,0.411848706,-1.735538869,7.712371929,0.236490484,-0.246473301,0.813181561,-1
279,MODEL1,PARMS,RUL,1.358579103,7.071188964,0.061468824,-0.48288472,1.910023199,0.053703222,0.380299816,-1.224175619,-1
280,MODEL1,PARMS,RUL,1.268947218,1.661216116,0.120528437,-0.452059938,2.31946915,0.365269495,-1.626754119,3.991064752,-1
281,MODEL1,PARMS,RUL,1.555169671,0.645563783,0.178104733,-0.045209423,-0.563767935,0.363536166,1.489515443,-4.354360833,-1
282,MODEL1,PARMS,RUL,1.418871877,-9.592951038,0.254361554,-0.923230189,3.806071904,0.997772975,-2.259968599,4.666358845,-1
283,MODEL1,PARMS,RUL,1.183022873,11.3189694,0.147338382,-0.458692387,1.56889992,-0.237635042,0.615102195,-0.256527975,-1
284,MODEL1,PARMS,RUL,1.505141772,-3.512794733,0.235856336,-0.404274531,1.28052547,0.603390115,0.102414324,-0.757173662,-1
285,MODEL1,PARMS,RUL,1.270771688,-7.141919882,0.355131689,-1.047232734,4.559855639,0.812416801,-0.636221462,0.636919122,-1
286,MODEL1,PARMS,RUL,1.479625109,2.17814657,-0.000621176,-0.13197508,0.590602564,0.347802574,1.097678641,-2.795885173,-1
287,MODEL1,PARMS,RUL,1.325385967,5.888661342,0.377689572,-1.165635749,3.91655394,0.031435754,0.884066024,-1.83510689,-1
288,MODEL1,PARMS,RUL,1.358261749,-7.895694917,-0.19457782,0.20599358,-0.878737842,1.036201629,-1.867226701,2.91791854,-1
289,MODEL1,PARMS,RUL,1.233375275,-3.113268834,-0.102096324,0.343281896,-0.873082449,0.694384793,-1.299721833,1.906796564,-1
290,MODEL1,PARMS,RUL,1.302400571,5.415767541,0.274744402,-0.696759819,2.946207091,0.078003042,0.309208098,-0.418206164,-1
291,MODEL1,PARMS,RUL,1.318374999,-20.82324206,0.526231413,-1.37339797,4.986360887,1.595142092,-3.397323219,6.593570258,-1
292,MODEL1,PARMS,RUL,1.347005099,-3.383079912,0.280090365,-0.879278433,3.600514144,0.60656619,0.309606779,-1.878621714,-1
293,MODEL1,PARMS,RUL,1.337453863,-8.487640336,0.305048972,-1.027940795,4.107367336,0.919812571,-1.599103839,2.92904265,-1
294,MODEL1,PARMS,RUL,1.306675127,6.09812528,0.134213666,-0.450539858,1.552456055,0.082966556,0.591229536,-1.029701196,-1
295,MODEL1,PARMS,RUL,1.388622891,-14.29504706,0.267868385,-0.985357561,3.356420105,1.308891147,-4.123092762,8.936695538,-1
296,MODEL1,PARMS,RUL,1.375529632,-7.565109184,0.267571246,-1.012687185,4.028883242,0.874591049,-0.063357081,-1.453706816,-1
297,MODEL1,PARMS,RUL,1.322124951,8.817782314,0.337866989,-0.670815383,2.23409009,-0.155548611,1.7269403,-3.444578161,-1
298,MODEL1,PARMS,RUL,1.355063792,-2.440287799,0.376408259,-1.369634429,5.418829894,0.558552279,-0.957993748,1.587411039,-1
299,MODEL1,PARMS,RUL,1.310412171,-1.204000465,0.212285222,-0.924278977,4.353409961,0.515729663,-1.692375249,3.901315661,-1
300,MODEL1,PARMS,RUL,1.246562994,-0.140523113,0.499434102,-0.749353602,1.545143511,0.340389601,-0.8780447,2.666832959,-1
301,MODEL1,PARMS,RUL,1.299322671,-18.10445195,0.180469882,-0.389366786,1.231714021,1.529842944,-4.370403699,9.000074138,-1
302,MODEL1,PARMS,RUL,1.362951344,-11.05755944,0.411379643,-0.787159675,2.235413083,1.046060309,-3.077204007,6.644955731,-1
303,MODEL1,PARMS,RUL,1.454420795,-15.71445371,0.463169153,-1.38540915,5.069284787,1.310463428,-1.985056209,2.896127254,-1
304,MODEL1,PARMS,RUL,1.300600433,-0.371479122,0.070535237,0.011290988,-0.549016236,0.479840555,-0.181247203,0.229003288,-1
305,MODEL1,PARMS,RUL,1.385126009,-0.287618952,0.055138324,-0.370279588,2.151645494,0.498475048,-2.039398587,5.232395409,-1
306,MODEL1,PARMS,RUL,1.265849816,4.357975372,-0.096597924,0.059867648,0.567210291,0.24672806,-1.661673625,4.904452305,-1
307,MODEL1,PARMS,RUL,1.429501771,22.34811059,0.188032156,-0.37715941,1.257371053,-0.916923344,2.512051233,-4.297508763,-1
308,MODEL1,PARMS,RUL,1.41398346,-10.17369755,0.512488996,-1.057323492,4.395795156,0.942108544,-1.446789344,2.424919291,-1
309,MODEL1,PARMS,RUL,1.365015858,-18.00890945,0.521366802,-1.695194163,7.565285366,1.426172651,-3.879756024,8.005615274,-1
310,MODEL1,PARMS,RUL,1.240534613,-4.666177431,0.128569061,0.053958266,-1.346546021,0.711264723,-1.407512366,3.095460379,-1
311,MODEL1,PARMS,RUL,1.373507003,5.835282302,0.124106247,-0.043480281,-1.021802183,0.086482871,-0.395616646,1.753268744,-1
312,MODEL1,PARMS,RUL,1.299263013,2.061615411,0.311390553,-1.047546717,5.096974994,0.273908328,-0.289534303,1.165038557,-1
313,MODEL1,PARMS,RUL,1.355089552,-0.928902893,0.494461716,-1.459324172,6.090511588,0.408107713,0.044286225,-0.553582406,-1
314,MODEL1,PARMS,RUL,1.340747372,-0.291013813,-0.124065315,-0.102055088,0.466463794,0.566745474,-1.587110113,3.229123864,-1
315,MODEL1,PARMS,RUL,1.306979274,-2.601174484,0.321950332,-0.466355232,1.207631191,0.545834167,-0.537138358,0.207435358,-1
316,MODEL1,PARMS,RUL,1.472250479,6.87374916,0.013995594,0.014472744,-0.37249512,0.074350792,0.285226253,-0.364418686,-1
317,MODEL1,PARMS,RUL,1.330578301,9.206162567,0.27072734,-0.77479806,3.589490619,-0.161892366,2.015775005,-4.85160168,-1
318,MODEL1,PARMS,RUL,1.506192676,-8.313688971,-0.079514779,0.362317325,-0.628357901,0.98946439,-1.89785236,3.341576282,-1
319,MODEL1,PARMS,RUL,1.420059449,-0.624466604,-0.325648897,0.186242298,0.308203221,0.624193284,-0.890991549,1.286042903,-1
320,MODEL1,PARMS,RUL,1.270244671,9.83649889,0.164072289,-0.299813743,1.078524244,-0.164036216,0.85616596,-0.931351931,-1
321,MODEL1,PARMS,RUL,1.280972206,6.581853431,-0.050674982,0.224253887,-0.424783673,0.096916479,0.030399814,0.484448098,-1
322,MODEL1,PARMS,RUL,1.433301709,-1.497277398,-0.247659557,0.470702206,-1.399703156,0.656730232,-1.378170532,2.451686543,-1
323,MODEL1,PARMS,RUL,1.335392336,2.893428504,0.205065144,-0.734564685,2.723006775,0.255777133,0.457908293,-1.716328759,-1
324,MODEL1,PARMS,RUL,1.381311138,-0.656854439,0.00454105,0.373205606,-1.705934722,0.502624952,-0.729806401,1.115487142,-1
325,MODEL1,PARMS,RUL,1.341108452,0.261098818,0.059949731,-0.362219418,1.033813041,0.45888409,0.335925396,-2.090983028,-1
326,MODEL1,PARMS,RUL,1.324606233,0.847129371,0.155804988,-0.356788231,0.587174328,0.392746592,-0.249627289,-0.172563942,-1
327,MODEL1,PARMS,RUL,1.316944136,-19.35057544,0.388367925,-1.437869401,6.072507486,1.568801489,-4.314271268,8.932628104,-1
328,MODEL1,PARMS,RUL,1.262025979,12.14923757,0.131631182,-0.003026802,-0.262370916,-0.285201926,0.655603824,-0.66091339,-1
329,MODEL1,PARMS,RUL,1.357727059,23.16216224,0.149901665,-0.703150942,2.960254456,-0.943595499,2.61999649,-4.94191426,-1
330,MODEL1,PARMS,RUL,1.306945856,-2.894049635,0.0174363,0.181419313,-0.537871893,0.640439566,-0.714754598,1.544113002,-1
331,MODEL1,PARMS,RUL,1.267982294,-4.12675607,0.341569476,-0.819908966,3.30279391,0.622278436,0.205224937,-1.417600799,-1
332,MODEL1,PARMS,RUL,1.280010223,-20.49988937,0.253667493,-1.003860529,4.298704452,1.675175511,-5.133922707,11.2639572,-1
333,MODEL1,PARMS,RUL,1.569596955,8.719842211,0.353947999,-0.687837606,2.282727374,-0.144569159,0.886379099,-1.318232234,-1
334,MODEL1,PARMS,RUL,1.365465986,-1.1641965,-0.39475843,0.944601438,-3.693016702,0.661213425,-1.186694357,2.222305538,-1
335,MODEL1,PARMS,RUL,1.419625824,-3.38001552,-0.147459121,0.456352599,-1.777532296,0.731642172,-1.50600218,3.051014553,-1
