SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LB1
329,MODEL1,PARMS,LB1,0.758184094,2.54624371,-0.101057968,0.555815927,-2.693450452,0.105134113,-0.087274291,0.207194631,-1
330,MODEL1,PARMS,LB1,0.796080924,22.09632551,0.033757248,0.126157663,-1.153251543,-1.115082496,3.578536869,-6.970513051,-1
331,MODEL1,PARMS,LB1,0.752711241,4.059315523,-0.013709661,-0.102849766,0.71214555,-0.000568741,0.50138621,-1.353728067,-1
332,MODEL1,PARMS,LB1,0.742571909,5.448488241,0.1270781,-0.374709227,1.012725895,-0.121732972,0.940585445,-2.006233011,-1
333,MODEL1,PARMS,LB1,0.806165429,7.063881857,-0.029408694,0.193848905,-1.242998305,-0.180869415,0.835466554,-1.89555191,-1
334,MODEL1,PARMS,LB1,0.743011074,4.935068242,-0.130799507,0.35960774,-1.662744742,-0.021500462,0.015877566,0.285969089,-1
335,MODEL1,PARMS,LB1,0.813912532,11.30018529,-0.010070196,-0.076835535,0.012572491,-0.439499445,1.965231276,-4.208026899,-1
336,MODEL1,PARMS,LB1,0.795423396,14.7014581,0.187283459,-0.523231713,1.567609742,-0.712266661,3.396097981,-7.234946898,-1
337,MODEL1,PARMS,LB1,0.819131996,2.281177357,0.141120107,-0.308924722,0.800424177,0.064733849,-0.245422407,0.759687596,-1
338,MODEL1,PARMS,LB1,0.844266573,13.13066225,0.00884136,-0.146244312,0.528835272,-0.563212147,2.688351697,-5.873589538,-1
339,MODEL1,PARMS,LB1,0.789239921,8.949278441,0.058035167,-0.158742183,0.491345121,-0.315148845,1.003508403,-1.87137574,-1
340,MODEL1,PARMS,LB1,0.744312585,8.220186738,-0.183698455,0.654797327,-2.652811012,-0.22134926,1.395866935,-3.028395243,-1
341,MODEL1,PARMS,LB1,0.706600301,-1.299939619,0.083964077,-0.182454103,0.130375903,0.289135907,0.094488722,-0.575950805,-1
342,MODEL1,PARMS,LB1,0.857404,15.40227795,0.163022552,-0.250999601,-0.082415096,-0.741434305,2.647687331,-5.666718333,-1
343,MODEL1,PARMS,LB1,0.739220677,12.74791331,-0.098190872,0.199369392,-0.440179235,-0.502594278,1.297992182,-2.076021841,-1
344,MODEL1,PARMS,LB1,0.817893145,16.1673174,-0.092817069,0.02612352,-0.179903048,-0.719056811,3.023213314,-5.645630366,-1
345,MODEL1,PARMS,LB1,0.805496439,10.10790933,-0.090516085,0.324031067,-1.399961203,-0.34123808,0.51045109,-0.477505968,-1
346,MODEL1,PARMS,LB1,0.833104599,2.646702633,-0.131551445,0.130827783,-0.126474793,0.12288348,-0.293529722,0.867820089,-1
347,MODEL1,PARMS,LB1,0.711602946,6.891395446,-0.024993228,0.087497661,-0.339166906,-0.185147497,1.037124736,-1.995994348,-1
348,MODEL1,PARMS,LB1,0.830839247,4.031660563,-0.095857586,0.290684905,-1.344513226,0.019310746,0.099937276,0.022982442,-1
349,MODEL1,PARMS,LB1,0.733295997,9.308386824,0.086824547,-0.105115081,-0.106999699,-0.357866325,1.632689901,-3.199977325,-1
350,MODEL1,PARMS,LB1,0.718523315,12.29324366,0.086504296,-0.144796952,0.058910974,-0.533067375,2.003347092,-4.305843924,-1
351,MODEL1,PARMS,LB1,0.744191555,9.506921361,0.024129284,-0.169326561,0.468137149,-0.337253087,1.296382826,-2.549147041,-1
352,MODEL1,PARMS,LB1,0.711167996,9.203776879,-0.240464103,0.497330554,-2.190196547,-0.243120899,0.579292525,-0.88611685,-1
353,MODEL1,PARMS,LB1,0.726702942,10.76489786,-0.041779899,0.100378064,-0.564100737,-0.408954307,2.092219208,-4.601081062,-1
354,MODEL1,PARMS,LB1,0.770532798,19.70249851,0.116888272,-0.473216018,1.516002843,-0.975593168,3.165763471,-6.185990004,-1
355,MODEL1,PARMS,LB1,0.781592728,4.345321478,0.200404383,-0.230246626,0.294662877,-0.095471011,0.971240209,-2.31483463,-1
356,MODEL1,PARMS,LB1,0.750924541,0.119878786,0.069241611,-0.040008756,-0.593519155,0.209859418,0.255017926,-1.241821486,-1
357,MODEL1,PARMS,LB1,0.762612247,5.10022587,-0.151748231,0.247876409,-0.719271118,-0.025315851,0.143966389,0.039566328,-1
358,MODEL1,PARMS,LB1,0.740153819,6.569419692,-0.053888347,-0.207003915,1.132567072,-0.135310461,0.800291194,-1.448305585,-1
359,MODEL1,PARMS,LB1,0.764436654,10.15394803,-0.007751545,-0.106619576,0.259850868,-0.371301218,1.583131344,-3.056190567,-1
360,MODEL1,PARMS,LB1,0.821843898,8.584390826,-0.218528474,0.674457461,-2.459260053,-0.233068431,1.828150887,-4.384881302,-1
361,MODEL1,PARMS,LB1,0.747797096,7.78822924,0.000721784,0.137679832,-1.091469046,-0.238773015,1.137957275,-2.388602435,-1
362,MODEL1,PARMS,LB1,0.792886953,10.66594164,-0.003494937,-0.375703208,1.752281159,-0.393938449,1.637342784,-3.070979195,-1
363,MODEL1,PARMS,LB1,0.773512709,-10.8085711,0.036567143,-0.105590752,0.73589802,0.881076054,-2.252662733,4.27731407,-1
364,MODEL1,PARMS,LB1,0.785631535,16.27016474,-0.132135498,0.254817138,-1.058568451,-0.701646525,2.090506391,-3.936408585,-1
365,MODEL1,PARMS,LB1,0.764859761,3.552824876,0.110240512,-0.110911829,0.057459249,-0.006007169,0.22977707,-0.537372595,-1
366,MODEL1,PARMS,LB1,0.773792381,4.400026561,0.12570684,-0.332245808,1.224340014,-0.054301205,-0.211003585,1.240391078,-1
367,MODEL1,PARMS,LB1,0.748303111,13.75281976,-0.058522041,-0.021564556,0.339258408,-0.582693451,2.529956597,-5.93752438,-1
368,MODEL1,PARMS,LB1,0.794496481,10.0032344,0.044930619,-0.406081457,1.622089452,-0.369963509,1.149108265,-2.185101976,-1
369,MODEL1,PARMS,LB1,0.842680688,6.668282737,-0.003194491,0.207747251,-1.166303664,-0.163300664,-0.037686095,0.941004125,-1
370,MODEL1,PARMS,LB1,0.784502064,13.432438,0.104072111,-0.326971372,1.165323839,-0.610242575,2.437671176,-5.033811854,-1
371,MODEL1,PARMS,LB1,0.761931193,10.59193069,0.051456041,-0.023404427,0.095288706,-0.422625684,1.550160152,-2.697575332,-1
372,MODEL1,PARMS,LB1,0.776948257,14.07885989,-0.08413252,0.131669218,-0.830258504,-0.592477467,2.570344438,-5.309369655,-1
373,MODEL1,PARMS,LB1,0.821996539,-5.625981282,0.116649464,-0.244401978,0.437289649,0.554521292,-1.610579676,3.172899404,-1
374,MODEL1,PARMS,LB1,0.792583894,11.88557622,-0.041931081,0.405171288,-1.991456655,-0.488688485,1.628906275,-3.047796588,-1
375,MODEL1,PARMS,LB1,0.780406455,-0.987773205,0.121099515,-0.274786373,0.865587549,0.250254551,0.844790756,-2.719765082,-1
376,MODEL1,PARMS,LB1,0.767560217,3.711247021,0.027142722,-0.1232549,0.541724688,0.001218534,0.554070451,-1.026269356,-1
377,MODEL1,PARMS,LB1,0.774921381,14.18282104,0.058310099,-0.290056158,1.584154877,-0.639634985,2.298500521,-4.244549575,-1
378,MODEL1,PARMS,LB1,0.726204596,10.30845745,-0.05524742,0.062102882,-0.414435304,-0.365491278,1.327031832,-2.65019136,-1
379,MODEL1,PARMS,LB1,0.753024714,14.66035675,-0.146844942,0.021098561,0.300055078,-0.606655675,2.803362112,-6.214811722,-1
380,MODEL1,PARMS,LB1,0.74586819,8.918665575,0.186644213,-0.375671922,0.973288166,-0.352324624,1.831284345,-4.02232276,-1
381,MODEL1,PARMS,LB1,0.830592905,9.359891332,-0.092108442,0.348496778,-1.27499218,-0.293001924,-0.256512774,1.196765294,-1
382,MODEL1,PARMS,LB1,0.81318136,5.514322244,-0.21324633,0.623477499,-2.046086581,-0.04189852,0.644377595,-1.454609906,-1
