SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LUL
142,MODEL1,PARMS,LUL,1.131735662,-0.401346031,-0.0147994,0.141650148,0.448980128,0.541582815,-2.121516146,5.836127211,-1
143,MODEL1,PARMS,LUL,1.186398531,14.9793162,-0.264504717,1.020347159,-3.661772072,-0.330111713,1.096967655,-2.04703746,-1
144,MODEL1,PARMS,LUL,1.093758148,2.07745165,0.194486048,-0.096781703,0.83938543,0.309847911,0.779000003,-2.136701822,-1
145,MODEL1,PARMS,LUL,1.176500282,25.49128087,-0.171282713,0.747444181,-2.633107766,-0.992945571,3.20929135,-5.899980233,-1
146,MODEL1,PARMS,LUL,1.064311879,-0.01211607,0.11475604,-0.301157034,1.331427124,0.487687628,-1.394338037,3.118992888,-1
147,MODEL1,PARMS,LUL,1.175370673,15.22537212,0.143721338,-0.479667755,1.297886554,-0.433167532,1.986323935,-4.440552501,-1
148,MODEL1,PARMS,LUL,1.09819045,8.550043357,0.159630605,-0.562462738,2.689756164,-0.035142255,-0.579988221,2.238925756,-1
149,MODEL1,PARMS,LUL,1.108200336,-2.334421928,0.361755625,-0.487940353,1.754129276,0.535249671,-1.036161498,2.238800268,-1
150,MODEL1,PARMS,LUL,1.156025328,0.358556404,0.007632139,0.214416032,-1.11991253,0.490654018,-0.583230227,0.966785952,-1
151,MODEL1,PARMS,LUL,1.055777006,8.862388865,-0.031307026,0.080857388,0.24828238,-0.016476774,0.501712159,-0.554035766,-1
152,MODEL1,PARMS,LUL,1.0896336,2.574287825,0.051485177,-0.182489076,1.228014513,0.358644815,-1.507492352,3.657979228,-1
153,MODEL1,PARMS,LUL,1.144499363,5.791032476,-0.172579544,0.564148936,-1.218873226,0.192349841,0.006416769,0.339112229,-1
