SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sLB1
424,MODEL1,PARMS,sLB1,0.553896997,3.36090583,0.027807607,-0.213221166,1.17188865,-0.023513129,-0.266184138,0.848132839,-1
425,MODEL1,PARMS,sLB1,0.518028043,3.261745478,0.004372658,0.039592749,-0.245517013,-0.020893615,0.575874995,-1.201372961,-1
426,MODEL1,PARMS,sLB1,0.610446884,9.253140775,0.059720827,-0.4213955,1.658802001,-0.386775893,1.501555344,-2.823067146,-1
427,MODEL1,PARMS,sLB1,0.651488678,-1.636830455,-0.028947098,0.191117667,-0.734271539,0.286911699,-0.332359726,0.537920125,-1
428,MODEL1,PARMS,sLB1,0.582905917,6.828371184,0.112146348,-0.067051136,-0.236493252,-0.263621785,0.82950932,-1.71248616,-1
429,MODEL1,PARMS,sLB1,0.571701261,10.13423188,0.069137502,-0.18502418,0.558150217,-0.440792993,0.845256694,-1.083340947,-1
430,MODEL1,PARMS,sLB1,0.567050736,-0.976569794,0.0677224,-0.32296394,1.44612891,0.229824022,-0.516432249,0.969440742,-1
431,MODEL1,PARMS,sLB1,0.604489859,-9.280762225,0.011692324,0.059518071,-0.175119111,0.747196264,-2.855950326,6.628215221,-1
432,MODEL1,PARMS,sLB1,0.567075487,3.711325244,0.079382626,-0.114556223,0.52699232,-0.071500782,0.476587209,-0.971437736,-1
433,MODEL1,PARMS,sLB1,0.58422117,4.482299223,-0.056271015,0.105692275,-0.231873628,-0.069638634,0.415175793,-0.860578006,-1
434,MODEL1,PARMS,sLB1,0.596994184,-1.523891171,0.063673507,-0.226591044,0.749058449,0.268705383,-1.372537435,3.63588053,-1
435,MODEL1,PARMS,sLB1,0.622522511,1.464806875,-0.080570234,0.401871859,-1.662630443,0.109140979,-0.014049963,0.076156792,-1
436,MODEL1,PARMS,sLB1,0.61589564,-5.172092337,0.107967061,-0.314238928,1.376030757,0.46657479,-1.081972327,2.116879267,-1
437,MODEL1,PARMS,sLB1,0.590646469,7.958981657,0.096836791,-0.099366416,0.164548305,-0.331278843,1.135620249,-2.216891798,-1
438,MODEL1,PARMS,sLB1,0.607427516,2.998080163,-0.050392136,0.283118325,-1.209650037,0.01035825,0.050219907,0.297207882,-1
439,MODEL1,PARMS,sLB1,0.565377974,5.70677731,0.110861141,-0.064953202,-0.24823006,-0.195977129,0.504495666,-0.617939751,-1
440,MODEL1,PARMS,sLB1,0.559445657,-1.247094527,0.08123427,-0.156735637,1.190403343,0.226159909,0.066629863,-0.526844009,-1
441,MODEL1,PARMS,sLB1,0.580716891,1.396930982,0.073730188,0.049958319,-0.099399339,0.065524248,-0.011944204,0.408600054,-1
442,MODEL1,PARMS,sLB1,0.579560995,4.649765109,0.011160892,-0.03737184,0.119864578,-0.099481032,0.338731813,-0.360439426,-1
443,MODEL1,PARMS,sLB1,0.578727563,4.915573182,0.041292649,-0.063317184,-0.078086787,-0.121320206,0.157012756,-0.023109813,-1
444,MODEL1,PARMS,sLB1,0.635379647,-2.741492616,0.034814359,-0.165913565,0.927279944,0.351321165,-1.182689,2.489948002,-1
445,MODEL1,PARMS,sLB1,0.562101638,-2.311663195,-0.130041094,0.540497752,-2.278735707,0.348175365,-0.464464595,0.595669059,-1
446,MODEL1,PARMS,sLB1,0.537153612,1.484717133,-0.073888521,0.331060176,-1.530438361,0.100806202,0.191579891,-0.348613521,-1
447,MODEL1,PARMS,sLB1,0.568791794,0.00105011,0.172967308,-0.297309204,0.68267851,0.124564144,0.434601846,-1.068050028,-1
448,MODEL1,PARMS,sLB1,0.597331074,4.319128398,0.074709587,-0.146795746,0.421831588,-0.097780625,0.936967063,-2.427636212,-1
449,MODEL1,PARMS,sLB1,0.620776222,5.075593927,-0.171297801,0.682057623,-2.790626537,-0.084681988,0.262182825,-0.27666821,-1
450,MODEL1,PARMS,sLB1,0.601415725,6.16094108,-0.047413611,0.374046563,-1.768036359,-0.186433253,0.761493539,-1.514682821,-1
451,MODEL1,PARMS,sLB1,0.6017979,-1.622358782,-0.008016747,0.116736164,-0.106355858,0.275627822,-0.725269377,1.766831716,-1
452,MODEL1,PARMS,sLB1,0.560207086,4.711993422,-0.041225523,0.17935404,-0.957930408,-0.097372088,0.729132274,-1.516254984,-1
453,MODEL1,PARMS,sLB1,0.566589105,2.281806926,0.029125409,-0.11248166,0.432385665,0.040465369,0.465283779,-1.132841634,-1
454,MODEL1,PARMS,sLB1,0.61818878,-1.478305969,0.154194909,-0.258517764,1.008317574,0.219645357,0.070771691,-0.267143731,-1
455,MODEL1,PARMS,sLB1,0.599278854,2.114566715,0.004472597,0.179846049,-0.896877575,0.049191371,-0.041667298,0.323507434,-1
456,MODEL1,PARMS,sLB1,0.602367017,10.75787334,0.130579236,-0.458263366,2.762358083,-0.518240916,2.100628761,-4.111241637,-1
457,MODEL1,PARMS,sLB1,0.602223922,2.900029165,0.089429167,-0.032663618,-0.304363671,-0.022845125,0.201808391,-0.102733537,-1
