SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
20,MODEL1,PARMS,RMB,1.52137784,-15.21925107,0.3189541,-1.594058005,6.495621691,1.705134804,-4.111651796,7.757914464,-1
21,MODEL1,PARMS,RMB,1.692700009,12.87713617,-0.054504307,0.190060931,-0.44404556,0.068607251,-0.301101501,1.802402321,-1
22,MODEL1,PARMS,RMB,1.586353959,-14.4499916,0.273495258,-0.669651923,3.101953257,1.631467148,-4.674945554,10.21277346,-1
23,MODEL1,PARMS,RMB,1.465089216,-11.36405213,0.360883791,-1.140808115,4.096218018,1.442701679,-3.607207759,6.702907194,-1
24,MODEL1,PARMS,RMB,1.58141441,-20.26689624,-0.205390133,-0.128409708,1.187500149,2.143434579,-6.590108672,14.1456702,-1
25,MODEL1,PARMS,RMB,1.486478222,7.228345212,-0.155113867,-0.020916563,-0.610147418,0.474429027,-0.944166062,2.058142267,-1
26,MODEL1,PARMS,RMB,1.373582803,5.500282914,-0.002628048,-0.508741715,2.414932722,0.517253933,-0.817196643,1.9659097,-1
27,MODEL1,PARMS,RMB,1.666745355,-21.16621983,0.389178882,-1.925790046,8.171474043,2.031773299,-5.445429279,10.79249863,-1
28,MODEL1,PARMS,RMB,1.695728768,19.05038495,-0.071722395,0.493382208,-2.799920405,-0.317015894,3.825598493,-9.615982895,-1
29,MODEL1,PARMS,RMB,1.482398504,11.15805411,0.270158097,-1.481637823,5.442070328,0.123678455,0.269850249,-0.935949516,-1
30,MODEL1,PARMS,RMB,1.514222,19.55096143,0.298599525,-0.869917991,2.314945052,-0.447500778,4.197253669,-8.737845465,-1
31,MODEL1,PARMS,RMB,1.596297964,-7.101205986,0.061223762,-0.13569519,0.38527052,1.243671368,-2.448313111,4.430079018,-1
32,MODEL1,PARMS,RMB,1.690411278,-3.553139744,0.159811322,-0.380602064,2.292648155,0.972881132,-0.788614269,2.014264664,-1
33,MODEL1,PARMS,RMB,1.872617737,3.832778639,0.308685388,-1.491079361,4.795740078,0.527804624,1.57174289,-6.328992889,-1
34,MODEL1,PARMS,RMB,1.554649882,10.08518163,-0.078410454,0.281519444,-0.683142302,0.21740525,0.569416501,-1.547462382,-1
35,MODEL1,PARMS,RMB,1.549381819,-7.773217674,0.004276492,0.27468156,-1.131407437,1.287529846,-4.267564121,10.36167453,-1
36,MODEL1,PARMS,RMB,1.606371412,7.411494653,0.29557386,-0.974474849,3.477763629,0.309555781,0.003849142,0.197639726,-1
37,MODEL1,PARMS,RMB,1.461445804,12.8010305,0.415261309,-0.699892652,1.510798836,-0.077556401,1.67698819,-3.056978443,-1
38,MODEL1,PARMS,RMB,1.677134761,20.04384138,0.147576912,-0.765020536,3.463899682,-0.411971456,2.47294935,-5.644298792,-1
39,MODEL1,PARMS,RMB,1.458276291,1.324280583,0.035046307,-0.151974503,0.263227891,0.753862718,-2.44454652,5.791282281,-1
40,MODEL1,PARMS,RMB,1.570986573,16.72554434,0.295946392,-0.893549648,4.022573694,-0.274296046,1.588096738,-2.659353058,-1
41,MODEL1,PARMS,RMB,1.429838613,7.826904438,-0.010146645,-0.962127914,3.983931351,0.400987991,-0.552525483,0.887757137,-1
42,MODEL1,PARMS,RMB,1.353464473,9.957467548,0.28208876,-0.998235822,3.318664531,0.171756097,-1.517142515,4.687292884,-1
