SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
251,MODEL1,PARMS,RLL,0.956473136,6.865271561,-0.013529757,0.11900216,-1.519382445,-0.012093824,-0.02714758,-0.084126033,-1
252,MODEL1,PARMS,RLL,0.978373868,15.93992415,0.029003068,-0.613029277,2.322420226,-0.559568175,1.691019875,-3.550536146,-1
253,MODEL1,PARMS,RLL,0.972671111,7.945121622,-0.027170889,-0.370362968,1.695637359,-0.061180274,0.589392934,-0.921309338,-1
254,MODEL1,PARMS,RLL,1.058732924,13.29486271,-0.137523873,-0.138040326,0.431968605,-0.361326254,2.601157134,-6.353634449,-1
255,MODEL1,PARMS,RLL,1.071994918,5.799367025,-0.114539156,0.080910578,-0.694733199,0.084077291,0.938635096,-3.10788674,-1
256,MODEL1,PARMS,RLL,0.965620441,5.13559193,-0.248017468,0.306348523,-0.951256921,0.175173143,-0.57648425,1.356857388,-1
257,MODEL1,PARMS,RLL,1.04699682,12.6472419,0.05668028,-0.380382127,0.64393143,-0.365781444,1.075002694,-1.628737949,-1
258,MODEL1,PARMS,RLL,1.03627454,1.623091103,-0.121011357,0.148531365,-1.21746263,0.337775635,0.045090254,-0.817804182,-1
259,MODEL1,PARMS,RLL,1.04266917,10.47970154,-0.122910284,0.289271753,-1.205685336,-0.214973488,2.16608849,-5.314366171,-1
260,MODEL1,PARMS,RLL,1.018931382,4.164276927,0.088660572,-0.546210489,1.815477177,0.115167684,1.6869112,-4.435551204,-1
261,MODEL1,PARMS,RLL,1.061805548,-6.426609464,-0.095807964,0.220718972,-1.358597512,0.822782985,-1.943274657,3.717809322,-1
262,MODEL1,PARMS,RLL,1.101307551,5.922538451,0.281307111,-1.275803622,4.758167252,-0.020512249,0.455032274,-1.208432068,-1
263,MODEL1,PARMS,RLL,1.075403103,2.898233798,0.207757278,-1.381849456,4.864785776,0.195631386,0.124447291,-0.969850358,-1
264,MODEL1,PARMS,RLL,1.092142417,15.12627852,-0.232735171,-0.030047495,0.088524422,-0.441440073,3.278749406,-8.356932494,-1
265,MODEL1,PARMS,RLL,1.043739829,-8.936025195,-0.236921536,0.242634602,-1.283738403,1.035610715,-3.313268819,6.590358166,-1
266,MODEL1,PARMS,RLL,1.015339385,-6.708442947,-0.066053873,-0.477298657,1.688658667,0.831246656,-1.721343417,3.332524834,-1
267,MODEL1,PARMS,RLL,1.038582945,5.16830606,-0.170614345,-0.269101092,1.283846739,0.153412853,-0.21744788,0.436136871,-1
268,MODEL1,PARMS,RLL,1.072254885,4.534486773,-0.144101769,0.288196885,-1.690898626,0.172283817,-0.72124881,1.558386532,-1
269,MODEL1,PARMS,RLL,1.012112553,-5.769591616,-0.011883413,-0.555492115,2.045436136,0.773495485,-1.441342169,2.236613299,-1
270,MODEL1,PARMS,RLL,1.058397755,5.010015073,0.009341717,-0.58454896,2.202407819,0.101253695,0.606912313,-1.597365112,-1
271,MODEL1,PARMS,RLL,1.108339841,9.55792155,-0.071071047,-0.364382166,1.169067314,-0.14373483,1.061602265,-2.906508338,-1
272,MODEL1,PARMS,RLL,0.996598562,10.53473795,-0.057000605,0.281774338,-1.486624857,-0.230067375,2.153028556,-5.865556534,-1
273,MODEL1,PARMS,RLL,1.048185658,12.74600264,0.124542821,-0.597053427,1.462559251,-0.382688844,0.916203058,-1.6347052,-1
274,MODEL1,PARMS,RLL,0.978145919,7.062159503,0.107364902,-0.710109571,2.80486846,-0.042869181,0.680506669,-1.717603227,-1
275,MODEL1,PARMS,RLL,0.99750354,8.831640242,0.127534388,-0.374836318,0.279443695,-0.164466387,1.029802124,-2.299461503,-1
276,MODEL1,PARMS,RLL,0.932389761,9.22710133,-0.241238455,0.446701989,-2.185613178,-0.094299729,0.815248148,-1.685087866,-1
277,MODEL1,PARMS,RLL,0.985160466,3.632634111,0.082031514,-0.49858769,1.595297632,0.175792924,-0.819109225,1.753962462,-1
278,MODEL1,PARMS,RLL,0.967172665,11.68799247,0.071223502,-0.706646045,2.14496537,-0.301179544,1.019306199,-1.939277464,-1
279,MODEL1,PARMS,RLL,0.937804983,2.833459997,-0.08240892,-0.500719591,1.697764418,0.273378207,0.205675254,-1.67777958,-1
280,MODEL1,PARMS,RLL,1.029907059,11.64962901,0.19642348,-1.198552951,3.946175722,-0.324507199,0.762422336,-1.51190527,-1
281,MODEL1,PARMS,RLL,1.073859996,15.29858362,-0.078870869,0.05070363,-0.887244831,-0.51180776,2.819832766,-6.52239338,-1
282,MODEL1,PARMS,RLL,1.035345777,14.14898953,0.081499178,-0.390124677,0.531638862,-0.466309104,1.770631324,-3.989525755,-1
283,MODEL1,PARMS,RLL,0.928125303,16.76949779,-0.01915061,-0.539763861,1.330866431,-0.593479023,2.694418543,-5.998730655,-1
284,MODEL1,PARMS,RLL,1.056541803,-4.110596,-0.047763879,-0.211379785,0.189300944,0.665254908,-1.003783191,1.333288335,-1
285,MODEL1,PARMS,RLL,1.039093802,9.456163584,-0.042022891,-0.326727723,1.666548722,-0.164915322,1.167753507,-2.593923403,-1
286,MODEL1,PARMS,RLL,1.004411326,7.637818526,-0.098971694,-0.460574665,1.876677178,-0.011486158,0.696121278,-2.012315144,-1
287,MODEL1,PARMS,RLL,0.998107227,9.294330344,-0.00538992,-0.282617753,0.461901062,-0.15098518,1.17719512,-2.716379853,-1
288,MODEL1,PARMS,RLL,0.943822013,7.778417058,-0.152975507,0.191436723,-0.891102552,-0.017816858,-0.237869059,1.276151351,-1
289,MODEL1,PARMS,RLL,1.081159602,10.09125601,0.077290889,-0.240549246,0.59048365,-0.243977411,2.240581653,-5.284457804,-1
290,MODEL1,PARMS,RLL,1.050114678,-10.10897245,0.090476733,-0.59517369,1.727483087,0.998961552,-2.598456602,4.788510307,-1
291,MODEL1,PARMS,RLL,1.00835906,-0.359065681,0.09212319,-0.910115946,3.328122593,0.404368346,-0.317093936,0.435171342,-1
292,MODEL1,PARMS,RLL,1.176419304,11.0832723,0.159062432,-0.828007587,2.300636485,-0.306011361,3.038777216,-7.85752077,-1
293,MODEL1,PARMS,RLL,0.999309571,11.19090301,0.192059513,-0.991673612,3.635413094,-0.306001519,0.634185798,-1.095599625,-1
294,MODEL1,PARMS,RLL,0.968557181,27.85178291,-0.022785119,-0.195275275,-0.127708837,-1.269981527,4.616378028,-9.40354148,-1
295,MODEL1,PARMS,RLL,1.105005901,5.083240758,-0.024514696,-0.273726388,0.947261597,0.109791437,-0.312509496,1.02345591,-1
296,MODEL1,PARMS,RLL,0.936973255,2.827171949,0.165649952,-0.674798273,2.103358827,0.194168768,0.316561415,-0.91747796,-1
297,MODEL1,PARMS,RLL,1.060012371,0.101715077,0.125943136,-0.862292601,3.117206046,0.380177126,-1.083317926,1.920699117,-1
298,MODEL1,PARMS,RLL,0.977033469,-6.217082695,-0.034458499,-0.360705271,1.061074265,0.814419425,-2.098880964,3.791031413,-1
299,MODEL1,PARMS,RLL,0.978446924,4.342445712,-0.055100439,-0.181238293,0.318290746,0.158166722,0.324766115,-0.83610457,-1
300,MODEL1,PARMS,RLL,0.914564957,21.18293905,-0.042819362,0.264079645,-2.077382466,-0.872086831,2.592673925,-4.898490934,-1
301,MODEL1,PARMS,RLL,1.038529039,5.721245588,0.059165447,-0.374843533,0.657407841,0.043118563,1.173778669,-3.206996207,-1
302,MODEL1,PARMS,RLL,1.024489059,14.59495442,-0.018911036,0.081830292,-0.749258584,-0.49558595,3.250634479,-7.976210081,-1
303,MODEL1,PARMS,RLL,0.963676903,-7.234507843,0.141134116,-1.156202092,4.138648186,0.821774378,-2.017331885,3.699844425,-1
304,MODEL1,PARMS,RLL,1.072976036,13.61169585,-0.11690797,0.314439176,-1.889094941,-0.3940611,2.192445037,-5.051687679,-1
305,MODEL1,PARMS,RLL,1.098630712,9.741336359,-0.039498447,-0.369254328,0.958656309,-0.143635658,-0.552915772,1.987491544,-1
306,MODEL1,PARMS,RLL,1.013629087,-2.034704938,-0.024626755,-0.090825334,-0.21942295,0.547734636,-1.930341685,4.134419487,-1
307,MODEL1,PARMS,RLL,1.069569282,-3.133355203,0.249632233,-1.351915777,5.348639439,0.559132741,-2.06057592,4.395368929,-1
308,MODEL1,PARMS,RLL,1.005070463,4.073584544,0.103258449,-0.553641288,1.860740072,0.118936258,1.017474459,-2.530275327,-1
309,MODEL1,PARMS,RLL,1.112657908,15.43402092,-0.032984031,-0.287151791,0.92280882,-0.53673158,3.045286598,-6.840539273,-1
310,MODEL1,PARMS,RLL,1.067988405,-5.653882216,-0.082948732,0.023928654,-0.859785773,0.787559764,-3.408018582,8.043125367,-1
311,MODEL1,PARMS,RLL,1.044050415,0.480217896,-0.021612294,-0.595216894,2.078557035,0.420550688,-2.240692255,5.252995089,-1
312,MODEL1,PARMS,RLL,1.016482694,10.1761025,0.097556992,-0.525441232,1.719147583,-0.247362212,2.413938556,-5.62064898,-1
313,MODEL1,PARMS,RLL,0.955180161,5.277235244,-0.002200751,-0.577785825,2.411807301,0.109213842,-0.432768945,0.840198211,-1
