SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB10
152,MODEL1,PARMS,RB10,0.963261654,5.626211296,-0.081939143,0.057132409,0.039424277,-0.02725481,0.024538428,0.312000623,-1
153,MODEL1,PARMS,RB10,0.870116753,0.774726012,0.065125276,-0.256681575,1.046410775,0.222386999,-0.423440106,1.400696283,-1
154,MODEL1,PARMS,RB10,0.81389426,9.612821917,0.030217741,-0.46898215,2.392759551,-0.29879024,1.400323258,-2.712131262,-1
155,MODEL1,PARMS,RB10,0.828179893,13.21248152,-0.100937673,-0.193803814,0.716517228,-0.474751657,1.541595742,-2.741221156,-1
156,MODEL1,PARMS,RB10,0.812717153,12.99475859,0.004933091,0.157954954,-0.721762442,-0.513400531,1.917906199,-3.663542801,-1
157,MODEL1,PARMS,RB10,0.854880906,11.25290532,0.040920894,-0.115156836,0.102465122,-0.408746137,1.403805001,-2.31239827,-1
158,MODEL1,PARMS,RB10,0.87187186,3.636761253,0.235052376,-0.685247956,2.574748891,-0.002366586,1.270685467,-3.038120692,-1
159,MODEL1,PARMS,RB10,0.812928577,10.11574469,0.183999574,-0.725187387,2.74383984,-0.371854822,2.042868253,-4.717231038,-1
160,MODEL1,PARMS,RB10,0.909922285,11.6517866,0.123192539,-0.597034559,2.170344548,-0.443660307,1.954022183,-3.983084943,-1
161,MODEL1,PARMS,RB10,0.900805871,6.872221414,0.011087278,-0.330780893,1.414238435,-0.120884723,0.523902752,-0.866978826,-1
162,MODEL1,PARMS,RB10,0.913343989,17.02897915,0.049284269,0.198248586,-1.21495364,-0.778842245,3.288523246,-6.380651009,-1
163,MODEL1,PARMS,RB10,0.874539349,5.125419161,0.185911827,-0.318250333,0.70454016,-0.094805107,1.860344513,-4.423654988,-1
164,MODEL1,PARMS,RB10,0.877640833,0.53843997,0.208038699,-0.540215041,1.870934347,0.179859054,0.997079959,-2.364598609,-1
165,MODEL1,PARMS,RB10,0.864015348,5.489355548,-0.064984317,-0.054763488,0.075173343,-0.02355474,0.605858761,-1.185917989,-1
166,MODEL1,PARMS,RB10,0.924100141,6.310105384,-0.244469307,0.392333634,-1.095025011,-0.029405952,0.743364729,-1.329642112,-1
167,MODEL1,PARMS,RB10,0.890974501,-3.138696029,0.001389455,-0.147562526,0.738134195,0.466974932,0.051254684,-0.962595005,-1
168,MODEL1,PARMS,RB10,0.883313407,16.16953161,-0.16723361,0.176089354,-0.461911064,-0.638716,2.054645625,-3.725775297,-1
169,MODEL1,PARMS,RB10,0.855975628,19.74370307,0.152737463,-0.412666894,2.142513071,-0.957577888,3.0237382,-5.929440622,-1
170,MODEL1,PARMS,RB10,0.838640391,9.274172338,-0.141145212,-0.056710279,0.835456863,-0.219410214,0.841619315,-1.833487238,-1
171,MODEL1,PARMS,RB10,0.828529923,0.447564562,-0.01084946,-0.167436402,0.338338299,0.278254013,-0.651877345,1.357690005,-1
172,MODEL1,PARMS,RB10,0.878014381,11.91813554,-0.070663695,0.176782436,-0.826499997,-0.404798751,1.489776381,-2.897376476,-1
173,MODEL1,PARMS,RB10,0.831341211,4.993572197,0.171088234,-0.462512182,1.264589912,-0.07015495,2.503616691,-7.039765282,-1
174,MODEL1,PARMS,RB10,0.88811016,-2.681143481,-0.2526183,0.382746592,-0.739615287,0.523606599,-1.109034111,2.370864616,-1
175,MODEL1,PARMS,RB10,0.871561712,4.49309424,-0.031070364,-0.105459632,0.807052829,0.02807815,0.286000597,-0.393235411,-1
176,MODEL1,PARMS,RB10,0.922400171,-8.168215165,0.243251434,-0.862147803,3.297895404,0.711017242,-0.82988052,1.193908105,-1
177,MODEL1,PARMS,RB10,0.83279823,9.607410274,0.016487105,0.014075046,-1.141825472,-0.295381851,1.862784737,-4.642850567,-1
