SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB10
661,MODEL1,PARMS,sRB10,0.918152794,10.4676492,1.38532E-05,0.224995713,-0.936173224,-0.441362946,2.356582079,-4.919842516,-1
662,MODEL1,PARMS,sRB10,0.861668658,10.71980068,0.118012986,-0.31701589,1.390703637,-0.470117069,1.949428945,-4.264927587,-1
663,MODEL1,PARMS,sRB10,0.892466053,9.400818116,0.062178823,-0.020961849,-0.421280182,-0.363914527,1.143529222,-2.102217846,-1
664,MODEL1,PARMS,sRB10,0.848977684,1.187111776,-0.136805822,0.606277447,-3.178702945,0.178521175,-0.72634394,1.800655171,-1
665,MODEL1,PARMS,sRB10,0.801494226,11.55804819,-0.093391328,0.429043577,-1.706410887,-0.466775474,1.12313308,-1.454599158,-1
666,MODEL1,PARMS,sRB10,0.830775203,-5.591372501,0.133292407,-0.540909076,2.145583347,0.530083647,-1.331246669,2.584253401,-1
667,MODEL1,PARMS,sRB10,0.950978892,-3.653108166,0.06991458,-0.381465088,2.016037547,0.422415972,-1.634363907,4.15142306,-1
668,MODEL1,PARMS,sRB10,0.907404331,6.375780594,0.054364011,-0.218400311,0.89932914,-0.190019716,1.432700702,-3.153034051,-1
669,MODEL1,PARMS,sRB10,0.928774617,10.6192075,-0.036054832,0.208659571,-1.301324978,-0.424014647,0.874394831,-1.012718881,-1
670,MODEL1,PARMS,sRB10,0.814460727,8.059652653,-0.0729963,0.29357137,-0.716680611,-0.26288897,1.592492702,-3.611401849,-1
671,MODEL1,PARMS,sRB10,0.937504791,12.24541603,0.239098572,-0.395487417,0.933342883,-0.596192677,1.888581293,-3.199994495,-1
672,MODEL1,PARMS,sRB10,0.97405134,-8.45817429,0.00971026,0.016720645,0.140320355,0.719983717,-1.737567875,3.577428723,-1
673,MODEL1,PARMS,sRB10,0.826868036,15.57340927,0.084704878,-0.057582259,0.271620231,-0.762178917,1.771599735,-2.566385043,-1
674,MODEL1,PARMS,sRB10,1.041051109,6.570279327,0.010748678,-0.131668662,0.785565823,-0.184081754,0.714663983,-1.195505,-1
675,MODEL1,PARMS,sRB10,0.975036179,3.302588354,-0.063839508,0.151132719,-0.553725303,0.043147372,-0.67551301,1.758617254,-1
676,MODEL1,PARMS,sRB10,0.92170828,5.185182098,-0.038440188,0.153137348,-0.663478052,-0.082303753,-0.430596466,1.648314595,-1
677,MODEL1,PARMS,sRB10,0.878938165,8.753379932,-0.029638469,0.256917831,-1.131102165,-0.308866381,0.408853294,-0.207540497,-1
678,MODEL1,PARMS,sRB10,0.924869064,-0.892614053,-0.061264256,0.246099052,-0.614189281,0.272188146,-1.609401266,5.369508397,-1
679,MODEL1,PARMS,sRB10,0.899865732,-1.813219057,0.07710209,-0.142983862,0.353790122,0.300968688,-0.622991147,1.444669543,-1
680,MODEL1,PARMS,sRB10,0.848937974,2.569002953,-0.1594911,0.338257616,-1.265509428,0.106881771,-0.544833542,1.432156619,-1
681,MODEL1,PARMS,sRB10,0.809419097,1.704224288,-0.127150865,0.484466682,-1.962646383,0.145832169,-0.648313824,1.743474103,-1
682,MODEL1,PARMS,sRB10,0.860638327,-2.320479658,0.154587927,-0.254460478,0.45405094,0.318352656,-1.50459405,4.168977823,-1
683,MODEL1,PARMS,sRB10,0.889588894,-3.847065263,-0.068894119,0.139785387,-0.490112036,0.471112022,-1.143547653,1.960429649,-1
684,MODEL1,PARMS,sRB10,0.940195526,-0.767569824,-0.039487724,0.169980053,-0.122931916,0.277255869,-1.718539013,4.661716767,-1
685,MODEL1,PARMS,sRB10,0.896269063,-7.94849477,-0.197364887,0.585712579,-2.014969026,0.762695123,-4.178714044,10.60708746,-1
686,MODEL1,PARMS,sRB10,0.913542239,3.882237983,0.079662593,0.026412304,-0.868918094,-0.038212282,-0.052451786,0.457096867,-1
687,MODEL1,PARMS,sRB10,0.889975247,2.067860481,0.139793067,-0.237199823,0.852308223,0.045105109,0.137641446,-0.139936004,-1
688,MODEL1,PARMS,sRB10,0.89206415,-7.306525074,0.049990214,-0.273216738,1.377397237,0.640273526,-1.259534027,2.176663441,-1
689,MODEL1,PARMS,sRB10,0.779841668,6.276568753,-0.011591014,-0.193844544,0.900676455,-0.157458358,0.428311841,-0.62750008,-1
690,MODEL1,PARMS,sRB10,0.840602504,7.190935312,-0.063484987,0.644208637,-2.574538636,-0.220213176,0.900510463,-1.786284176,-1
691,MODEL1,PARMS,sRB10,0.851896739,2.907809954,0.075606089,-0.118332457,0.465262941,0.018244035,-0.168018288,1.196569277,-1
692,MODEL1,PARMS,sRB10,0.945768657,-8.150040734,-0.092329522,0.155980415,0.517555814,0.730647266,-2.051156841,4.403459081,-1
693,MODEL1,PARMS,sRB10,0.969795881,11.71149252,0.084866053,-0.290111871,1.207651209,-0.515469552,1.549126697,-3.026885597,-1
694,MODEL1,PARMS,sRB10,1.03802512,-3.056608017,-0.001270112,-0.117098377,1.041478025,0.411751661,-1.797101501,4.362442628,-1
695,MODEL1,PARMS,sRB10,0.918594636,2.656238496,0.114760455,-0.139694431,0.102961338,0.018942859,-0.607668598,2.639926363,-1
696,MODEL1,PARMS,sRB10,0.880476332,-4.684353221,0.021588871,0.231853243,-1.157257372,0.496303524,-2.990641498,7.874336287,-1
697,MODEL1,PARMS,sRB10,0.896039247,-1.249537725,-0.060837771,0.209301602,-0.569711754,0.305836322,-0.573373639,1.027926546,-1
698,MODEL1,PARMS,sRB10,0.851848585,-4.028713657,0.08531954,-0.14225966,0.543108742,0.438215214,-1.594610375,3.926400501,-1
699,MODEL1,PARMS,sRB10,0.851956557,11.05288957,0.077388421,-0.029932208,0.233762545,-0.488140475,1.623503982,-2.720197217,-1
700,MODEL1,PARMS,sRB10,0.823844044,10.49944964,0.073914005,-0.316129417,1.424738003,-0.429188569,1.133800529,-1.89744139,-1
701,MODEL1,PARMS,sRB10,0.877638364,2.992134326,-0.029385059,0.157121584,-0.194437937,0.046582244,-0.869812079,2.761878886,-1
702,MODEL1,PARMS,sRB10,0.974735076,-4.940178963,0.048382389,-0.164524,1.014041634,0.50094604,-1.577351441,3.78891272,-1
703,MODEL1,PARMS,sRB10,0.906540455,6.952156163,-0.072322245,0.152771468,-0.363733013,-0.207850925,2.098357813,-4.958256573,-1
704,MODEL1,PARMS,sRB10,0.88269041,-8.866021955,0.145692473,-0.5752919,2.477526007,0.724573212,-3.021943262,7.046335689,-1
705,MODEL1,PARMS,sRB10,0.814790612,0.858833017,0.087450432,-0.010521017,0.048002677,0.115448431,0.756431686,-1.762825716,-1
706,MODEL1,PARMS,sRB10,0.857411343,12.95831354,0.131716756,-0.265581196,0.893715326,-0.616024015,1.945293052,-3.289007482,-1
707,MODEL1,PARMS,sRB10,0.958994279,11.13327337,0.145307316,-0.507034992,2.270478654,-0.488161334,0.833089599,-1.18756004,-1
708,MODEL1,PARMS,sRB10,0.895429179,-6.947588627,-0.053850689,0.141737738,-0.347398464,0.67037741,-3.794598895,8.988265774,-1
709,MODEL1,PARMS,sRB10,0.853208972,8.406793508,0.089322479,-0.133051861,0.427170863,-0.330960556,1.610244701,-3.434877905,-1
710,MODEL1,PARMS,sRB10,0.772114304,2.74962001,-0.253918783,0.591050161,-1.673480615,0.121336324,-0.818912113,2.521458133,-1
711,MODEL1,PARMS,sRB10,0.845279305,-1.951369843,-0.125481191,0.611499777,-2.520920058,0.364317583,-1.590819858,3.802987018,-1
712,MODEL1,PARMS,sRB10,0.834479991,1.955840199,-0.013817277,-0.213801956,1.669264483,0.10028326,-0.125650897,0.703655285,-1
713,MODEL1,PARMS,sRB10,0.934745315,3.853084288,-0.110621822,0.45823292,-1.917396045,0.002229523,0.94419063,-2.272566764,-1
714,MODEL1,PARMS,sRB10,0.84677629,11.48167768,-0.10509462,0.356079877,-1.204004519,-0.453594255,1.413149216,-2.737863487,-1
715,MODEL1,PARMS,sRB10,0.858586447,7.343838181,-0.085946031,0.145068267,-0.23682588,-0.203705647,-0.071729695,1.122811732,-1
716,MODEL1,PARMS,sRB10,0.903755196,-1.618173677,-0.044522437,0.269840712,-0.979543019,0.329214759,-2.473471145,6.212169423,-1
717,MODEL1,PARMS,sRB10,0.84111506,-6.322566212,0.122913587,-0.504515525,1.975370922,0.569506727,-0.795690839,1.027084349,-1
718,MODEL1,PARMS,sRB10,0.930585451,-5.413235203,0.23120875,-0.280447251,0.590797181,0.465581277,-1.209988949,3.198593812,-1
719,MODEL1,PARMS,sRB10,0.931703217,2.813684014,0.005639425,0.008788551,-0.175397997,0.036348697,-0.291112286,1.457388175,-1
720,MODEL1,PARMS,sRB10,0.920985871,4.144285367,-0.152272461,0.414229433,-1.492975754,-0.003374121,-0.226969564,1.358972173,-1
721,MODEL1,PARMS,sRB10,0.856273861,-4.403047105,0.118307985,-0.36439688,1.499098449,0.454137237,-2.00847354,4.91491126,-1
722,MODEL1,PARMS,sRB10,0.861776482,0.487022041,0.109526672,-0.297101784,1.065303023,0.152271809,-0.682157608,2.253469467,-1
723,MODEL1,PARMS,sRB10,0.975984339,9.057716594,0.099874858,0.168588897,-1.237797839,-0.375413949,1.114147698,-1.611599337,-1
724,MODEL1,PARMS,sRB10,0.879840128,0.022703461,0.075961934,-0.431272857,1.853101042,0.199686212,-0.512997871,1.573888617,-1
725,MODEL1,PARMS,sRB10,0.906459981,-6.634618231,0.050158367,-0.134192934,0.307791035,0.614262507,-2.125181351,4.653321114,-1
726,MODEL1,PARMS,sRB10,0.857880688,0.133128903,0.050457158,-0.291651088,1.241338367,0.195458139,-0.290682153,0.731398183,-1
727,MODEL1,PARMS,sRB10,0.88308808,2.593506548,0.02212173,-0.135019535,0.728174255,0.06430213,-0.672715757,2.195112757,-1
728,MODEL1,PARMS,sRB10,0.927986755,2.093403259,0.168024504,-0.525671182,2.734097393,0.028402028,0.377836539,-0.335347667,-1
729,MODEL1,PARMS,sRB10,0.881804259,9.023677537,-0.112675521,0.306460717,-0.880874332,-0.293138222,0.574130293,-1.359087479,-1
730,MODEL1,PARMS,sRB10,0.850706288,6.624041701,0.016626949,0.218974305,-1.412262622,-0.186172145,-0.15955477,1.08037879,-1
731,MODEL1,PARMS,sRB10,1.016900066,-1.808663099,0.083755862,-0.065534718,0.188566757,0.304986472,-1.400779896,3.656918795,-1
732,MODEL1,PARMS,sRB10,0.84448028,-1.093781555,-0.015003385,0.010935863,-0.349394663,0.312763285,-2.665207699,6.962033241,-1
733,MODEL1,PARMS,sRB10,0.913234315,-4.03756332,-0.085223667,0.036039397,-0.033562679,0.484754878,-1.094545219,2.224448019,-1
734,MODEL1,PARMS,sRB10,0.983979904,-7.046190719,0.099015083,-0.586250157,2.502803918,0.617930763,-2.308676597,5.707076095,-1
735,MODEL1,PARMS,sRB10,0.872250843,5.214603477,0.059216371,-0.150041267,0.719632065,-0.126408248,1.056684399,-2.88920329,-1
736,MODEL1,PARMS,sRB10,0.901851032,-1.007416354,-0.042924437,-0.206226124,1.16201818,0.313530764,-2.407563589,6.153988166,-1
737,MODEL1,PARMS,sRB10,0.861448536,1.328974514,-0.0334469,0.224178804,-1.072070328,0.140265677,-0.193509429,0.458597725,-1
738,MODEL1,PARMS,sRB10,0.808987215,4.288540629,0.077446918,-0.102308071,-0.106282126,-0.072056304,0.098474478,0.191614901,-1
739,MODEL1,PARMS,sRB10,0.918112805,-3.197866467,0.055344868,-0.078451845,0.259922883,0.392392813,-1.813519994,4.748338375,-1
740,MODEL1,PARMS,sRB10,0.867041987,2.784475216,0.055210385,-0.047084159,0.177318914,0.035309735,-0.508276814,1.519226913,-1
741,MODEL1,PARMS,sRB10,0.985611268,-1.01947001,-0.069173883,0.474215765,-2.369085099,0.292793142,-0.710263033,1.631925343,-1
742,MODEL1,PARMS,sRB10,0.934689529,-2.211861911,-0.123870272,0.403465759,-1.366806625,0.378648084,-0.939500108,2.129195594,-1
743,MODEL1,PARMS,sRB10,0.955144461,-6.469872163,-0.018279323,-0.152009495,1.022977303,0.62722248,-2.958671022,7.174416,-1
744,MODEL1,PARMS,sRB10,0.844121773,6.983028959,-0.085071342,0.339483617,-1.371212663,-0.197049925,0.675812352,-1.130717382,-1
745,MODEL1,PARMS,sRB10,0.938650412,3.039826254,-0.061465757,0.149798831,-0.290770771,0.037854376,0.202194811,-0.316532853,-1
746,MODEL1,PARMS,sRB10,0.925706175,3.99283976,-0.098527327,-0.065517921,0.266763556,0.00463407,-0.131342023,0.523978844,-1
747,MODEL1,PARMS,sRB10,0.794047628,7.891640932,-0.122687811,0.471370662,-1.796972387,-0.226725625,-0.091769341,1.043563732,-1
748,MODEL1,PARMS,sRB10,0.824100053,1.468164173,-0.155233765,0.521287865,-2.001112333,0.162136095,0.553361748,-2.120963276,-1
749,MODEL1,PARMS,sRB10,0.844319888,-2.604660767,0.022621532,-0.110077171,0.648878271,0.349705888,0.007350466,-0.269876793,-1
750,MODEL1,PARMS,sRB10,0.837820255,7.395103282,0.004799292,0.131533262,-0.736349773,-0.244236237,0.51318481,-0.751470976,-1
751,MODEL1,PARMS,sRB10,0.895434851,11.51924121,-0.13144977,0.178458748,-0.557591502,-0.430161051,0.086406103,0.983620516,-1
752,MODEL1,PARMS,sRB10,0.867487077,-2.841698026,0.201175271,-0.612210885,2.270965222,0.3361816,-1.337691999,3.481345982,-1
753,MODEL1,PARMS,sRB10,0.948312683,-0.229904493,-0.098670965,0.236029778,-0.961456083,0.27027322,-2.037993569,5.285519908,-1
754,MODEL1,PARMS,sRB10,0.797501651,16.02094898,0.110368519,-0.4637335,2.208429067,-0.781770556,2.851512953,-5.823524186,-1
755,MODEL1,PARMS,sRB10,0.966563277,-3.37287532,0.146207988,-0.264162199,1.290352041,0.371343429,-1.18701604,2.815654971,-1
