SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB1
603,MODEL1,PARMS,sLB1,0.507918588,-1.172535005,0.119467339,-0.114516185,0.057245897,0.137632742,-0.417941083,0.74121542,0.323547581,-0.520080104,0.963714887,-1
604,MODEL1,PARMS,sLB1,0.538952145,-0.480879216,0.124768873,-0.077074526,-0.048894709,0.097109711,0.021462416,-0.471147374,0.273616297,-0.571517679,1.403060853,-1
605,MODEL1,PARMS,sLB1,0.503920822,1.311835048,0.091477914,-0.125876605,0.150695966,0.00908385,-0.145851871,0.294051019,0.216123383,-0.128444804,0.135329841,-1
606,MODEL1,PARMS,sLB1,0.493620081,-1.926921719,0.047674556,-0.01650398,-0.050347168,0.2050648,0.23224482,-0.952194109,0.361895693,-1.197456522,2.419683265,-1
607,MODEL1,PARMS,sLB1,0.542085997,-1.376376473,0.080545034,0.054017434,-0.520642283,0.176861347,-0.590006379,1.304881792,0.258572015,-0.623385258,1.38834986,-1
608,MODEL1,PARMS,sLB1,0.491100499,0.1878947,0.141385891,-0.064020923,-0.013063526,0.081197679,0.082116729,-0.322509969,0.072424637,0.312656316,-0.721836825,-1
609,MODEL1,PARMS,sLB1,0.528722683,0.163141277,0.169282336,-0.214214257,0.624876304,0.024529264,0.324443869,-1.049664941,0.315469386,-0.34910134,0.486315124,-1
610,MODEL1,PARMS,sLB1,0.520386748,-0.119925566,0.097697486,-0.085093055,-0.04709263,0.151685446,-0.200651525,-0.134682222,-0.03352558,0.429413623,-0.765395441,-1
611,MODEL1,PARMS,sLB1,0.508649027,0.614777515,0.049175771,-0.14365915,0.468729747,0.034549273,0.160492899,-0.76467556,0.388065267,-0.672828897,1.151141698,-1
612,MODEL1,PARMS,sLB1,0.567154472,3.782580395,0.156477782,-0.340800213,1.071803078,-0.24863754,0.730205673,-1.485626893,0.591824879,-1.538625306,3.010207678,-1
613,MODEL1,PARMS,sLB1,0.514040368,2.390918283,0.058309819,-0.028801566,-0.005461779,-0.102818154,0.837089082,-2.313694352,0.44469347,-1.129326245,2.21728839,-1
614,MODEL1,PARMS,sLB1,0.509603065,1.854970187,0.087881408,-0.103758752,0.239079836,-0.021426125,0.069391942,-0.717765311,0.167383239,0.319933528,-0.724490131,-1
615,MODEL1,PARMS,sLB1,0.502191045,1.173897434,0.014711023,0.066259097,-0.534344987,0.03697768,-0.208284923,0.450777052,0.239709285,-0.313564807,0.395292189,-1
616,MODEL1,PARMS,sLB1,0.540961785,-2.979159113,0.256926096,-0.477660568,1.45237115,0.207448292,-0.976784987,2.290091378,0.374608859,-0.689806582,1.425467462,-1
617,MODEL1,PARMS,sLB1,0.540881767,1.821702385,0.035219795,-0.056420762,0.066565308,-0.041048793,-0.136450994,0.366131109,0.40108184,-0.675615794,1.169326123,-1
618,MODEL1,PARMS,sLB1,0.509202067,-0.361392065,0.114187896,-0.022952238,-0.299839953,0.094063464,-0.179692645,0.349841899,0.27351499,-0.548236994,1.069370468,-1
619,MODEL1,PARMS,sLB1,0.548653361,-3.620661723,0.122650716,-0.297311788,0.913497786,0.2986584,-0.954164008,2.032344586,0.35820501,-0.70203683,1.281602645,-1
