SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LB1
595,MODEL1,PARMS,LB1,0.670829044,1.872433224,-0.002949097,0.334265971,-1.442645708,0.045568335,0.5937679,-2.229923455,0.071726307,0.861257242,-1.571638142,-1
596,MODEL1,PARMS,LB1,0.707611368,-2.888427347,0.159182388,-0.200563316,0.400275195,0.315537516,-1.091763119,1.884366543,0.18765144,0.706067384,-1.754435253,-1
597,MODEL1,PARMS,LB1,0.675725704,-7.076122894,0.260394131,-0.78474523,2.784632716,0.561783717,-2.081945368,4.088551778,0.272755938,0.087946864,-0.168376912,-1
598,MODEL1,PARMS,LB1,0.705339163,-3.346924417,0.120387711,-0.298392511,0.738365638,0.374605729,-1.220167632,2.468998602,0.153918086,0.06409423,-0.079947047,-1
599,MODEL1,PARMS,LB1,0.73443778,4.27797378,0.103016043,-0.29857229,0.932500767,-0.169270506,0.494512424,-0.721370012,0.368492091,-0.804565858,1.53585165,-1
600,MODEL1,PARMS,LB1,0.680342106,3.912245874,0.23478922,-0.509590993,1.489895663,-0.139327387,0.841485887,-2.474493445,0.117901874,0.380459044,-0.592545858,-1
601,MODEL1,PARMS,LB1,0.686204652,2.39212771,0.199015135,-0.544014015,1.764619991,-0.033827105,0.744234863,-2.451049231,0.15472807,0.126211004,-0.105191452,-1
602,MODEL1,PARMS,LB1,0.679898213,-4.372807858,0.011834879,-0.016849141,0.141002421,0.419063664,-0.914820977,1.412448571,0.376082604,-0.684662516,1.465883721,-1
603,MODEL1,PARMS,LB1,0.684988699,0.298473904,0.132226757,-0.244134276,0.310056283,0.1111991,-0.292577359,0.486753715,0.205302222,0.147031599,-0.444699727,-1
604,MODEL1,PARMS,LB1,0.669079263,-2.985568247,0.211115583,-0.519888656,1.503104628,0.242369289,-0.393940085,0.074284383,0.510440421,-0.908290095,2.054190731,-1
605,MODEL1,PARMS,LB1,0.69664125,-9.032205391,0.193450909,-0.578033375,1.875157383,0.722186663,-2.15582509,4.489285135,0.143053978,0.378493515,-0.856631805,-1
606,MODEL1,PARMS,LB1,0.653380323,-3.271782314,0.241110738,-0.526101541,1.469656348,0.298006082,0.303351997,-1.603235497,0.268229837,-0.388520969,0.861967941,-1
607,MODEL1,PARMS,LB1,0.69310428,3.691821354,0.025297507,0.032772016,-0.437866712,-0.125814888,1.339998857,-3.488173044,0.373547835,-0.919429155,2.055459416,-1
608,MODEL1,PARMS,LB1,0.675549248,-0.544518803,0.116850214,-0.113984622,-0.040441663,0.127367544,0.449322562,-1.654351225,0.339395156,-0.537755311,1.122037591,-1
609,MODEL1,PARMS,LB1,0.75148182,-1.685746933,0.1285794,-0.312602992,0.961026543,0.261960958,0.323550298,-1.462197132,0.091502177,-0.197346481,0.709244761,-1
610,MODEL1,PARMS,LB1,0.669347025,2.256939576,0.139032449,-0.333467555,0.523139209,0.016908997,-0.137369101,-0.119788223,0.104095293,0.110189285,-0.011434098,-1
611,MODEL1,PARMS,LB1,0.673833344,1.180590893,0.057283631,-0.208959455,0.595447737,0.063857324,-0.022312939,-0.324433081,0.295139819,-0.611401489,1.459638725,-1
612,MODEL1,PARMS,LB1,0.694438566,-2.154392292,0.215221804,-0.627327222,1.950549072,0.2562811,-0.672962688,1.124031252,0.211111047,-0.203016459,0.637984725,-1
613,MODEL1,PARMS,LB1,0.736360018,-2.782501887,0.06040549,-0.136292616,0.526857068,0.250144448,-0.269377265,0.29493413,0.62433313,-1.905802061,4.193677154,-1
614,MODEL1,PARMS,LB1,0.652725421,3.261590446,0.181203424,-0.415063307,1.425800505,-0.100247108,0.021855335,-0.659732319,0.174594812,0.855934356,-1.773721041,-1
615,MODEL1,PARMS,LB1,0.684365643,-1.835668482,-0.026659001,0.084290877,-0.817271223,0.268516122,-0.766826335,1.628843719,0.35773764,-0.703375993,1.313723999,-1
616,MODEL1,PARMS,LB1,0.683229816,-5.920496017,0.184094047,-0.530699284,1.752920028,0.442864827,-1.658627717,3.477692711,0.567980831,-1.255863763,2.653054365,-1
617,MODEL1,PARMS,LB1,0.753390729,3.545998455,0.021652497,-0.082680616,-0.020945181,-0.071892943,0.223691994,-0.562244688,0.269436008,-0.416793921,0.952090551,-1
618,MODEL1,PARMS,LB1,0.679014977,-5.83335036,0.069065136,-0.066868228,-0.135569791,0.535477027,-1.529182216,3.229474906,0.191750202,-0.347077752,0.993895476,-1
619,MODEL1,PARMS,LB1,0.688378995,-5.24606009,0.084003693,-0.289097876,0.909128436,0.483347971,-1.483390986,2.916098391,0.311913978,-0.614967802,1.360203083,-1
620,MODEL1,PARMS,LB1,0.664564018,2.287500215,0.117231159,-0.288529797,0.813618266,-0.06353893,0.588760826,-1.724325994,0.450715842,-1.141115923,2.473422048,-1
621,MODEL1,PARMS,LB1,0.658022503,2.011406994,0.083448762,-0.224436118,0.299237565,0.007471494,0.439512465,-1.600646246,0.271375224,-0.745420266,1.974521465,-1
622,MODEL1,PARMS,LB1,0.659013221,-4.71167504,0.104628751,-0.18463697,0.684085138,0.369791827,-0.519546416,0.628949402,0.576068916,-1.844539393,4.108753976,-1
623,MODEL1,PARMS,LB1,0.693769865,-2.608734961,0.167454948,-0.313924115,0.609402508,0.295704199,-0.528122984,0.601463419,0.199337665,-0.714243595,2.294621168,-1
624,MODEL1,PARMS,LB1,0.746550704,-0.686384367,0.108354645,-0.43585221,1.352711818,0.279095447,-0.675854515,1.052069105,-0.167732026,1.004374226,-1.943024357,-1
625,MODEL1,PARMS,LB1,0.740623075,1.132136519,0.115097084,-0.458266069,1.691881716,0.031089968,-0.101080783,0.151694941,0.412696779,-0.923492717,2.026756699,-1
626,MODEL1,PARMS,LB1,0.678582989,-7.376097717,0.029848079,-0.043838978,0.032663867,0.577722171,-1.279840807,2.420566032,0.570376798,-1.937501827,4.292779278,-1
627,MODEL1,PARMS,LB1,0.660355839,7.019053336,0.147630379,-0.221552243,0.466160408,-0.368923511,1.084001818,-2.554746362,0.371846879,-0.150311222,-0.065519006,-1
628,MODEL1,PARMS,LB1,0.697015443,-1.33858526,0.085679421,-0.333906379,1.168499754,0.174585693,0.030926254,-0.495549321,0.511458154,-1.307073136,2.570017819,-1
629,MODEL1,PARMS,LB1,0.69908803,-0.457219507,0.207163234,-0.571295049,2.171041342,0.088394744,0.283832063,-1.523342651,0.464389737,-1.145621449,2.930011349,-1
630,MODEL1,PARMS,LB1,0.654013136,2.408773912,0.126444712,-0.402282815,1.642389818,-0.075002511,0.19269238,0.060961034,0.457276445,-0.867541475,1.42697407,-1
631,MODEL1,PARMS,LB1,0.776003541,-6.06024001,0.058183189,-0.441308483,2.11236394,0.602340661,-1.813093902,4.108742833,0.088772129,0.100373631,-0.499139627,-1
632,MODEL1,PARMS,LB1,0.689984515,-2.073724446,0.285551288,-0.730576256,2.031108203,0.177714477,-0.385459441,0.46775298,0.439853857,-0.443601178,0.698758898,-1
633,MODEL1,PARMS,LB1,0.785133213,-1.710439789,0.019501837,0.201416834,-0.929077537,0.271574219,0.260833763,-1.261786754,0.169885771,-0.194024088,0.775974853,-1
634,MODEL1,PARMS,LB1,0.723225651,7.305880648,0.083142186,0.02181987,-0.538874388,-0.386385079,2.129960268,-5.126284777,0.399052178,-1.194725328,2.760817132,-1
635,MODEL1,PARMS,LB1,0.739237717,-1.326364639,0.04490012,-0.105637126,0.487406032,0.25577102,0.2009438,-0.67195707,0.149767014,-0.286981348,0.740277357,-1
636,MODEL1,PARMS,LB1,0.644843059,-3.029194714,0.135015921,-0.366312415,0.895362034,0.333757303,-1.235131358,2.641901133,0.195629698,0.368936464,-0.941132664,-1
637,MODEL1,PARMS,LB1,0.663801797,-5.714026037,0.109274066,-0.224470545,0.472238054,0.486124877,-1.024229288,1.394546446,0.327233956,-0.2322777,0.457703967,-1
638,MODEL1,PARMS,LB1,0.655439815,-1.254990456,0.113579455,-0.111847593,-0.287490613,0.2448976,-0.405425561,0.730591197,0.090640796,-0.229938553,0.890384543,-1
639,MODEL1,PARMS,LB1,0.786181565,-8.386084641,0.123095688,-0.432227985,1.273473389,0.674810679,-1.624470439,2.7796714,0.297737642,-0.149532483,0.190471136,-1
640,MODEL1,PARMS,LB1,0.688774358,-1.488681849,-0.020193525,0.096419626,-0.579644911,0.281950158,-0.02668973,-0.424449932,0.207983275,-0.663588339,1.510524029,-1
641,MODEL1,PARMS,LB1,0.724114567,4.090031244,0.145353327,-0.329958879,0.842728783,-0.197923197,0.663484004,-1.473057769,0.470831241,-0.657381951,1.203031477,-1
642,MODEL1,PARMS,LB1,0.704949839,-2.598149538,0.110026896,-0.403946964,1.406807229,0.289158242,-1.984000636,4.41281192,0.38072186,-0.336539803,0.907514908,-1
