SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
418,MODEL1,PARMS,RLL,0.775875256,5.902235865,0.123845963,-0.265680914,0.950979573,-0.090929413,0.738253895,-2.248654188,0.238811953,-0.199442687,0.464992884,-1
419,MODEL1,PARMS,RLL,0.789470205,7.046354081,0.149729991,-0.357209402,1.325851916,-0.351747834,1.869601591,-4.573458384,1.003926163,-1.865324133,3.358100108,-1
420,MODEL1,PARMS,RLL,0.906996348,7.991329303,0.080653977,-0.128320053,0.625050646,-0.355298679,1.784986399,-4.533333477,0.859416274,-1.764542221,3.563058643,-1
421,MODEL1,PARMS,RLL,0.845876101,-0.640934281,0.131958616,-0.306623349,1.370113307,0.325011113,-1.473649891,3.085610518,0.322490128,-0.125670114,0.23066877,-1
422,MODEL1,PARMS,RLL,0.877379026,3.665534011,0.057398994,-0.194219365,0.774130248,-0.041721215,0.58647821,-2.121700518,0.789372125,-1.523842471,2.938094745,-1
423,MODEL1,PARMS,RLL,0.86052351,5.329831254,0.032376396,-0.248017907,1.026783163,-0.04143469,-0.123756846,-0.331954256,0.390125676,-0.683465722,1.874977055,-1
424,MODEL1,PARMS,RLL,0.843877546,-9.476325897,0.017595472,-0.013783056,-0.215841001,0.777719585,-1.836166793,2.830491943,1.085875102,-2.819057176,5.871377672,-1
425,MODEL1,PARMS,RLL,0.841008303,-1.41582463,-0.05080849,0.157854717,-0.486448778,0.296508715,-0.976151962,1.646599764,0.908391715,-1.744645396,3.66289908,-1
426,MODEL1,PARMS,RLL,0.800236723,-1.277441174,0.145376994,-0.6341463,2.701619331,0.241843621,-0.303175804,-0.106736043,0.905226384,-2.450382473,5.516433318,-1
427,MODEL1,PARMS,RLL,0.881618534,-2.924545143,-0.057402106,0.216817525,-1.222402823,0.438077174,-1.659870919,3.69282015,0.774647381,-1.594191186,2.973963218,-1
428,MODEL1,PARMS,RLL,0.846724294,-2.89131634,0.083906859,-0.026559651,-0.480552831,0.350196115,-0.482369041,0.510566374,0.957053561,-2.93021688,6.351034467,-1
429,MODEL1,PARMS,RLL,0.857773731,1.980458893,-0.011686148,-0.113742053,0.722984148,0.157818603,-0.934200711,1.804110353,0.580697549,-1.552124806,3.278294398,-1
430,MODEL1,PARMS,RLL,0.849778942,2.635983221,0.06870764,-0.380235174,1.695979144,-0.020962675,0.831185809,-2.355687044,1.041195875,-2.67642483,5.17403711,-1
431,MODEL1,PARMS,RLL,0.825085966,4.624427553,-0.046417456,0.041495691,0.074137425,-0.010466013,0.639883196,-2.028232751,0.48448279,-0.84183495,1.648350943,-1
432,MODEL1,PARMS,RLL,0.85041497,4.178923358,-0.007004212,-0.041893616,0.387102043,-0.12368389,0.738176933,-1.880013756,1.073178922,-2.080061032,3.823762309,-1
433,MODEL1,PARMS,RLL,0.808182195,-1.088996078,0.130170452,-0.095119687,0.138467324,0.24644157,-0.468222489,0.363437662,0.71395275,-0.714011322,1.299456925,-1
434,MODEL1,PARMS,RLL,0.83435036,-1.694569534,0.053097036,-0.088865973,0.147071818,0.318344868,-0.840573765,1.350646017,0.794042638,-2.13346751,4.741611302,-1
435,MODEL1,PARMS,RLL,0.840992612,-5.516403321,0.081824207,-0.167188592,0.849361787,0.478523874,-0.41408159,0.011892543,1.112027803,-2.688270281,5.36080848,-1
436,MODEL1,PARMS,RLL,0.842121854,-3.099137265,0.096190497,-0.146187211,0.408756016,0.462069231,-1.193397105,2.302314503,0.45667879,-0.252919589,0.189686139,-1
437,MODEL1,PARMS,RLL,0.852644137,2.064669373,0.005399523,-0.11661801,0.53169019,0.086776368,0.561496888,-2.342192137,0.761224917,-1.439170233,2.865955116,-1
438,MODEL1,PARMS,RLL,0.85498409,8.436498267,0.211453674,-0.640136171,2.41753837,-0.283907974,0.512404835,-0.945663377,0.287897643,0.355335453,-1.203301932,-1
439,MODEL1,PARMS,RLL,0.868641543,7.691423446,0.115185934,0.04818106,-0.839249716,-0.309931646,1.1200889,-2.847052918,0.669337102,-0.635984468,0.720941285,-1
