SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
77,MODEL1,PARMS,RB4_5,0.852473392,13.49411576,0.01237745,-0.139571651,-0.35573504,-0.606268358,0.88000016,-1.167949901,0.364594875,-1.04482212,2.576348015,-1
78,MODEL1,PARMS,RB4_5,0.849220342,2.884912986,-0.078412018,0.392575482,-1.733967209,-0.012304337,0.220356469,-0.997837998,0.84607049,-2.274126612,4.814294963,-1
79,MODEL1,PARMS,RB4_5,0.888867621,13.83700623,0.018800623,-0.194210196,0.615702468,-0.637168422,1.615864959,-3.156438912,0.338415464,-0.56867656,1.102259121,-1
80,MODEL1,PARMS,RB4_5,0.88174335,9.600023144,0.139326363,-0.66376503,2.682062112,-0.469926401,1.688258724,-3.879525699,0.664358608,-0.96192194,1.410313639,-1
81,MODEL1,PARMS,RB4_5,0.878453596,6.575852864,0.257607633,-0.827236826,2.799980045,-0.176663813,-0.27664688,1.254339831,0.107473908,0.539345861,-1.060614746,-1
82,MODEL1,PARMS,RB4_5,0.84078019,9.149666968,0.105011317,-0.326591553,0.468365722,-0.432910922,-0.028951298,0.866970093,0.772687138,-1.309466596,2.493008755,-1
83,MODEL1,PARMS,RB4_5,0.899094796,2.833326413,0.049932282,-0.120836504,-0.034654663,-0.095450435,-0.176400503,0.499570452,1.147313042,-2.591771732,4.863249819,-1
84,MODEL1,PARMS,RB4_5,0.814678058,12.40855679,0.198808245,-0.528622125,1.562616532,-0.690630167,1.521092558,-2.612502499,0.741067923,-1.474105723,2.754023744,-1
85,MODEL1,PARMS,RB4_5,0.835974899,4.628886479,-0.065412579,0.39567454,-1.73713963,-0.026953153,-0.524561519,1.61381536,0.381039817,0.211485429,-1.404611009,-1
86,MODEL1,PARMS,RB4_5,0.841815776,4.685753765,-0.129298743,0.086415873,-0.380971466,-0.0628586,0.468085028,-1.811634651,0.691129568,-1.32732772,2.436067773,-1
87,MODEL1,PARMS,RB4_5,0.801793268,3.025042889,0.119664816,-0.446917468,1.225932914,-0.016764377,0.053431499,-0.31726417,0.613395858,-0.957191899,1.599297873,-1
88,MODEL1,PARMS,RB4_5,0.826911988,2.237889526,0.156792787,-0.503819767,1.69783074,0.083462283,-0.241090816,0.38449448,0.355793756,-0.806145063,2.056247012,-1
