SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LMB
690,MODEL1,PARMS,LMB,1.188300601,2.471635078,0.67465795,-1.687752431,6.15793988,-0.149024741,0.286987093,-0.78383364,1.861317426,-3.308179672,5.593435874,-1
691,MODEL1,PARMS,LMB,1.095341792,15.07485494,0.065702977,-0.267874643,1.412756138,-0.587740075,2.349891739,-5.894188849,0.959745601,-1.917487724,3.665153312,-1
692,MODEL1,PARMS,LMB,1.070247039,10.26898514,0.255890726,-0.606654531,2.153902479,-0.403239754,1.061013207,-1.515275277,1.353851509,-3.623422981,7.282492324,-1
693,MODEL1,PARMS,LMB,1.152632678,13.37025561,0.440614654,-0.930806615,3.3286709,-0.682572662,0.469059241,0.249619021,1.425463309,-3.129793601,6.373613413,-1
694,MODEL1,PARMS,LMB,1.159350487,5.971111954,0.311674482,-0.426200987,0.986339444,0.002536931,0.019942063,0.286635927,0.622839132,-0.661514157,0.742131967,-1
695,MODEL1,PARMS,LMB,1.03713042,6.892475104,0.397355878,-0.872649513,2.928288208,-0.223800063,1.23039887,-2.424493059,1.329373474,-3.44387687,5.945787971,-1
696,MODEL1,PARMS,LMB,1.129112122,14.41376995,0.463483489,-1.196521728,4.652512383,-0.699109441,1.993307958,-4.017584903,1.052349145,-1.319320358,1.941305425,-1
697,MODEL1,PARMS,LMB,1.042315516,13.99285928,0.370265387,-0.763881753,2.943835969,-0.723555259,1.854004463,-3.507530953,1.453598162,-3.525862096,7.07298824,-1
698,MODEL1,PARMS,LMB,1.140616097,7.195484601,0.488047661,-1.119876033,3.707962096,-0.275860737,1.810178394,-4.288239148,1.277800885,-3.056597863,6.292274256,-1
699,MODEL1,PARMS,LMB,1.12151173,-7.556958782,0.391648402,-0.753716768,2.460290703,0.79822811,-2.574530856,5.979251851,0.91978208,-1.736738375,3.548499773,-1
700,MODEL1,PARMS,LMB,1.049022517,12.84346264,0.140742154,-0.471915384,2.280197017,-0.512174167,1.34751835,-1.899485032,1.211682118,-3.107150584,6.089476736,-1
701,MODEL1,PARMS,LMB,1.152917759,7.184562074,0.289096682,-0.480250959,2.230910558,-0.19757195,-0.386271129,1.372473809,1.241182822,-2.441253786,4.542399501,-1
702,MODEL1,PARMS,LMB,1.22834259,7.108099453,0.464011146,-0.921904512,3.411278047,-0.259665358,1.276043223,-2.899331174,1.206687604,-2.405890634,4.46578989,-1
703,MODEL1,PARMS,LMB,1.15618356,7.882189596,0.183698381,-0.523151436,2.349923204,-0.194916325,1.0815632,-3.037515741,1.190083439,-3.126058707,6.695498696,-1
704,MODEL1,PARMS,LMB,1.017446116,10.19476928,0.494314735,-1.2074057,4.326576595,-0.458699893,1.283919947,-2.101680883,1.276142204,-3.080120794,6.046774619,-1
705,MODEL1,PARMS,LMB,1.115360061,1.931273914,0.144384994,-0.028230958,0.156683385,0.202953002,0.234421781,-1.012554384,1.14157411,-3.598421187,7.664007874,-1
706,MODEL1,PARMS,LMB,1.216349473,24.76192947,0.285906737,-0.684300117,1.978498459,-1.453432986,5.214753265,-12.20631437,1.737420588,-3.951707099,7.322059912,-1
707,MODEL1,PARMS,LMB,1.17992193,21.3537721,-0.053573515,0.338090495,-1.419081696,-1.018793172,3.70956482,-8.292922973,1.197039182,-3.371055574,7.105760845,-1
708,MODEL1,PARMS,LMB,1.090820263,16.7535963,0.262523055,-0.769379833,2.938232104,-0.723310634,2.239634411,-5.056143341,0.793181895,-0.921725195,1.522562972,-1
709,MODEL1,PARMS,LMB,1.207373719,17.26378976,0.307291888,-0.031718178,-0.154205889,-0.842997402,3.527558789,-7.559890371,0.92958658,-1.677078341,2.895462914,-1
710,MODEL1,PARMS,LMB,1.2075288,4.710578678,0.438918807,-0.92006081,3.522992965,0.038067066,0.734397448,-2.12859068,0.607091256,-0.381465081,-0.048435806,-1
711,MODEL1,PARMS,LMB,1.06916693,7.972601444,0.205746478,-0.464759563,1.805296658,-0.213275708,1.183377865,-3.098762629,1.175871502,-2.549703609,5.04281916,-1
712,MODEL1,PARMS,LMB,1.201161459,23.92823843,0.374922465,-0.346064268,0.493663232,-1.380779876,3.846560698,-7.075922328,1.430397099,-3.710540377,7.32645026,-1
713,MODEL1,PARMS,LMB,1.125049919,2.67433305,0.139519344,-0.157602711,0.900360937,0.171574555,0.083914201,-0.320249668,0.995120866,-1.031422096,0.80195692,-1
714,MODEL1,PARMS,LMB,1.100092867,5.454352824,0.587627057,-1.364158763,4.903933224,0.015946958,0.031021497,-0.380591294,0.329841164,-0.1436979,0.569938325,-1
715,MODEL1,PARMS,LMB,1.14308244,3.716241703,0.530784274,-0.714706044,1.875118638,-0.087202864,1.077932157,-2.32454079,1.382717413,-3.616171974,7.045171602,-1
716,MODEL1,PARMS,LMB,1.186906982,5.842213591,0.201641453,-0.490078575,2.289757046,-0.119131788,1.998288869,-5.524088399,1.409964491,-4.033967688,8.068570648,-1
717,MODEL1,PARMS,LMB,1.236750431,12.66001619,0.284857696,-0.922013799,3.694285188,-0.567385569,1.686548368,-3.304051593,1.291789364,-2.387732854,4.285287821,-1
718,MODEL1,PARMS,LMB,1.157645858,3.300797134,0.339085935,-0.631842727,2.355880511,-0.060546837,-0.093377837,0.883066108,1.730757148,-4.425569833,8.61004455,-1
719,MODEL1,PARMS,LMB,1.15214297,12.56465389,0.258803244,-0.592228944,2.310909925,-0.527378345,2.097731451,-4.07920312,1.143161372,-3.158216041,5.974614999,-1
720,MODEL1,PARMS,LMB,1.079898686,12.42433197,0.401420589,-0.75331851,2.316169293,-0.5570109,1.817175376,-4.068505399,1.121443326,-2.565466459,5.172831643,-1
721,MODEL1,PARMS,LMB,1.224068852,-6.427661134,0.450963288,-1.198308384,4.953225048,0.793658475,-1.855570517,3.918322596,0.537120215,-0.719641666,1.212167253,-1
722,MODEL1,PARMS,LMB,1.12958169,13.10946308,0.259653057,-1.050579311,4.392208725,-0.609264529,1.505293506,-3.317724075,1.451568553,-3.041779597,5.877427296,-1
723,MODEL1,PARMS,LMB,1.172848797,16.37370535,0.33769456,-0.992407218,4.159316614,-0.775633836,1.52533951,-2.198710561,1.033162966,-0.983317786,0.897118915,-1
724,MODEL1,PARMS,LMB,1.141940022,13.68834025,0.449020201,-0.855609161,2.640560487,-0.751629712,2.350137878,-4.965823625,1.566445939,-3.385617189,6.049093272,-1
