SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LLB6
344,MODEL1,PARMS,LLB6,1.001383989,-5.739280716,-0.007344326,-0.025041036,0.660474293,0.597381169,-0.833582328,1.231017181,1.227837199,-3.024927013,6.073197781,-1
345,MODEL1,PARMS,LLB6,0.98867121,12.76401732,0.142264477,-0.617718348,2.272281667,-0.716611581,2.681138206,-6.140000126,1.507241328,-3.229026641,5.965880192,-1
346,MODEL1,PARMS,LLB6,1.143282946,5.237106659,-0.037103499,-0.248739696,1.059545136,-0.068012636,0.76274564,-1.992262619,1.120655913,-2.725467354,5.500328836,-1
347,MODEL1,PARMS,LLB6,0.877480685,7.084322086,-0.125879238,0.434833748,-1.845958761,-0.156375196,0.904004049,-2.303157606,1.009616052,-2.481669559,5.015963485,-1
348,MODEL1,PARMS,LLB6,0.973372126,-9.069274154,0.368139106,-0.493703933,1.457304233,0.606544545,-1.630578451,3.725814299,1.609814285,-3.831315077,7.24768648,-1
349,MODEL1,PARMS,LLB6,1.063233656,3.225096273,-0.235301977,0.637982934,-2.269256347,0.048692469,-0.400088316,0.906982959,1.374357939,-3.11198213,5.743635671,-1
350,MODEL1,PARMS,LLB6,0.906249845,-1.101163282,0.134902036,-0.531152551,1.608615056,0.327141263,-1.330442915,3.20047892,0.932213463,-1.587330594,3.05217166,-1
351,MODEL1,PARMS,LLB6,1.015025513,3.027241668,0.266850654,-0.657092981,2.196464291,-0.031392954,0.59089071,-1.656012972,1.108787287,-1.969500557,3.48423924,-1
352,MODEL1,PARMS,LLB6,0.96315946,-5.970071111,0.200095915,-0.556122099,1.410906735,0.552682181,-1.405914484,3.095128859,1.321482797,-3.526880464,7.14509311,-1
353,MODEL1,PARMS,LLB6,1.037367606,-2.609388124,0.323512327,-1.051380129,4.167050322,0.409886316,-0.72533633,0.980452238,0.771747148,-1.600913252,3.110661895,-1
354,MODEL1,PARMS,LLB6,1.027327713,9.05452301,0.208587428,-0.713917009,2.57304992,-0.404492923,1.477767931,-2.707431175,1.174291328,-3.287375024,6.567845941,-1
355,MODEL1,PARMS,LLB6,1.068214077,2.062535175,0.533059535,-1.466904437,4.719914808,0.00240746,-0.316199893,0.467105243,0.974903392,-2.691588135,5.899910012,-1
356,MODEL1,PARMS,LLB6,0.946888974,2.932641588,0.268341641,-0.810235632,3.44691474,0.035006912,0.164240882,-1.039629057,0.812853747,-1.054913007,2.04764979,-1
