SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RMB
543,MODEL1,PARMS,RMB,1.282774608,17.26325384,-0.199433063,-0.399130051,2.455882859,-0.632025465,3.84946205,-9.986895518,1.515024845,-3.55507195,6.279529775,-1
544,MODEL1,PARMS,RMB,1.410074532,21.72114187,0.465718411,-1.33991249,6.038131822,-1.005646467,3.523845602,-6.742128814,0.715765288,0.718078078,-3.252481277,-1
545,MODEL1,PARMS,RMB,1.354212695,10.36647221,0.270526256,-0.892945305,3.347499006,-0.305222162,2.008241255,-4.198745184,1.306599297,-3.03243244,5.502175062,-1
546,MODEL1,PARMS,RMB,1.325858925,-0.443979254,0.20681197,-0.679275389,3.319880005,0.455548927,0.631047482,-2.490175859,1.173949875,-3.300501194,6.690400014,-1
547,MODEL1,PARMS,RMB,1.327423703,-1.223586848,0.154916021,-0.714504355,2.716965022,0.54919948,-0.731441692,0.843058329,1.220962904,-3.757468694,7.76746406,-1
548,MODEL1,PARMS,RMB,1.423835405,1.563556042,0.185327209,-0.669802952,2.455102627,0.252406583,0.152372971,-0.83725819,1.566571107,-3.936187085,7.690892321,-1
549,MODEL1,PARMS,RMB,1.255525099,21.59890188,0.228770868,-0.582520002,1.855135119,-0.86986702,4.759093137,-11.31837206,0.443994993,0.25730854,-1.456110133,-1
550,MODEL1,PARMS,RMB,1.346892558,17.17006165,0.717708471,-1.762822997,6.006491169,-0.863393523,3.162996614,-6.558151959,1.164909627,-1.181166601,1.252861487,-1
551,MODEL1,PARMS,RMB,1.406022297,25.70395988,0.202054834,-0.816527924,2.585061433,-1.197241924,3.527069639,-7.430433653,0.935737779,-0.771557198,0.035791545,-1
552,MODEL1,PARMS,RMB,1.452583364,2.505063527,0.181308937,-0.698439782,2.768185093,0.26797715,1.017123114,-3.210092954,1.128603284,-1.540213211,2.102566023,-1
553,MODEL1,PARMS,RMB,1.343060394,-3.554974522,0.42787231,-1.490024213,6.181982622,0.46560836,0.487198264,-1.571888931,1.817644868,-4.742907031,9.019987956,-1
554,MODEL1,PARMS,RMB,1.380849653,6.193813285,0.318177988,-0.870475902,3.351670917,-0.08276388,2.597915293,-7.710992221,1.493723022,-3.565093709,6.711453959,-1
555,MODEL1,PARMS,RMB,1.284639326,2.027973828,0.519928471,-1.193077282,4.005997163,0.19190246,1.777991899,-5.018413298,1.190057374,-3.163364641,6.040646889,-1
556,MODEL1,PARMS,RMB,1.472746082,6.685473385,0.369182615,-1.478667931,6.514696408,-0.104097952,0.435623295,-0.85794618,1.425690168,-2.680793391,4.882075682,-1
557,MODEL1,PARMS,RMB,1.227968197,11.83213995,0.055877038,-0.480962891,2.170259312,-0.386077808,3.57828466,-8.678247991,1.554322498,-3.710156232,6.674342095,-1
558,MODEL1,PARMS,RMB,1.322022783,27.4985401,0.187701384,-0.966484334,4.013841625,-1.496525338,6.29656605,-15.38799957,1.822636585,-5.369803274,11.10985373,-1
559,MODEL1,PARMS,RMB,1.361297855,13.16414881,0.024844348,0.185735587,-1.120351385,-0.398132076,4.17501619,-10.22505995,1.056895654,-1.476861974,1.785975242,-1
560,MODEL1,PARMS,RMB,1.389460167,16.77367785,0.193903264,-0.369528284,0.774671208,-0.6684811,3.436158387,-7.2415748,1.095118676,-1.538516374,1.743148938,-1
561,MODEL1,PARMS,RMB,1.360320604,5.789904975,0.264795708,-1.057511173,4.445166721,-0.183731258,2.552646971,-6.319544591,2.19448723,-6.364061932,12.529204,-1
562,MODEL1,PARMS,RMB,1.357382712,9.714514154,0.458007012,-1.110566795,3.413593327,-0.216804352,2.33750579,-5.891677619,0.861496327,-2.717912364,5.901738957,-1
563,MODEL1,PARMS,RMB,1.245423235,12.34668595,0.286344307,-0.914200787,3.465831079,-0.347278333,2.301911075,-5.572295116,0.832082479,-0.615128174,0.497605458,-1
