SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,BronInt
418,MODEL1,PARMS,BronInt,0.957313493,16.08185491,0.233625811,-0.460544958,1.541005446,-0.794483193,2.08786164,-4.55699777,0.914583961,-2.794445755,5.968837415,-1
419,MODEL1,PARMS,BronInt,0.945461525,7.045360929,0.407844215,-0.879462681,3.266595006,-0.231508565,1.041670918,-2.973451482,0.707439392,-1.056473715,2.079388405,-1
420,MODEL1,PARMS,BronInt,1.046380388,14.93458622,0.291175497,-0.504706136,1.992185303,-0.693482152,2.472390998,-5.509301633,0.602201158,-0.456344529,0.300726555,-1
421,MODEL1,PARMS,BronInt,1.024340057,-4.842717879,0.387752708,-0.912140264,3.818475148,0.619789362,-1.573197876,3.038273926,0.46837758,-0.352961267,0.043897434,-1
422,MODEL1,PARMS,BronInt,1.219091359,1.86051069,0.267099713,-0.936740161,3.740899495,0.013772868,0.127546403,-1.239682867,1.493225236,-3.916238217,8.085491441,-1
423,MODEL1,PARMS,BronInt,1.071770177,9.209522131,0.05894964,0.004273821,-0.009836017,-0.173233588,0.461713052,-0.997315932,0.357306814,-0.504527128,0.934949497,-1
424,MODEL1,PARMS,BronInt,1.073745708,-3.286967099,0.303859742,-0.652254909,2.034923577,0.367823926,-1.301972727,2.892503573,1.264902952,-3.071740823,5.956039509,-1
425,MODEL1,PARMS,BronInt,1.185792982,6.805412142,0.145846882,-0.20002164,0.132243458,-0.162630373,-0.523085831,1.570978406,0.929011585,-1.287856148,2.043987832,-1
426,MODEL1,PARMS,BronInt,1.087380585,0.387107194,0.141820964,-0.399713353,2.209691357,0.352898603,-0.018623882,-0.475137633,0.378015074,-0.302272252,0.264002645,-1
427,MODEL1,PARMS,BronInt,1.095299935,2.839675128,0.005410309,-0.013866356,-0.220008418,0.118956446,0.767366267,-2.153775435,0.911259412,-1.963597596,3.561631046,-1
428,MODEL1,PARMS,BronInt,1.062976289,4.222249371,0.267553032,-0.662485871,2.362998565,0.108397426,0.379896942,-1.552555133,0.297452998,-1.481285201,3.858426335,-1
429,MODEL1,PARMS,BronInt,0.992197008,8.506271601,0.030907705,0.068684357,-0.266990534,-0.277067857,1.206493409,-3.129803491,1.102601771,-2.928373223,5.764606278,-1
430,MODEL1,PARMS,BronInt,1.124505198,11.59107258,0.129390555,-0.413626794,1.25525806,-0.486467738,1.970974582,-4.631916296,0.976330706,-2.073779175,3.826529101,-1
431,MODEL1,PARMS,BronInt,1.034497795,6.901837957,0.249486916,-0.540275554,2.045919402,-0.268030468,2.059979076,-5.406782463,1.158419035,-2.233222321,3.474639166,-1
432,MODEL1,PARMS,BronInt,1.100669592,10.16664582,0.434955229,-0.887038466,2.451186909,-0.510087803,0.849519172,-2.086758772,1.026551771,-0.789775942,0.454483803,-1
433,MODEL1,PARMS,BronInt,1.061533027,8.858966422,0.215877,-0.460725886,1.638599146,-0.381626946,1.213104798,-2.265765899,1.177808877,-2.335390662,3.98031802,-1
434,MODEL1,PARMS,BronInt,1.050656642,4.844378287,0.230311192,-0.361591074,0.960253243,-0.079271914,0.073784594,-0.631231152,0.993310541,-1.89187837,3.584500429,-1
435,MODEL1,PARMS,BronInt,1.112687815,3.533374737,0.038020625,-0.243529292,1.528306046,0.059017598,0.653190138,-1.874775025,1.015556043,-2.471034816,4.654498342,-1
436,MODEL1,PARMS,BronInt,1.04740162,7.316448209,0.335264651,-0.798512687,2.407532905,-0.202195889,1.383909119,-3.586051302,0.642309253,-0.864337288,1.208667313,-1
437,MODEL1,PARMS,BronInt,1.046338351,9.707891839,-0.04811084,-0.382689787,2.305836799,-0.192554385,1.437342352,-4.64269577,0.480733912,-0.287915881,0.135449514,-1
