SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RUL
485,MODEL1,PARMS,RUL,0.984704305,-0.90290535,0.253164059,-0.44388504,1.890929612,0.296028808,0.287608481,-1.37570627,0.530324977,-1.055287383,1.851921674,-1
486,MODEL1,PARMS,RUL,1.151075622,-0.066971576,0.281194947,-0.621992031,2.396924385,0.296172693,-1.490980207,3.914770244,0.314263355,-0.832080786,1.945866767,-1
487,MODEL1,PARMS,RUL,1.085177423,5.493392641,0.221384563,-0.283413809,0.897073558,-0.109851921,1.163820949,-2.654971352,0.470175568,-1.152643099,2.563398644,-1
488,MODEL1,PARMS,RUL,1.027494954,-1.957307443,0.361667511,-0.418254315,1.176729784,0.274611304,0.249108725,-0.655415355,0.766494034,-2.225168696,4.233229021,-1
489,MODEL1,PARMS,RUL,1.186082879,-4.793318492,0.385825721,-0.804332415,3.014477736,0.565604204,-1.90233396,4.385525988,0.296229413,-0.094450987,0.309411375,-1
490,MODEL1,PARMS,RUL,0.997570898,0.661493995,0.1382676,-0.300925125,1.384584659,0.222289389,-0.060982807,0.041907071,0.572872652,-1.318671924,2.591824508,-1
491,MODEL1,PARMS,RUL,1.1340953,-1.737980989,0.21693344,-0.277879263,0.344850376,0.269564639,-3.060334081,7.512659824,1.20559061,-3.088761841,5.999739037,-1
492,MODEL1,PARMS,RUL,1.035049719,0.206680746,0.23513615,-0.113528162,0.363258741,0.151031959,0.737795056,-1.886590959,0.829138135,-1.830714168,3.427604532,-1
493,MODEL1,PARMS,RUL,0.995461877,4.184387403,0.296366277,-0.705193605,2.514491263,-0.090111938,1.733179989,-5.058067725,0.718909607,-1.992584274,4.381540077,-1
494,MODEL1,PARMS,RUL,1.153208679,-6.799094711,0.231430782,-0.396631732,1.383112035,0.620666366,-1.555660326,2.976741973,0.9309699,-2.75783263,5.600811999,-1
495,MODEL1,PARMS,RUL,1.168153307,4.634177849,0.169529741,-0.378398358,1.629725484,-0.180297293,0.852919456,-1.915986738,1.21894196,-3.409149199,7.129640047,-1
