SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sLB10
46,MODEL1,PARMS,sLB10,0.947392205,2.117815803,0.35217652,-0.518245555,0.677178481,-1
47,MODEL1,PARMS,sLB10,0.966886475,2.856971503,0.147495703,0.024013948,-0.248905776,-1
48,MODEL1,PARMS,sLB10,0.953981017,1.544242248,0.527147174,-2.100853006,3.784170991,-1
49,MODEL1,PARMS,sLB10,0.988441058,1.498580098,0.494514692,-1.322432203,2.14053605,-1
50,MODEL1,PARMS,sLB10,0.999096584,2.245993698,0.291995666,-0.194608906,0.143283454,-1
51,MODEL1,PARMS,sLB10,0.980953201,1.78976856,0.430415228,-1.09638759,1.735681891,-1
52,MODEL1,PARMS,sLB10,1.058594208,2.445050047,0.303224818,-0.787775242,1.190485068,-1
53,MODEL1,PARMS,sLB10,0.945535742,1.707947889,0.476780101,-1.014732753,1.37124773,-1
54,MODEL1,PARMS,sLB10,0.866440956,1.512793348,0.491448534,-0.707050377,0.824005405,-1
55,MODEL1,PARMS,sLB10,0.918463566,2.161925185,0.292834047,0.078702766,-0.481376268,-1
56,MODEL1,PARMS,sLB10,0.945907538,2.461349566,0.233046932,0.12355144,-0.47244948,-1
57,MODEL1,PARMS,sLB10,0.886044407,1.977048827,0.34448113,-0.436801121,0.638830997,-1
58,MODEL1,PARMS,sLB10,0.954371687,2.535683004,0.215516403,0.441144558,-1.121845973,-1
59,MODEL1,PARMS,sLB10,0.958579019,1.971558683,0.381516252,-0.533890964,0.694084323,-1
60,MODEL1,PARMS,sLB10,0.980404421,2.29722325,0.2978795,-0.439382987,0.498212432,-1
61,MODEL1,PARMS,sLB10,0.958836699,1.980366113,0.390377953,-1.137444855,1.951006983,-1
62,MODEL1,PARMS,sLB10,0.916912129,1.826854406,0.397273113,-0.555491437,0.64418082,-1
63,MODEL1,PARMS,sLB10,0.96666688,2.384097724,0.254079632,-0.082425792,-0.138672484,-1
64,MODEL1,PARMS,sLB10,0.928332564,1.660591752,0.473584693,-1.436651031,2.395579043,-1
65,MODEL1,PARMS,sLB10,0.917851934,2.383673795,0.222570636,0.477735336,-1.173168802,-1
66,MODEL1,PARMS,sLB10,0.822504828,1.626652816,0.461364985,-0.988173888,1.530271874,-1
67,MODEL1,PARMS,sLB10,0.993857731,1.328540903,0.567716303,-1.29454032,1.813794769,-1
68,MODEL1,PARMS,sLB10,0.938944916,1.977943319,0.373243965,-0.81342572,1.284455105,-1
69,MODEL1,PARMS,sLB10,1.001229791,2.575595473,0.247742627,-0.566005753,0.833289608,-1
70,MODEL1,PARMS,sLB10,1.000644194,2.845194963,0.156946438,-0.29836431,0.425673157,-1
71,MODEL1,PARMS,sLB10,0.917396635,1.648486743,0.433547675,-0.607198055,0.714946137,-1
