SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LUL
683,MODEL1,PARMS,LUL,1.12822865,7.688577599,-0.110261186,2.865851809,-5.33165742,-1
684,MODEL1,PARMS,LUL,1.123692134,6.946087699,0.129499625,1.026940331,-1.512364907,-1
685,MODEL1,PARMS,LUL,1.153535234,7.374266142,-0.039817163,2.351913602,-4.084431248,-1
686,MODEL1,PARMS,LUL,1.093871218,6.39438776,0.276610202,0.661268401,-1.087950663,-1
687,MODEL1,PARMS,LUL,1.131159697,5.540927944,0.505630031,0.023116934,-0.140002877,-1
688,MODEL1,PARMS,LUL,1.128100911,6.004142775,0.391373213,0.661733685,-1.360249491,-1
689,MODEL1,PARMS,LUL,1.093666083,6.189263927,0.331278443,0.895944952,-1.722306483,-1
690,MODEL1,PARMS,LUL,1.2215691,6.460346038,0.243098228,1.033290339,-1.992752763,-1
691,MODEL1,PARMS,LUL,1.074902031,6.394909452,0.26433072,0.687604954,-1.210861102,-1
692,MODEL1,PARMS,LUL,1.10488272,6.468897664,0.255225016,1.067343201,-2.195813473,-1
693,MODEL1,PARMS,LUL,1.143605121,5.571882987,0.490718693,-0.079523051,0.018182903,-1
694,MODEL1,PARMS,LUL,1.076027854,6.091580183,0.352534064,1.093115751,-2.325899738,-1
695,MODEL1,PARMS,LUL,1.103573116,5.95619323,0.395418416,0.775412384,-1.876519544,-1
696,MODEL1,PARMS,LUL,1.072354164,6.209440585,0.309811567,0.82319531,-1.644838025,-1
697,MODEL1,PARMS,LUL,1.139752126,6.420808287,0.252908956,1.554644268,-3.088316457,-1
698,MODEL1,PARMS,LUL,1.116096724,6.749897559,0.200678491,1.016840241,-1.873868371,-1
699,MODEL1,PARMS,LUL,1.09065843,6.899465627,0.10186511,2.24082768,-4.341229732,-1
700,MODEL1,PARMS,LUL,1.064293445,6.877392285,0.122504664,1.768544694,-3.315315033,-1
701,MODEL1,PARMS,LUL,1.283689982,5.736250201,0.513767485,-0.656977594,1.202160934,-1
702,MODEL1,PARMS,LUL,1.110081717,4.623530264,0.738827912,-0.796924547,0.838026831,-1
703,MODEL1,PARMS,LUL,1.13578604,5.540943642,0.531635614,0.168257676,-0.624985721,-1
704,MODEL1,PARMS,LUL,1.069035342,6.279583746,0.342843535,0.120851997,-0.199604325,-1
705,MODEL1,PARMS,LUL,1.091762313,6.98109376,0.114971421,1.727233452,-3.264369614,-1
706,MODEL1,PARMS,LUL,1.013345014,6.132569227,0.362575011,0.619089853,-1.313278213,-1
707,MODEL1,PARMS,LUL,1.112834034,7.028513087,0.101650554,1.649023211,-3.088754073,-1
708,MODEL1,PARMS,LUL,1.098763218,5.089796631,0.624992677,0.094235085,-0.56620227,-1
709,MODEL1,PARMS,LUL,1.163778125,6.161436423,0.317024654,0.876673504,-1.636775012,-1
710,MODEL1,PARMS,LUL,1.04849495,6.341328383,0.24491418,1.422886616,-2.679067834,-1
711,MODEL1,PARMS,LUL,1.11589609,6.061068391,0.365395221,0.454047334,-0.720381133,-1
712,MODEL1,PARMS,LUL,1.139030238,7.81484264,-0.193380755,3.369510618,-6.0354725,-1
713,MODEL1,PARMS,LUL,1.077482805,6.720786116,0.195691425,1.162661328,-1.9515232,-1
714,MODEL1,PARMS,LUL,1.095691722,5.45627811,0.504527372,0.12348416,-0.312858085,-1
715,MODEL1,PARMS,LUL,1.038076778,7.122663195,0.056833493,2.107071395,-3.983781586,-1
716,MODEL1,PARMS,LUL,1.091128656,5.812355507,0.417281856,-0.030559467,0.166489611,-1
717,MODEL1,PARMS,LUL,1.068159217,6.586859431,0.189010352,1.514808754,-2.914313744,-1
718,MODEL1,PARMS,LUL,1.106684689,4.716617521,0.740987803,-1.503158687,2.690626231,-1
719,MODEL1,PARMS,LUL,1.073897913,5.99176285,0.349870519,1.218933763,-2.557816539,-1
720,MODEL1,PARMS,LUL,1.067663145,6.830874937,0.124856213,1.820873307,-3.363232801,-1
721,MODEL1,PARMS,LUL,1.121264073,7.145803317,0.078377956,1.152654207,-1.73464797,-1
722,MODEL1,PARMS,LUL,1.219317009,5.504900298,0.465508315,0.448048647,-0.89386213,-1
723,MODEL1,PARMS,LUL,1.189345348,5.848105627,0.390459814,1.172664535,-2.685845669,-1
724,MODEL1,PARMS,LUL,1.163596054,6.274118128,0.2704047,1.659328385,-3.573853076,-1
725,MODEL1,PARMS,LUL,1.113399316,7.952529549,-0.22098516,3.712899087,-6.879658513,-1
726,MODEL1,PARMS,LUL,1.204129812,6.176247288,0.29962245,1.008939926,-2.031460736,-1
727,MODEL1,PARMS,LUL,1.117720274,5.529487404,0.495094337,-0.416121994,0.807139886,-1
728,MODEL1,PARMS,LUL,1.158997209,6.34530745,0.26363755,1.634629429,-3.193570494,-1
729,MODEL1,PARMS,LUL,1.071255566,6.568886276,0.231695355,1.195485435,-2.236011781,-1
730,MODEL1,PARMS,LUL,1.047762427,6.61534631,0.192329097,1.74326465,-3.579034672,-1
731,MODEL1,PARMS,LUL,1.072525564,6.587242574,0.185316177,1.930267253,-3.830247149,-1
732,MODEL1,PARMS,LUL,1.115674458,6.295171651,0.311754576,0.598611046,-1.245707689,-1
733,MODEL1,PARMS,LUL,1.156897123,6.501889386,0.259790089,1.021776795,-2.01838697,-1
734,MODEL1,PARMS,LUL,1.158957361,6.739739287,0.124594186,2.307679495,-4.356661409,-1
735,MODEL1,PARMS,LUL,1.120945899,6.675730214,0.200328126,1.287007382,-2.451825236,-1
736,MODEL1,PARMS,LUL,1.091619543,6.57358573,0.250836903,0.636091186,-0.936686108,-1
737,MODEL1,PARMS,LUL,1.106563547,7.372386162,0.032877499,1.551587152,-2.739228101,-1
738,MODEL1,PARMS,LUL,1.168315772,6.995417092,0.082471456,1.839236548,-3.337283714,-1
739,MODEL1,PARMS,LUL,1.123045013,5.894999481,0.428981458,-0.142649302,0.164070175,-1
740,MODEL1,PARMS,LUL,1.169235692,7.118883501,0.052217561,1.763243796,-2.890188991,-1
741,MODEL1,PARMS,LUL,1.016025693,6.714397374,0.139552888,1.794111235,-3.144283586,-1
