SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LB1
193,MODEL1,PARMS,LB1,0.764790167,2.262080308,0.308398602,-0.024848502,-0.015121139,-1
194,MODEL1,PARMS,LB1,0.708392309,2.53933,0.204938535,0.620042089,-1.318060527,-1
195,MODEL1,PARMS,LB1,0.729206663,2.174654379,0.33059128,-0.137045864,0.027777801,-1
196,MODEL1,PARMS,LB1,0.706744952,2.020957642,0.369262859,-0.024463298,-0.27606652,-1
197,MODEL1,PARMS,LB1,0.760385551,2.356359369,0.30899084,-0.324187018,0.529447396,-1
198,MODEL1,PARMS,LB1,0.770517117,3.434870977,-0.005335566,1.22113996,-2.25840354,-1
199,MODEL1,PARMS,LB1,0.729899522,2.362343536,0.248986726,0.395000166,-0.782084634,-1
200,MODEL1,PARMS,LB1,0.750132936,2.539134528,0.211010381,0.403317683,-0.86585985,-1
201,MODEL1,PARMS,LB1,0.772806149,1.808115474,0.426078,-0.597897947,0.856620327,-1
202,MODEL1,PARMS,LB1,0.707579423,2.59467077,0.221558692,-0.303466388,0.782754891,-1
203,MODEL1,PARMS,LB1,0.709141957,2.344497724,0.270262085,-0.052462066,-0.017497592,-1
204,MODEL1,PARMS,LB1,0.759251378,2.419945979,0.251757349,0.251421663,-0.647747147,-1
205,MODEL1,PARMS,LB1,0.78600419,1.695520926,0.495611569,-1.258215128,2.196740407,-1
206,MODEL1,PARMS,LB1,0.771331573,2.118211338,0.358600068,-0.201222064,0.13132675,-1
207,MODEL1,PARMS,LB1,0.723093332,3.241340931,0.056862739,0.744127464,-1.3515644,-1
208,MODEL1,PARMS,LB1,0.749303355,2.650406893,0.212818486,-0.114285399,0.125659055,-1
209,MODEL1,PARMS,LB1,0.778086179,3.136347771,0.067483323,0.624060878,-0.996407328,-1
210,MODEL1,PARMS,LB1,0.740124943,2.694971224,0.212265626,-0.033821086,-0.032958868,-1
211,MODEL1,PARMS,LB1,0.72899052,2.87345864,0.122273653,0.798300207,-1.57651867,-1
212,MODEL1,PARMS,LB1,0.736858951,2.866141827,0.133810219,0.53383224,-0.956522543,-1
213,MODEL1,PARMS,LB1,0.735705807,3.408898451,-0.000500708,0.889182643,-1.583547391,-1
214,MODEL1,PARMS,LB1,0.81650993,2.736969319,0.184976728,0.547400612,-1.11274204,-1
215,MODEL1,PARMS,LB1,0.738484592,2.415444653,0.307302057,-0.49256124,0.798379231,-1
216,MODEL1,PARMS,LB1,0.702707942,2.018121944,0.424813805,-0.919959419,1.50197259,-1
217,MODEL1,PARMS,LB1,0.721555076,2.437684166,0.23199165,0.39299138,-0.89284346,-1
218,MODEL1,PARMS,LB1,0.729210551,2.024327202,0.369251209,-0.044144528,-0.257855113,-1
219,MODEL1,PARMS,LB1,0.733970855,2.747435234,0.168161708,0.431221001,-0.831970062,-1
220,MODEL1,PARMS,LB1,0.753868849,2.364507038,0.240687679,0.443287648,-0.963188584,-1
221,MODEL1,PARMS,LB1,0.724889366,2.266615189,0.31903239,-0.452601191,0.863249827,-1
222,MODEL1,PARMS,LB1,0.709295949,1.992533439,0.378982276,-0.471255667,0.751393728,-1
223,MODEL1,PARMS,LB1,0.745974493,2.297230829,0.310000009,-0.007446366,-0.244181074,-1
224,MODEL1,PARMS,LB1,0.668954376,2.392052789,0.263324066,0.100911418,-0.301364437,-1
225,MODEL1,PARMS,LB1,0.765188231,2.411426783,0.25650526,0.379364312,-0.838574895,-1
226,MODEL1,PARMS,LB1,0.721553303,2.662357699,0.180688161,0.753482975,-1.551958229,-1
227,MODEL1,PARMS,LB1,0.756670086,2.316642994,0.317450698,-0.16860287,0.033311649,-1
228,MODEL1,PARMS,LB1,0.764770101,1.837562892,0.443078628,-0.759426632,1.110757365,-1
229,MODEL1,PARMS,LB1,0.745077041,2.192418531,0.317168738,0.180603718,-0.535669132,-1
230,MODEL1,PARMS,LB1,0.714240076,3.381637254,-0.013415937,1.177570537,-2.107073403,-1
231,MODEL1,PARMS,LB1,0.76896371,2.965898333,0.098799002,0.643490007,-1.239133053,-1
232,MODEL1,PARMS,LB1,0.747865722,2.62298758,0.232096484,0.112795274,-0.294242378,-1
233,MODEL1,PARMS,LB1,0.715154879,1.910366237,0.422192013,-0.913614962,1.50880425,-1
234,MODEL1,PARMS,LB1,0.749800046,3.114000336,0.065760461,0.708396539,-1.246319646,-1
235,MODEL1,PARMS,LB1,0.709432695,2.874712753,0.152260862,0.599291465,-1.230742966,-1
236,MODEL1,PARMS,LB1,0.722583212,2.416006013,0.263866317,-0.140017662,0.182926092,-1
237,MODEL1,PARMS,LB1,0.744261073,1.883771316,0.399218554,-0.324260828,0.332548451,-1
238,MODEL1,PARMS,LB1,0.728036621,2.47282432,0.27393062,-0.323815979,0.575256009,-1
239,MODEL1,PARMS,LB1,0.699686318,2.544719908,0.250149077,0.04897069,-0.258887133,-1
240,MODEL1,PARMS,LB1,0.734283741,2.193915679,0.330549443,-0.050234387,-0.072119921,-1
241,MODEL1,PARMS,LB1,0.742189313,2.520980073,0.21383067,0.519656546,-1.116646048,-1
242,MODEL1,PARMS,LB1,0.709415346,2.386640239,0.283531185,-0.103886745,0.213419909,-1
243,MODEL1,PARMS,LB1,0.710776378,2.388559705,0.295198437,-0.253344014,0.368458681,-1
244,MODEL1,PARMS,LB1,0.741099959,1.718976241,0.470626916,-0.885001098,1.407483199,-1
245,MODEL1,PARMS,LB1,0.769416748,2.51595646,0.228911092,0.499636965,-1.161382508,-1
246,MODEL1,PARMS,LB1,0.758733112,2.278977383,0.334771758,-0.45875569,0.648604408,-1
247,MODEL1,PARMS,LB1,0.737448956,3.022020919,0.096662851,1.16863464,-2.38939911,-1
248,MODEL1,PARMS,LB1,0.768984608,2.740114578,0.175492905,0.353997662,-0.666282746,-1
249,MODEL1,PARMS,LB1,0.775031458,2.696100145,0.209176115,-0.079271853,0.140458872,-1
250,MODEL1,PARMS,LB1,0.75340793,2.550102125,0.210546861,0.504736998,-1.032801199,-1
251,MODEL1,PARMS,LB1,0.762103968,3.033852893,0.111129241,0.334751044,-0.515785059,-1
252,MODEL1,PARMS,LB1,0.723529465,3.233033199,0.03852671,0.884304123,-1.548204084,-1
253,MODEL1,PARMS,LB1,0.725785589,2.580464593,0.216931436,0.338467831,-0.781268036,-1
254,MODEL1,PARMS,LB1,0.743872461,2.306116171,0.317459666,-0.520141812,0.868347952,-1
255,MODEL1,PARMS,LB1,0.731633693,2.838804667,0.150584449,0.505621662,-0.908243193,-1
256,MODEL1,PARMS,LB1,0.744176303,2.263408892,0.306505245,-0.136449321,0.071666681,-1
257,MODEL1,PARMS,LB1,0.726366905,2.197235892,0.317593923,-0.108705832,0.091067404,-1
258,MODEL1,PARMS,LB1,0.795901456,2.556380995,0.240531203,0.545812818,-1.330136693,-1
259,MODEL1,PARMS,LB1,0.743214557,3.033255338,0.062432398,1.285298394,-2.442895803,-1
260,MODEL1,PARMS,LB1,0.717053297,2.575075046,0.210361124,0.435772425,-0.925657856,-1
261,MODEL1,PARMS,LB1,0.764244661,2.283396064,0.317895281,-0.57173198,1.05705841,-1
262,MODEL1,PARMS,LB1,0.760989018,2.939451132,0.078168229,1.044550332,-1.953196222,-1
263,MODEL1,PARMS,LB1,0.761549467,1.807390294,0.458363838,-0.998121153,1.572050348,-1
264,MODEL1,PARMS,LB1,0.761775132,2.746853252,0.204605512,-0.072194867,0.331021542,-1
265,MODEL1,PARMS,LB1,0.698101199,2.6233883,0.190167696,0.730175484,-1.447886649,-1
266,MODEL1,PARMS,LB1,0.746173687,2.096632558,0.380565162,-0.931415057,1.743403374,-1
267,MODEL1,PARMS,LB1,0.746528988,2.632486222,0.17820018,0.641626212,-1.306214551,-1
268,MODEL1,PARMS,LB1,0.683959059,2.697014853,0.184381316,0.500420712,-0.955943003,-1
269,MODEL1,PARMS,LB1,0.712711572,2.29693201,0.300683812,0.084853645,-0.468592384,-1
270,MODEL1,PARMS,LB1,0.683674641,2.601190267,0.227271521,-0.252790248,0.596203617,-1
271,MODEL1,PARMS,LB1,0.761128324,2.86743533,0.183739172,0.055758906,-0.207366953,-1
272,MODEL1,PARMS,LB1,0.757658386,2.74100435,0.167968186,0.801603793,-1.589313602,-1
273,MODEL1,PARMS,LB1,0.740070813,2.317242709,0.320588358,-0.365341423,0.488403441,-1
274,MODEL1,PARMS,LB1,0.691976524,1.505842644,0.53226698,-1.388979363,2.377947587,-1
275,MODEL1,PARMS,LB1,0.695013782,1.9493159,0.417523702,-0.851840855,1.380702254,-1
276,MODEL1,PARMS,LB1,0.829275719,1.723548579,0.489806805,-0.864663759,1.27818271,-1
277,MODEL1,PARMS,LB1,0.718312379,2.529143188,0.217648228,0.185543334,-0.340522269,-1
278,MODEL1,PARMS,LB1,0.682394123,2.441603234,0.256979651,-0.211862826,0.374361067,-1
279,MODEL1,PARMS,LB1,0.763109294,3.218554797,0.037389338,1.17571129,-2.256795019,-1
280,MODEL1,PARMS,LB1,0.748693919,1.814746248,0.430352908,-0.678357037,1.18657656,-1
281,MODEL1,PARMS,LB1,0.716990526,1.925592675,0.392026877,-0.298442839,0.286401346,-1
282,MODEL1,PARMS,LB1,0.758522785,2.415626537,0.28209183,0.048164102,-0.301484047,-1
283,MODEL1,PARMS,LB1,0.751172274,2.625631956,0.214960013,0.356708447,-0.747718203,-1
284,MODEL1,PARMS,LB1,0.733890908,2.254025776,0.307925112,-0.403948996,0.794308587,-1
285,MODEL1,PARMS,LB1,0.782770644,2.778315165,0.190886097,0.262133059,-0.611506382,-1
286,MODEL1,PARMS,LB1,0.768549368,2.95791137,0.116407235,0.681116659,-1.38691684,-1
287,MODEL1,PARMS,LB1,0.7690765,3.565759494,-0.050443686,1.248773036,-2.202593566,-1
288,MODEL1,PARMS,LB1,0.726104518,2.601307489,0.244858955,0.013386899,-0.155903577,-1
289,MODEL1,PARMS,LB1,0.77034236,2.864102765,0.135204681,0.533753005,-0.919893578,-1
290,MODEL1,PARMS,LB1,0.719483031,2.737450919,0.172984547,0.363728978,-0.738720754,-1
291,MODEL1,PARMS,LB1,0.787203736,3.135387034,0.089501768,0.694019001,-1.323691979,-1
292,MODEL1,PARMS,LB1,0.762603276,2.596273092,0.233020393,0.165628422,-0.423991765,-1
293,MODEL1,PARMS,LB1,0.72865973,2.045784359,0.366645586,-0.290987124,0.285551617,-1
294,MODEL1,PARMS,LB1,0.759182492,2.802765858,0.145530677,0.680458058,-1.320111113,-1
295,MODEL1,PARMS,LB1,0.714912081,2.541429536,0.218990596,0.508571606,-1.160705297,-1
296,MODEL1,PARMS,LB1,0.716063162,2.937589307,0.124534322,0.220965503,-0.201159871,-1
297,MODEL1,PARMS,LB1,0.693983444,3.220233136,0.043832884,1.011980993,-1.854715547,-1
298,MODEL1,PARMS,LB1,0.755101199,2.281289856,0.31237792,-0.500475845,0.84325278,-1
299,MODEL1,PARMS,LB1,0.728489744,1.999149441,0.362961208,-0.103285828,-0.071843913,-1
300,MODEL1,PARMS,LB1,0.754799035,2.225718431,0.328212336,-0.576756008,1.085753113,-1
301,MODEL1,PARMS,LB1,0.716098697,2.215123745,0.330711802,-0.313743556,0.439505728,-1
302,MODEL1,PARMS,LB1,0.698073183,2.524612733,0.221772448,0.404896104,-0.935459814,-1
303,MODEL1,PARMS,LB1,0.694085541,2.922845422,0.128167481,0.376210252,-0.527217697,-1
304,MODEL1,PARMS,LB1,0.778937547,2.01535655,0.380783517,-0.584827432,0.941167529,-1
305,MODEL1,PARMS,LB1,0.753668569,2.860685574,0.12515098,0.97830636,-1.816718738,-1
306,MODEL1,PARMS,LB1,0.756218486,2.735984089,0.156539036,0.759449778,-1.478569619,-1
307,MODEL1,PARMS,LB1,0.765081047,2.233571393,0.321604897,-0.518354724,0.99058814,-1
308,MODEL1,PARMS,LB1,0.711673106,1.427758574,0.530289802,-0.841875616,1.235589794,-1
309,MODEL1,PARMS,LB1,0.731800897,1.576178459,0.505764033,-0.91671038,1.474718436,-1
310,MODEL1,PARMS,LB1,0.724926703,2.199313285,0.311681714,-0.108182172,0.086868683,-1
