SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RLL
352,MODEL1,PARMS,RLL,0.97216257,4.610026334,0.4233909,-0.739542281,1.238142185,-1
353,MODEL1,PARMS,RLL,0.932513644,3.555712334,0.71835551,-2.02412978,3.429688593,-1
354,MODEL1,PARMS,RLL,0.964445776,3.325907784,0.732841281,-1.503093563,2.371022922,-1
355,MODEL1,PARMS,RLL,0.989748748,3.352771555,0.765640228,-2.036311154,3.220769213,-1
356,MODEL1,PARMS,RLL,0.95704444,4.316942876,0.473510431,-1.049947649,1.693721441,-1
357,MODEL1,PARMS,RLL,0.959374966,4.71207741,0.375037482,-0.769947238,1.500819451,-1
358,MODEL1,PARMS,RLL,1.015437422,3.456322061,0.743881132,-1.962007582,3.175573863,-1
359,MODEL1,PARMS,RLL,0.939883956,4.741205031,0.361253146,-0.360179938,0.557662631,-1
360,MODEL1,PARMS,RLL,0.921143149,4.108085934,0.538702912,-1.104018276,1.672167759,-1
361,MODEL1,PARMS,RLL,0.957076831,3.594804179,0.651475607,-1.466205923,2.43333127,-1
362,MODEL1,PARMS,RLL,0.999872379,4.250373391,0.48127289,-0.271762132,0.020493454,-1
363,MODEL1,PARMS,RLL,0.985254001,4.408743823,0.482919809,-1.198394756,1.948739447,-1
364,MODEL1,PARMS,RLL,0.890729289,5.240171846,0.184326209,0.986094054,-2.010324613,-1
365,MODEL1,PARMS,RLL,0.924285027,5.200995767,0.218591756,0.181669972,-0.48902008,-1
366,MODEL1,PARMS,RLL,0.916960801,4.509897519,0.429507313,-1.022735112,1.651892159,-1
367,MODEL1,PARMS,RLL,1.003498192,4.318870366,0.475532233,-0.549726483,0.609064315,-1
368,MODEL1,PARMS,RLL,1.029648185,5.372054297,0.168442518,0.931695371,-1.93835816,-1
369,MODEL1,PARMS,RLL,0.98791857,4.082481572,0.535700899,-1.185693484,2.003748826,-1
370,MODEL1,PARMS,RLL,0.946970229,4.596988485,0.374954941,-0.13313202,-0.008652084,-1
371,MODEL1,PARMS,RLL,0.901741452,4.67588512,0.320169264,0.309790977,-0.705459178,-1
372,MODEL1,PARMS,RLL,0.952224169,3.466884518,0.762412529,-2.561327499,4.361125574,-1
373,MODEL1,PARMS,RLL,0.922075644,3.987912381,0.556546588,-0.745782359,0.947755384,-1
374,MODEL1,PARMS,RLL,0.949609817,4.331641688,0.478385608,-0.866914737,1.309507859,-1
375,MODEL1,PARMS,RLL,0.954722967,4.27216798,0.521636145,-1.792451569,3.370259656,-1
376,MODEL1,PARMS,RLL,0.976610951,4.73225744,0.322186077,0.110092251,-0.472255976,-1
377,MODEL1,PARMS,RLL,0.946780133,4.253301595,0.49263594,-0.817804641,1.224696173,-1
378,MODEL1,PARMS,RLL,0.920596059,5.934376861,-0.00332652,1.505773731,-2.856705586,-1
379,MODEL1,PARMS,RLL,0.919084287,3.965055223,0.567807909,-1.305535622,2.164998783,-1
380,MODEL1,PARMS,RLL,0.983141469,4.512327745,0.413906696,-0.703712128,1.027687501,-1
381,MODEL1,PARMS,RLL,0.952051816,4.490506061,0.421791345,-0.285551265,0.15167894,-1
382,MODEL1,PARMS,RLL,0.967183868,4.12269481,0.482465954,-0.115216067,-0.344102782,-1
383,MODEL1,PARMS,RLL,0.985005161,3.829706697,0.621426464,-1.235795861,1.893469326,-1
384,MODEL1,PARMS,RLL,0.958949016,4.675726089,0.369884533,-0.440921458,0.630725373,-1
385,MODEL1,PARMS,RLL,1.021111979,4.314086063,0.431582622,-0.056981451,-0.289887203,-1
386,MODEL1,PARMS,RLL,0.94918577,4.699371571,0.328256397,-0.020736838,-0.037714433,-1
387,MODEL1,PARMS,RLL,0.924960146,4.004573737,0.583994624,-1.631411952,2.764537349,-1
388,MODEL1,PARMS,RLL,0.956293245,3.77638018,0.606846305,-1.711391805,2.995949709,-1
389,MODEL1,PARMS,RLL,0.900131966,4.664517928,0.400531613,-0.561562262,0.728847583,-1
390,MODEL1,PARMS,RLL,0.950003567,5.184817429,0.238812898,-0.060829239,0.10455066,-1
391,MODEL1,PARMS,RLL,0.911364742,5.119144185,0.243199937,0.304752247,-0.818303029,-1
392,MODEL1,PARMS,RLL,0.95238646,3.118059241,0.772654026,-1.336923103,1.799251591,-1
393,MODEL1,PARMS,RLL,0.969146596,5.545663033,0.11346588,0.929983691,-1.794096091,-1
394,MODEL1,PARMS,RLL,0.934425503,5.903677309,0.017980997,1.192546047,-2.313126578,-1
395,MODEL1,PARMS,RLL,0.93054124,3.787147467,0.623811082,-1.756932789,3.07735627,-1
396,MODEL1,PARMS,RLL,0.99525853,4.755491301,0.348759772,-0.362695827,0.477143754,-1
397,MODEL1,PARMS,RLL,1.016092698,5.113612313,0.222607596,0.619598199,-1.305924097,-1
398,MODEL1,PARMS,RLL,0.951682226,4.329159592,0.437645224,-0.422861072,0.461591078,-1
399,MODEL1,PARMS,RLL,0.991772292,4.152505156,0.519464935,-1.207819401,1.962384295,-1
400,MODEL1,PARMS,RLL,0.888577755,3.346000734,0.744075816,-1.881351918,3.004889826,-1
401,MODEL1,PARMS,RLL,0.913124008,4.744030385,0.336887649,0.095220185,-0.627786249,-1
402,MODEL1,PARMS,RLL,1.04755702,4.792821051,0.363218251,-0.435069302,0.519695112,-1
403,MODEL1,PARMS,RLL,0.923078145,3.601999348,0.644487783,-0.847261479,0.954420137,-1
404,MODEL1,PARMS,RLL,0.928569935,4.938457882,0.288421859,-0.288021775,0.487465315,-1
405,MODEL1,PARMS,RLL,0.945368351,4.531486655,0.379254286,-0.058988327,-0.138043902,-1
406,MODEL1,PARMS,RLL,0.968626663,4.70116595,0.374485005,-0.469172078,0.764644212,-1
407,MODEL1,PARMS,RLL,0.89653428,4.211654029,0.482605161,-0.324594743,0.152311146,-1
