SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LMB
341,MODEL1,PARMS,LMB,1.313484524,6.214810493,1.055057563,-1.712072202,2.638904114,-1
342,MODEL1,PARMS,LMB,1.408471076,7.049662029,0.792075476,0.108553487,-0.775724075,-1
343,MODEL1,PARMS,LMB,1.31664089,8.316714179,0.456311811,0.517288252,-1.137694107,-1
344,MODEL1,PARMS,LMB,1.442242,6.586857574,0.970277938,-1.194032022,1.809954572,-1
345,MODEL1,PARMS,LMB,1.451949783,7.967641108,0.579124299,-0.106355347,0.196184424,-1
346,MODEL1,PARMS,LMB,1.361516534,9.289574558,0.157899413,2.526531557,-4.629391925,-1
347,MODEL1,PARMS,LMB,1.321062794,7.073835345,0.787285251,-0.755120691,1.151630327,-1
348,MODEL1,PARMS,LMB,1.397757849,8.492747446,0.337296152,1.622580218,-3.012979101,-1
349,MODEL1,PARMS,LMB,1.295819004,5.789704108,1.129644049,-1.455019276,2.135355655,-1
350,MODEL1,PARMS,LMB,1.280107725,7.530794728,0.641560837,-0.019470849,-0.10946457,-1
351,MODEL1,PARMS,LMB,1.419024347,6.252957362,1.026386389,-1.801078864,2.751355023,-1
352,MODEL1,PARMS,LMB,1.331762389,6.387744027,1.015663354,-1.151274388,1.649124984,-1
353,MODEL1,PARMS,LMB,1.300116709,6.407347621,0.981902775,-1.518073174,2.436608171,-1
354,MODEL1,PARMS,LMB,1.42363928,6.361528367,1.032323511,-1.951691968,3.306890805,-1
355,MODEL1,PARMS,LMB,1.437313176,5.80001577,1.141777816,-1.890026856,2.967678481,-1
356,MODEL1,PARMS,LMB,1.320051117,6.820896753,0.83379214,-0.789697265,1.205223654,-1
357,MODEL1,PARMS,LMB,1.423380522,6.693301574,0.889040461,-1.301972302,2.438894607,-1
358,MODEL1,PARMS,LMB,1.349370331,5.761862326,1.155961145,-1.96308554,3.032764792,-1
359,MODEL1,PARMS,LMB,1.367483497,7.671609999,0.581877381,0.468428605,-0.848329897,-1
360,MODEL1,PARMS,LMB,1.391490247,7.586804512,0.65262117,0.163674906,-0.52059174,-1
361,MODEL1,PARMS,LMB,1.34262164,4.813545094,1.373351503,-2.874905008,4.864719887,-1
362,MODEL1,PARMS,LMB,1.385201541,6.911121627,0.830036973,-0.636250885,0.80212397,-1
363,MODEL1,PARMS,LMB,1.371859887,5.775347744,1.076008255,-1.26889112,1.810404898,-1
364,MODEL1,PARMS,LMB,1.445320334,7.919859801,0.537304549,1.181062525,-2.552928718,-1
365,MODEL1,PARMS,LMB,1.382819766,7.327893067,0.66705699,0.27179494,-0.898250325,-1
366,MODEL1,PARMS,LMB,1.375868354,6.892702003,0.837909741,-0.655574447,0.748714957,-1
367,MODEL1,PARMS,LMB,1.265423804,6.552486326,0.85875568,-0.080634078,-0.400499578,-1
368,MODEL1,PARMS,LMB,1.377561788,7.279513507,0.755751189,-0.885278725,1.527408355,-1
369,MODEL1,PARMS,LMB,1.459618681,7.620588267,0.635000215,-0.35585532,0.625445995,-1
370,MODEL1,PARMS,LMB,1.393510217,8.670444169,0.341256404,1.054338454,-1.896224831,-1
371,MODEL1,PARMS,LMB,1.323423235,8.062144809,0.469709752,1.304723094,-2.551257339,-1
372,MODEL1,PARMS,LMB,1.395666518,6.774778074,0.905740402,-1.228273189,1.882648177,-1
373,MODEL1,PARMS,LMB,1.36949921,6.657210655,0.913987933,-1.432328671,2.435600598,-1
374,MODEL1,PARMS,LMB,1.430041379,7.705118173,0.612937273,-0.170811938,0.240797119,-1
375,MODEL1,PARMS,LMB,1.389891345,8.490828726,0.391096604,0.761450219,-1.281583533,-1
376,MODEL1,PARMS,LMB,1.258977575,6.971298414,0.805446526,-0.451042966,0.532978762,-1
377,MODEL1,PARMS,LMB,1.331414786,7.552582527,0.653439603,-0.10877939,-0.031902684,-1
378,MODEL1,PARMS,LMB,1.372071957,7.160879343,0.74737342,-0.138476447,-0.150620738,-1
379,MODEL1,PARMS,LMB,1.331748615,7.965458682,0.509685302,0.749471142,-1.43235382,-1
380,MODEL1,PARMS,LMB,1.365727822,7.205180804,0.75034365,-0.746991107,1.247934114,-1
381,MODEL1,PARMS,LMB,1.381023529,7.164456308,0.741445977,-0.270595359,0.183341409,-1
382,MODEL1,PARMS,LMB,1.35479199,7.49636187,0.656160514,-0.207214663,0.132624916,-1
383,MODEL1,PARMS,LMB,1.438672906,7.577228413,0.655198117,-0.465065072,1.091594115,-1
384,MODEL1,PARMS,LMB,1.314159517,7.413686627,0.673921613,0.102775565,-0.518558121,-1
385,MODEL1,PARMS,LMB,1.414267825,6.820794596,0.86120956,-0.749277578,1.169536122,-1
386,MODEL1,PARMS,LMB,1.371699683,6.631904385,0.884690327,-0.619434309,0.928822566,-1
387,MODEL1,PARMS,LMB,1.353542988,5.282303212,1.322933705,-3.250077925,5.316866008,-1
388,MODEL1,PARMS,LMB,1.410597302,6.933006988,0.829412625,-0.959761964,1.473906807,-1
389,MODEL1,PARMS,LMB,1.389549271,8.937333359,0.253943334,2.026711727,-3.8672256,-1
390,MODEL1,PARMS,LMB,1.3547885,10.1338949,-0.075931663,2.924465523,-4.993010816,-1
391,MODEL1,PARMS,LMB,1.335178943,9.011880426,0.251606902,1.444194302,-2.590590679,-1
392,MODEL1,PARMS,LMB,1.353625685,6.302566269,1.045123217,-1.71791897,2.687509221,-1
393,MODEL1,PARMS,LMB,1.363215879,6.614463444,0.906040647,-1.075275494,1.856640331,-1
394,MODEL1,PARMS,LMB,1.296082824,6.925387581,0.778103004,0.286899183,-1.091282679,-1
395,MODEL1,PARMS,LMB,1.39842468,7.030183946,0.794918224,-0.45328753,0.571859318,-1
396,MODEL1,PARMS,LMB,1.402667391,7.94473769,0.511430349,0.907621308,-1.884712028,-1
397,MODEL1,PARMS,LMB,1.364174038,6.170669603,1.087509004,-2.305101761,3.979867711,-1
398,MODEL1,PARMS,LMB,1.406903192,7.746001164,0.59551632,0.136538016,-0.332231363,-1
399,MODEL1,PARMS,LMB,1.33211322,7.033065145,0.831545663,-1.505514663,2.726484382,-1
400,MODEL1,PARMS,LMB,1.424298254,5.268504879,1.268438661,-2.524061265,4.053527896,-1
401,MODEL1,PARMS,LMB,1.341872248,6.782407528,0.868657593,-0.188808386,-0.490527897,-1
402,MODEL1,PARMS,LMB,1.400678249,6.759688667,0.939713092,-1.311626576,1.894855508,-1
403,MODEL1,PARMS,LMB,1.355320695,5.276701931,1.313731058,-2.672231718,4.319615389,-1
404,MODEL1,PARMS,LMB,1.352692238,7.981190781,0.546049765,0.112483657,-0.298464929,-1
405,MODEL1,PARMS,LMB,1.36930729,7.56418281,0.591200239,0.523796804,-1.22581063,-1
406,MODEL1,PARMS,LMB,1.404168687,6.25722486,1.053945762,-2.307111093,4.095030278,-1
407,MODEL1,PARMS,LMB,1.385374338,8.813419981,0.270344201,1.560255079,-2.818611219,-1
408,MODEL1,PARMS,LMB,1.301515801,6.530015282,0.9393552,-1.469244646,2.589467527,-1
409,MODEL1,PARMS,LMB,1.405715797,6.569726215,0.941190293,-1.56642814,2.585934168,-1
410,MODEL1,PARMS,LMB,1.404549986,7.259865696,0.689248251,0.339336298,-0.823539597,-1
411,MODEL1,PARMS,LMB,1.340895281,7.909098877,0.534918248,0.640624975,-1.382299398,-1
412,MODEL1,PARMS,LMB,1.423752515,9.068597327,0.292706525,1.090708344,-2.019820765,-1
