SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB10
875,MODEL1,PARMS,RB10,0.768849873,1.835747459,0.674051466,-1.569405528,2.527722699,-1
876,MODEL1,PARMS,RB10,0.760320297,2.681074019,0.418052115,-0.390450008,0.51789059,-1
877,MODEL1,PARMS,RB10,0.765236346,2.464934798,0.470129811,-0.444982716,0.459580106,-1
878,MODEL1,PARMS,RB10,0.805963404,2.384962581,0.52919357,-1.114119544,1.801466616,-1
879,MODEL1,PARMS,RB10,0.777708561,2.933604115,0.321503387,0.196877535,-0.50043565,-1
880,MODEL1,PARMS,RB10,0.77326444,2.565904238,0.425186066,-0.111139583,-0.112276459,-1
881,MODEL1,PARMS,RB10,0.769459844,2.454058038,0.494514128,-0.981648762,1.705803689,-1
882,MODEL1,PARMS,RB10,0.776376934,2.70965823,0.391169961,0.087329513,-0.549849227,-1
883,MODEL1,PARMS,RB10,0.811013351,2.3806115,0.521240918,-1.123514945,1.8070574,-1
884,MODEL1,PARMS,RB10,0.769791918,2.47763848,0.425290171,0.287401951,-1.024919966,-1
885,MODEL1,PARMS,RB10,0.801808512,2.87962897,0.366643976,-0.001079092,-0.213444988,-1
886,MODEL1,PARMS,RB10,0.821173439,2.483189568,0.489537386,-1.068591293,1.865819331,-1
887,MODEL1,PARMS,RB10,0.815220609,2.974737272,0.341583534,-0.314754039,0.535014427,-1
888,MODEL1,PARMS,RB10,0.816186033,2.273753948,0.557067318,-1.866363849,3.453119582,-1
889,MODEL1,PARMS,RB10,0.792530674,3.196798825,0.26299869,0.320266454,-0.694675264,-1
890,MODEL1,PARMS,RB10,0.818948181,2.497046114,0.515261326,-1.265039285,2.278169517,-1
891,MODEL1,PARMS,RB10,0.743348703,2.373072309,0.482326846,-0.566090925,0.782485113,-1
892,MODEL1,PARMS,RB10,0.804401344,2.924901086,0.327386073,0.092360727,-0.238753375,-1
893,MODEL1,PARMS,RB10,0.82141609,3.243195958,0.265327798,0.067570608,-0.163540624,-1
894,MODEL1,PARMS,RB10,0.806828499,2.181791005,0.564712176,-1.191513727,1.938663168,-1
895,MODEL1,PARMS,RB10,0.850951011,2.72899261,0.39341977,-0.167076082,0.072826333,-1
896,MODEL1,PARMS,RB10,0.813280837,1.911686126,0.652759317,-1.385409721,2.191029761,-1
897,MODEL1,PARMS,RB10,0.843877663,2.256035294,0.551732123,-1.14932218,1.848285834,-1
898,MODEL1,PARMS,RB10,0.770565803,2.925509048,0.347439206,-0.050745241,-0.137931833,-1
899,MODEL1,PARMS,RB10,0.788838405,2.4231483,0.472978362,-0.236984109,-0.017637124,-1
900,MODEL1,PARMS,RB10,0.776478059,2.770425183,0.368399025,0.051930614,-0.291669028,-1
901,MODEL1,PARMS,RB10,0.876097878,2.519055624,0.465021092,-0.773988274,1.307319277,-1
902,MODEL1,PARMS,RB10,0.813310491,2.173182472,0.563828741,-1.011931832,1.521672051,-1
903,MODEL1,PARMS,RB10,0.827090607,2.757987347,0.396533685,-0.414176179,0.491808429,-1
904,MODEL1,PARMS,RB10,0.807499579,1.777634457,0.68077237,-1.820454857,3.105123434,-1
905,MODEL1,PARMS,RB10,0.826267236,2.605133346,0.435977902,-0.437940737,0.477476534,-1
906,MODEL1,PARMS,RB10,0.816613152,2.315785299,0.543624924,-1.167426925,1.86254503,-1
907,MODEL1,PARMS,RB10,0.795040005,2.425361698,0.484184615,-0.566363879,0.724672075,-1
908,MODEL1,PARMS,RB10,0.853983558,2.226693412,0.579339587,-1.602441148,2.897887055,-1
909,MODEL1,PARMS,RB10,0.806099461,1.886349288,0.67076459,-1.556208606,2.442747985,-1
910,MODEL1,PARMS,RB10,0.783459669,3.104220023,0.317282246,-0.327805196,0.671547924,-1
911,MODEL1,PARMS,RB10,0.812669616,3.116069285,0.315164746,-0.155932991,0.118729635,-1
912,MODEL1,PARMS,RB10,0.804265829,3.185181506,0.284584833,-0.020177988,-0.097254289,-1
913,MODEL1,PARMS,RB10,0.816931201,2.019948625,0.56303999,-0.499505088,0.581373769,-1
914,MODEL1,PARMS,RB10,0.780497382,1.931288262,0.635575612,-1.387020718,2.222429095,-1
915,MODEL1,PARMS,RB10,0.775040236,2.021180868,0.588454694,-1.234102426,1.971515343,-1
916,MODEL1,PARMS,RB10,0.77311055,3.632589509,0.148954414,0.763894841,-1.521933867,-1
917,MODEL1,PARMS,RB10,0.835754857,3.11888114,0.311150248,0.154509386,-0.557572324,-1
918,MODEL1,PARMS,RB10,0.798082801,2.339702406,0.562437489,-1.728691992,3.197343706,-1
919,MODEL1,PARMS,RB10,0.79970307,3.464361616,0.198830996,0.541984883,-1.204953432,-1
920,MODEL1,PARMS,RB10,0.817462193,2.077398487,0.580415662,-1.044716189,1.541024666,-1
921,MODEL1,PARMS,RB10,0.768749215,2.480368505,0.468456842,-0.786347356,1.385315332,-1
922,MODEL1,PARMS,RB10,0.825730446,3.213335423,0.263575457,0.150734002,-0.349793566,-1
923,MODEL1,PARMS,RB10,0.793237898,2.719808795,0.440219032,-0.743545721,1.106917561,-1
924,MODEL1,PARMS,RB10,0.891840465,2.708911158,0.444127083,-1.06740155,1.840910532,-1
925,MODEL1,PARMS,RB10,0.813362366,3.038748481,0.342804344,-0.703298947,1.265258435,-1
926,MODEL1,PARMS,RB10,0.798630799,2.749335658,0.412875823,-0.437791606,0.594080927,-1
927,MODEL1,PARMS,RB10,0.826622107,2.453663813,0.468086152,-0.473769706,0.672821599,-1
928,MODEL1,PARMS,RB10,0.798240404,2.213797129,0.521118999,-0.804793524,1.29636495,-1
929,MODEL1,PARMS,RB10,0.832179033,2.32317708,0.51530739,-0.750556179,1.057415644,-1
930,MODEL1,PARMS,RB10,0.789957209,1.539823,0.738522401,-1.85174763,3.025093102,-1
931,MODEL1,PARMS,RB10,0.821818753,2.715274047,0.421345433,-0.623789608,0.9095079,-1
932,MODEL1,PARMS,RB10,0.81024878,2.406881141,0.517570848,-1.083748905,1.800967624,-1
933,MODEL1,PARMS,RB10,0.763246929,2.063617917,0.589654611,-0.978866796,1.44462141,-1
