SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RUL
43,MODEL1,PARMS,RUL,1.220782752,5.283555287,0.392689623,1.100084549,-2.260866646,-1
44,MODEL1,PARMS,RUL,1.253605417,5.095683386,0.439075926,0.405314753,-0.927112908,-1
45,MODEL1,PARMS,RUL,1.329611961,5.275802528,0.422723175,-0.002051502,0.00402747,-1
46,MODEL1,PARMS,RUL,1.278937369,5.275502134,0.443346763,0.015031128,-0.02944335,-1
47,MODEL1,PARMS,RUL,1.235236976,5.278653163,0.45283635,0.361827102,-1.175969226,-1
48,MODEL1,PARMS,RUL,1.28122368,4.9630659,0.513846858,-0.040094988,-0.138559478,-1
49,MODEL1,PARMS,RUL,1.246412353,2.598773879,1.228564855,-2.853646957,4.308116545,-1
50,MODEL1,PARMS,RUL,1.253300531,5.501325083,0.428334621,-0.550432134,0.985657233,-1
51,MODEL1,PARMS,RUL,1.310423231,5.344702987,0.474446853,-0.46253208,0.74036169,-1
52,MODEL1,PARMS,RUL,1.420531206,5.616862205,0.372991135,1.12101723,-2.552868287,-1
53,MODEL1,PARMS,RUL,1.23595848,6.434919086,0.10938038,1.520506699,-2.789849514,-1
54,MODEL1,PARMS,RUL,1.223469608,4.007498755,0.770268121,-0.980163022,1.424751691,-1
55,MODEL1,PARMS,RUL,1.314463498,5.954781163,0.24985517,1.331294591,-2.808741404,-1
56,MODEL1,PARMS,RUL,1.413977369,4.366496762,0.723402586,-1.217387687,2.092063463,-1
57,MODEL1,PARMS,RUL,1.207807261,5.411080072,0.439849546,-0.603566568,1.163877987,-1
58,MODEL1,PARMS,RUL,1.226896741,5.571706717,0.344735141,0.99685901,-2.207659272,-1
59,MODEL1,PARMS,RUL,1.340166583,4.946748198,0.511931862,0.094971805,-0.322412005,-1
60,MODEL1,PARMS,RUL,1.169890956,4.717859136,0.605970811,-0.573232567,0.865579422,-1
61,MODEL1,PARMS,RUL,1.311070332,4.981158831,0.573533447,-1.241280571,2.291495593,-1
62,MODEL1,PARMS,RUL,1.230645427,6.27942146,0.155978729,1.176181711,-2.113332576,-1
63,MODEL1,PARMS,RUL,1.274558152,4.688513043,0.596415181,-0.704731743,1.256681073,-1
64,MODEL1,PARMS,RUL,1.292075406,4.092149136,0.812697171,-1.577061906,2.516924619,-1
65,MODEL1,PARMS,RUL,1.256024539,4.471577964,0.676742852,-1.05336846,1.621759938,-1
66,MODEL1,PARMS,RUL,1.2730832,3.986047661,0.765459896,-0.919768091,1.261401422,-1
67,MODEL1,PARMS,RUL,1.302481946,3.915433924,0.86504331,-1.764832852,2.878106705,-1
68,MODEL1,PARMS,RUL,1.240166262,5.542904505,0.37996204,-0.070780642,0.140682317,-1
69,MODEL1,PARMS,RUL,1.251309414,4.908975694,0.531925811,0.347037839,-1.181490631,-1
70,MODEL1,PARMS,RUL,1.363369585,5.170995476,0.481398276,-0.312724324,0.251739118,-1
71,MODEL1,PARMS,RUL,1.27911075,4.606092455,0.620735527,-0.067012452,-0.29696698,-1
72,MODEL1,PARMS,RUL,1.28285491,6.124971582,0.159833974,1.487072541,-2.785648421,-1
73,MODEL1,PARMS,RUL,1.326072991,4.269007571,0.736666184,-0.69840854,0.764279031,-1
74,MODEL1,PARMS,RUL,1.213732116,4.897015446,0.533344463,0.173008538,-0.699968085,-1
75,MODEL1,PARMS,RUL,1.271279811,4.418342974,0.714680559,-1.056534684,1.544741446,-1
76,MODEL1,PARMS,RUL,1.262178826,5.822074115,0.329843746,-0.152299484,0.445438772,-1
77,MODEL1,PARMS,RUL,1.268677504,4.902365359,0.583367328,-0.863495632,1.288142004,-1
78,MODEL1,PARMS,RUL,1.271736388,6.137395543,0.234851916,0.688762414,-1.153606481,-1
79,MODEL1,PARMS,RUL,1.238989421,5.128109479,0.505560928,-0.062537794,-0.246318289,-1
80,MODEL1,PARMS,RUL,1.200593778,3.128644164,1.033290829,-1.971664459,3.001785984,-1
81,MODEL1,PARMS,RUL,1.245967805,6.019889337,0.227150522,1.526739774,-3.152501103,-1
82,MODEL1,PARMS,RUL,1.262742122,4.724107228,0.61262716,-0.117529536,-0.374973362,-1
83,MODEL1,PARMS,RUL,1.21521543,6.085006226,0.236045871,0.688057449,-1.30731168,-1
84,MODEL1,PARMS,RUL,1.223633539,4.156171326,0.809231523,-2.353318499,4.404619457,-1
85,MODEL1,PARMS,RUL,1.307985175,4.238230831,0.742859335,-0.844575805,1.141838889,-1
86,MODEL1,PARMS,RUL,1.398665447,3.975353188,0.848911826,-2.451314619,4.494762814,-1
87,MODEL1,PARMS,RUL,1.335970133,4.993427421,0.459628712,0.621474949,-1.380052588,-1
88,MODEL1,PARMS,RUL,1.237298783,5.115999302,0.485408975,-0.18023708,0.21833426,-1
89,MODEL1,PARMS,RUL,1.272837391,4.746246114,0.573494775,-0.552473382,0.83174559,-1
90,MODEL1,PARMS,RUL,1.175591261,4.921803646,0.546765466,0.064567794,-0.455464848,-1
91,MODEL1,PARMS,RUL,1.213890065,4.011818945,0.781870107,-1.272674639,2.123836343,-1
92,MODEL1,PARMS,RUL,1.266164059,4.800389209,0.561251427,-0.321367927,0.389627283,-1
93,MODEL1,PARMS,RUL,1.242175965,5.573726406,0.401207622,-0.059327021,-0.063247993,-1
94,MODEL1,PARMS,RUL,1.211315047,5.363386356,0.396031969,0.586195762,-1.274424445,-1
95,MODEL1,PARMS,RUL,1.293339835,5.307419865,0.415079246,0.653569893,-1.46202205,-1
96,MODEL1,PARMS,RUL,1.258094533,5.291719676,0.478434986,-0.342030108,0.535544175,-1
97,MODEL1,PARMS,RUL,1.284514935,3.732620491,0.855711896,-1.456321919,2.157743939,-1
98,MODEL1,PARMS,RUL,1.219647079,4.290883699,0.701220862,-0.511302763,0.199094695,-1
99,MODEL1,PARMS,RUL,1.314956927,4.315356629,0.710775631,-1.150510362,1.798333522,-1
100,MODEL1,PARMS,RUL,1.22492181,4.82707578,0.535311471,0.121883921,-0.486449765,-1
