SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RMB
560,MODEL1,PARMS,RMB,1.715203969,8.769884086,0.769698036,0.783625623,-1.646084988,-1
561,MODEL1,PARMS,RMB,1.588733123,8.382400845,0.974739028,-1.373565015,2.38048747,-1
562,MODEL1,PARMS,RMB,1.673394426,7.735298804,1.083401725,-1.068968062,1.80532072,-1
563,MODEL1,PARMS,RMB,1.58170413,8.66854771,0.83981233,0.609144409,-1.802246786,-1
564,MODEL1,PARMS,RMB,1.50946247,7.266388505,1.196357702,-1.354301552,2.201941804,-1
565,MODEL1,PARMS,RMB,1.614522783,9.715715645,0.618166041,0.235485458,-0.442904078,-1
566,MODEL1,PARMS,RMB,1.560600425,7.83377264,1.077390812,-1.491348951,2.827573587,-1
567,MODEL1,PARMS,RMB,1.601019551,7.460941134,1.136901818,-1.346810879,2.190250272,-1
568,MODEL1,PARMS,RMB,1.63910294,9.724289015,0.602810121,0.181819293,-0.426805655,-1
569,MODEL1,PARMS,RMB,1.549085074,9.934498075,0.483441415,1.403443842,-2.490599608,-1
570,MODEL1,PARMS,RMB,1.51146612,8.706392842,0.782569131,0.53254451,-1.305794274,-1
571,MODEL1,PARMS,RMB,1.556409545,9.458351616,0.590385058,1.912979069,-3.979182546,-1
572,MODEL1,PARMS,RMB,1.659343136,9.017892015,0.750630756,0.40590051,-0.934914669,-1
573,MODEL1,PARMS,RMB,1.658134507,10.05493015,0.405178132,2.510303124,-4.592498151,-1
574,MODEL1,PARMS,RMB,1.702953493,9.405767409,0.615449366,1.519546908,-2.886563025,-1
575,MODEL1,PARMS,RMB,1.754061383,8.650617909,0.82947634,0.881591887,-2.303380542,-1
576,MODEL1,PARMS,RMB,1.638678257,9.52845649,0.553248001,1.458765682,-2.842812073,-1
577,MODEL1,PARMS,RMB,1.637241512,9.239996704,0.680660818,0.049784983,-0.022612695,-1
578,MODEL1,PARMS,RMB,1.681425388,9.304530303,0.559604135,2.451183382,-4.774278238,-1
579,MODEL1,PARMS,RMB,1.643963485,8.571058063,0.879946853,0.191460889,-0.844156905,-1
580,MODEL1,PARMS,RMB,1.650991628,9.656935062,0.594840162,0.798805291,-1.716128207,-1
581,MODEL1,PARMS,RMB,1.56255063,7.371869932,1.155571423,-1.022537192,1.482540075,-1
582,MODEL1,PARMS,RMB,1.599678532,8.131068063,0.933637421,0.333048689,-1.025409152,-1
583,MODEL1,PARMS,RMB,1.566877492,8.806419873,0.807760002,-0.144419473,-0.054650231,-1
584,MODEL1,PARMS,RMB,1.519680831,10.00742728,0.45196521,1.757396159,-3.531897134,-1
585,MODEL1,PARMS,RMB,1.768758009,6.830334777,1.336248655,-1.859067273,2.844443959,-1
586,MODEL1,PARMS,RMB,1.53160544,9.489703428,0.594812767,0.836194224,-1.700158804,-1
587,MODEL1,PARMS,RMB,1.661937417,9.062060029,0.691002748,0.978271022,-1.84808395,-1
588,MODEL1,PARMS,RMB,1.679851308,6.544654809,1.422762468,-2.397633612,4.201610364,-1
589,MODEL1,PARMS,RMB,1.632585878,9.615751854,0.583397335,1.01201947,-1.866378943,-1
590,MODEL1,PARMS,RMB,1.619057581,7.528775716,1.055256444,-0.14831408,-0.286042203,-1
591,MODEL1,PARMS,RMB,1.63840857,11.86257604,-0.108190243,4.003269531,-6.888684735,-1
592,MODEL1,PARMS,RMB,1.485988959,9.289632095,0.657408524,0.752515303,-1.504204886,-1
593,MODEL1,PARMS,RMB,1.61293382,8.310643914,0.927159727,0.347356231,-1.074820777,-1
594,MODEL1,PARMS,RMB,1.531561546,9.653694626,0.574393523,0.94782433,-1.714494764,-1
595,MODEL1,PARMS,RMB,1.679598233,8.289762867,0.933941442,-0.298988973,0.123302597,-1
