SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,BronInt
667,MODEL1,PARMS,BronInt,1.296424423,7.055654141,0.389498378,-0.456664131,1.095946253,-1
668,MODEL1,PARMS,BronInt,1.369365808,4.907500854,0.914051276,-0.689508822,0.490570667,-1
669,MODEL1,PARMS,BronInt,1.280787427,6.027615149,0.606734919,0.156410024,-0.730715576,-1
670,MODEL1,PARMS,BronInt,1.355210698,6.079546758,0.591242093,-0.003495883,-0.228579205,-1
671,MODEL1,PARMS,BronInt,1.292852243,5.060515007,0.902869139,-1.062073729,1.411610859,-1
672,MODEL1,PARMS,BronInt,1.319722215,6.241512611,0.617988702,-0.860457617,1.433686719,-1
673,MODEL1,PARMS,BronInt,1.243914295,7.193740081,0.192428,2.941998368,-5.865021773,-1
674,MODEL1,PARMS,BronInt,1.264850384,6.321843238,0.552588313,-0.13687663,0.077027187,-1
675,MODEL1,PARMS,BronInt,1.335877998,5.894466911,0.688833917,-0.568660122,0.58727551,-1
676,MODEL1,PARMS,BronInt,1.358545353,4.711364746,0.946283821,-1.191896744,1.822252967,-1
677,MODEL1,PARMS,BronInt,1.419619929,7.566580508,0.215492386,1.754140985,-3.577232111,-1
678,MODEL1,PARMS,BronInt,1.295282264,5.767760193,0.649070499,0.253099786,-0.858784935,-1
679,MODEL1,PARMS,BronInt,1.295664759,6.291679644,0.597210843,-0.350958074,0.376290793,-1
680,MODEL1,PARMS,BronInt,1.243955028,5.754090218,0.711956177,-1.200291059,2.226164861,-1
681,MODEL1,PARMS,BronInt,1.349148255,5.948993283,0.657977156,-0.320128833,0.295594764,-1
682,MODEL1,PARMS,BronInt,1.267053848,6.788368506,0.385850633,1.30730967,-2.875247469,-1
683,MODEL1,PARMS,BronInt,1.328572059,7.650899386,0.160541823,1.705542556,-3.206307431,-1
684,MODEL1,PARMS,BronInt,1.255927259,6.025589881,0.606636916,-0.191200325,0.046060491,-1
685,MODEL1,PARMS,BronInt,1.258623255,6.187481433,0.572940561,-0.483216185,0.825145187,-1
686,MODEL1,PARMS,BronInt,1.304549522,5.914323092,0.687995077,-0.998759934,1.829320906,-1
687,MODEL1,PARMS,BronInt,1.363490027,6.534579043,0.460872076,0.741552679,-1.664186575,-1
688,MODEL1,PARMS,BronInt,1.328427815,6.543283133,0.464644504,0.723386838,-1.520706051,-1
689,MODEL1,PARMS,BronInt,1.254909007,5.828200628,0.695837563,-0.743830762,1.188840868,-1
690,MODEL1,PARMS,BronInt,1.316785646,5.98510749,0.584568127,0.225057845,-0.779419148,-1
691,MODEL1,PARMS,BronInt,1.294601287,5.102245647,0.930609404,-2.445140473,4.430919354,-1
692,MODEL1,PARMS,BronInt,1.381889147,5.699550149,0.683132537,0.153907283,-0.840885775,-1
693,MODEL1,PARMS,BronInt,1.322713956,4.123822928,1.192309028,-3.445431581,5.959247067,-1
694,MODEL1,PARMS,BronInt,1.342354699,5.723819875,0.727778266,-0.731063786,0.94851386,-1
695,MODEL1,PARMS,BronInt,1.333695398,5.862264996,0.688323685,-0.221115156,-0.279710901,-1
696,MODEL1,PARMS,BronInt,1.272205711,6.347430952,0.52370059,0.121753347,-0.428565092,-1
697,MODEL1,PARMS,BronInt,1.236826685,7.58819598,0.177746816,1.940586192,-3.677532176,-1
698,MODEL1,PARMS,BronInt,1.280841544,6.214636453,0.582286254,-0.135575784,-0.174097109,-1
699,MODEL1,PARMS,BronInt,1.295157291,6.845241521,0.397013141,0.653449147,-1.317593184,-1
700,MODEL1,PARMS,BronInt,1.301167233,7.157988611,0.270232568,1.504524672,-2.924280357,-1
701,MODEL1,PARMS,BronInt,1.418469078,5.116458773,0.935873093,-2.022723453,3.298445241,-1
702,MODEL1,PARMS,BronInt,1.278965353,6.812218588,0.416369516,0.445321994,-1.193880755,-1
703,MODEL1,PARMS,BronInt,1.343615035,5.697353119,0.727250471,0.222421303,-1.212071249,-1
704,MODEL1,PARMS,BronInt,1.252260009,5.428573011,0.773399134,-0.207392542,-0.312896144,-1
705,MODEL1,PARMS,BronInt,1.319169032,6.945007717,0.391440531,0.308594425,-0.568846552,-1
706,MODEL1,PARMS,BronInt,1.27555607,7.736571494,0.173187152,1.335664192,-2.389280931,-1
707,MODEL1,PARMS,BronInt,1.374678657,6.504467331,0.455476629,0.829605199,-1.821980779,-1
708,MODEL1,PARMS,BronInt,1.39899305,4.935874079,0.968255967,-1.759701411,2.810413694,-1
709,MODEL1,PARMS,BronInt,1.342874619,6.654090404,0.439063578,0.756032645,-1.630467843,-1
710,MODEL1,PARMS,BronInt,1.311121464,5.365643566,0.754729726,-0.162940281,-0.134929052,-1
711,MODEL1,PARMS,BronInt,1.310069228,6.088419491,0.641063067,-0.750104138,1.438326902,-1
712,MODEL1,PARMS,BronInt,1.337144105,8.180790409,-0.078835222,3.452272509,-6.25839574,-1
713,MODEL1,PARMS,BronInt,1.298374612,6.825200873,0.423750809,0.331393364,-0.551063176,-1
714,MODEL1,PARMS,BronInt,1.303051124,4.348055359,1.149947774,-2.653081448,4.22958362,-1
715,MODEL1,PARMS,BronInt,1.363027461,7.726395797,0.145135975,2.045825161,-3.920291672,-1
716,MODEL1,PARMS,BronInt,1.373082526,6.4346623,0.511259098,-0.480823012,1.103240457,-1
717,MODEL1,PARMS,BronInt,1.277395393,6.18927432,0.577562545,-0.092746048,-0.124024566,-1
718,MODEL1,PARMS,BronInt,1.337439258,2.724422911,1.540983793,-4.635470139,8.036134079,-1
719,MODEL1,PARMS,BronInt,1.30512706,6.393080506,0.569522327,0.027394772,-0.321836192,-1
720,MODEL1,PARMS,BronInt,1.352668161,7.656116843,0.15892977,1.707175746,-3.045185495,-1
721,MODEL1,PARMS,BronInt,1.326706769,7.064072816,0.323389367,0.633574679,-1.076829398,-1
722,MODEL1,PARMS,BronInt,1.35725926,5.721877226,0.708365487,-0.934104314,1.65382645,-1
723,MODEL1,PARMS,BronInt,1.329079746,5.440245436,0.750936954,0.081591081,-0.779785003,-1
724,MODEL1,PARMS,BronInt,1.295174709,5.94190175,0.653526229,-0.650733137,1.022980692,-1
725,MODEL1,PARMS,BronInt,1.265219462,7.832410265,0.135973379,0.955649122,-1.459396388,-1
726,MODEL1,PARMS,BronInt,1.298763065,6.455618142,0.489996623,0.285611806,-0.845029952,-1
